Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2858,994,0,0,5,108,113,1751,1259,1107,492,188,1694,220,1599
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3394,997,0,0,14,217,231,2166,1392,1228,774,170,2026,206,2002
Région,RSS03,03 - Capitale-Nationale,Total,15865,6276,5,11,183,987,1170,8403,5289,7462,3114,866,10263,1056,10576
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7248,1652,1,2,137,902,1039,4554,3937,2694,617,334,4407,377,3311
Région,RSS05,05 - Estrie,Total,8386,2035,0,11,222,916,1138,5202,4164,3184,1038,507,4087,380,4222
Région,RSS06,06 - Montréal,Total,73931,13822,126,284,2344,8086,10430,49269,34282,24662,14987,5245,31993,6038,39649
Région,RSS07,07 - Outaouais,Total,8271,3839,17,33,103,1102,1205,3177,1807,5094,1370,178,4882,1137,6464
Région,RSS08,08 - Abitibi-Témiscamingue,Total,920,101,193,0,11,54,65,561,277,359,284,16,272,240,643
Région,RSS09,09 - Côte-Nord,Total,369,163,0,0,3,62,65,141,90,228,51,14,287,36,279
Région,RSS10,10 - Nord-du-Québec,Total,65,22,2,0,4,12,16,25,4,40,21,6,57,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,593,185,0,0,5,80,85,323,252,270,71,14,370,36,341
Région,RSS12,12 - Chaudière-Appalaches,Total,13309,3452,1,10,46,1901,1947,7899,6629,5410,1270,515,8623,770,6680
Région,RSS13,13 - Laval,Total,18768,3278,13,23,417,3086,3503,11951,8859,6817,3092,615,7431,908,9909
Région,RSS14,14 - Lanaudière,Total,11384,1820,38,11,188,1991,2179,7336,4888,4048,2448,569,5436,767,6496
Région,RSS15,15 - Laurentides,Total,13110,2559,33,59,219,2783,3002,7457,4336,5653,3121,911,7702,1013,8774
Région,RSS16,16 - Montérégie,Total,26973,4291,25,155,1099,3093,4192,18310,13091,8663,5219,1881,11297,2201,13882
Région,RSS00,Inconnu,Total,517,50,1,0,21,72,93,373,167,144,206,24,269,89,350
Région,RSS98,Hors-Québec,Total,864,125,11,10,152,147,299,419,282,445,137,170,358,248,582
Région,RSS99,Ensemble du Québec,Total,206825,45661,466,609,5173,25599,30772,129317,91005,77508,38312,12223,101454,15728,115820

