,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4225,16,4203,22,54,0,4105,66,196934.5,2145.38,33.54,27.42,6
02,02 - Saguenay-Lac-Saint-Jean,11377,3,11157,220,271,0,11058,48,277505,4099.75,17.30,97.66,12
03,03 - Capitale-Nationale,34587,36,34232,355,1127,0,33239,221,757803,4564.11,29.07,148.72,31
04,04 - Mauricie et Centre-du-Québec,17545,19,17307,238,571,1,16748,226,523331.5,3352.56,43.10,109.11,26
05,05 - Estrie,17123,38,16609,514,370,1,16412,341,494966.5,3459.43,68.64,74.75,37
06,06 - Montréal,148049,137,145114,2935,4829,3,141770,1450,2072060.5,7145.01,69.76,233.05,157
07,07 - Outaouais,14192,8,13747,445,222,0,13852,118,402744,3523.83,29.17,55.12,36
08,08 - Abitibi-Témiscamingue,1275,0,1242,33,10,0,1248,17,147637,863.60,11.51,6.77,1
09,09 - Côte-Nord,680,2,659,21,5,0,633,42,89700.5,758.08,47.00,5.57,5
10,10 - Nord-du-Québec,137,0,135,2,0,0,137,0,13521.5,1013.20,0.00,0.00,1
11,11 - Gaspésie-Îles-de-la-Madeleine,2198,2,2177,21,48,0,2133,17,89823,2447.03,18.96,53.44,1
12,12 - Chaudière-Appalaches,21990,39,21718,272,378,1,21144,468,431109.5,5100.79,108.36,87.68,58
13,13 - Laval,36811,32,34887,1924,935,0,35529,347,444658.5,8278.49,77.70,210.27,39
14,14 - Lanaudière,27193,23,26483,710,530,0,26397,266,522367,5205.73,50.70,101.46,36
15,15 - Laurentides,24929,23,24326,603,525,0,24138,266,630238,3955.49,41.99,83.30,29
16,16 - Montérégie,58050,48,56128,1922,1585,2,55738,727,1438226,4036.22,50.36,110.21,57
17,17 - Nunavik,87,8,85,2,0,0,61,26,14336.5,606.84,180.39,0.00,1
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,137,0,18507,767.28,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1197,0,1190,7,1,0,1180,16,.,.,.,.,4
999,Ensemble du Québec,421791,434,411544,10247,11466,8,405663,4662,8565469.5,4924.32,54.26,133.86,537

