group,1d,2d,3d,pop 2021
0-4,254,58,8,428991
5-11,423305,275294,157,650347
12-17,528119,497295,30150,529446
18-29,1107086,1042796,378402,1216440
30-39,1015489,970556,449120,1118629
40-49,1023868,995262,583701,1115327
50-59,1077982,1048847,736976,1155183
60-69,1113930,1100243,942678,1168854
70-79,752885,750753,692422,783129
80 plus,400125,399504,369805,425520
Total 5+,7442789,7080550,4183411,8162875
Total,7443043,7080608,4183419,8591866
