,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4130,5,4108,22,54,0,4017,59,196934.5,2097.14,29.98,27.42,2
02,02 - Saguenay-Lac-Saint-Jean,11287,7,11068,219,271,0,10976,40,277505,4067.31,14.42,97.66,2
03,03 - Capitale-Nationale,34162,25,33808,354,1122,0,32835,205,757803,4508.03,26.97,148.06,35
04,04 - Mauricie et Centre-du-Québec,17091,41,16854,237,569,0,16275,247,523331.5,3265.81,47.11,108.73,20
05,05 - Estrie,16626,24,16118,508,364,0,16021,241,494966.5,3359.02,48.51,73.54,33
06,06 - Montréal,145870,170,142934,2936,4812,4,139431,1627,2072060.5,7039.85,78.28,232.23,157
07,07 - Outaouais,13901,41,13453,448,222,1,13481,198,402744,3451.57,48.95,55.12,22
08,08 - Abitibi-Témiscamingue,1243,8,1210,33,9,0,1223,11,147637,841.93,7.45,6.10,1
09,09 - Côte-Nord,620,5,600,20,4,0,605,11,89700.5,691.19,12.31,4.46,1
10,10 - Nord-du-Québec,136,0,134,2,0,0,136,0,13521.5,1005.81,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2163,6,2142,21,47,0,2095,21,89823,2408.07,23.42,52.33,3
12,12 - Chaudière-Appalaches,21063,60,20789,274,373,0,20243,447,431109.5,4885.77,103.49,86.52,52
13,13 - Laval,36236,56,34318,1918,931,0,34803,502,444658.5,8149.18,112.41,209.37,42
14,14 - Lanaudière,26753,41,26043,710,523,-1,25910,320,522367,5121.50,60.99,100.12,33
15,15 - Laurentides,24340,55,23738,602,520,0,23406,414,630238,3862.03,65.35,82.51,58
16,16 - Montérégie,56957,79,55031,1926,1578,1,54622,757,1438226,3960.23,52.43,109.72,73
17,17 - Nunavik,52,0,50,2,0,0,52,0,14336.5,362.71,0.00,0.00,1
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,136,1,18507,767.28,5.37,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1154,1,1147,7,1,0,1133,20,.,.,.,.,2
999,Ensemble du Québec,413930,624,403690,10240,11405,5,397404,5121,8565469.5,4832.54,59.60,133.15,537

