Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2770,994,0,0,5,30,35,1741,1029,1657,186,1602,220,1516
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3304,997,0,0,9,149,158,2149,1155,2080,163,1977,204,1926
Région,RSS03,03 - Capitale-Nationale,Total,15450,6274,5,11,171,741,912,8248,7202,10273,831,9905,1050,10310
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,6787,1652,1,2,67,725,792,4340,2447,4185,265,3957,371,3056
Région,RSS05,05 - Estrie,Total,7986,2035,0,11,121,805,926,5014,2972,4177,366,3899,356,3986
Région,RSS06,06 - Montréal,Total,71858,13822,126,284,1972,6780,8752,48874,22984,35163,4634,30867,5574,37879
Région,RSS07,07 - Outaouais,Total,7973,3839,17,33,98,850,948,3136,4837,5913,173,4601,1129,6197
Région,RSS08,08 - Abitibi-Témiscamingue,Total,887,100,193,0,10,21,31,563,324,450,13,236,236,608
Région,RSS09,09 - Côte-Nord,Total,311,162,0,0,3,21,24,125,186,259,14,241,35,232
Région,RSS10,10 - Nord-du-Québec,Total,64,22,2,0,2,13,15,25,39,63,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,562,185,0,0,5,62,67,310,252,387,14,350,36,323
Région,RSS12,12 - Chaudière-Appalaches,Total,12368,3452,1,10,38,1240,1278,7627,4741,8743,495,7923,766,5981
Région,RSS13,13 - Laval,Total,18199,3278,13,23,384,2733,3117,11768,6431,9456,569,7091,875,9524
Région,RSS14,14 - Lanaudière,Total,10948,1820,38,11,172,1702,1874,7205,3743,6182,487,5231,692,6187
Région,RSS15,15 - Laurentides,Total,12552,2559,33,59,212,2329,2541,7360,5192,7920,874,7232,977,8272
Région,RSS16,16 - Montérégie,Total,25982,4290,25,155,870,2701,3571,17941,8041,13973,1550,10917,1989,13236
Région,RSS00,Inconnu,Total,478,50,1,0,18,56,74,353,125,420,21,249,88,330
Région,RSS98,Hors-Québec,Total,823,124,11,10,138,132,270,408,415,423,159,341,229,548
Région,RSS99,Ensemble du Québec,Total,199302,45655,466,609,4295,21090,25385,127187,72115,111724,10818,96677,14832,110171

