group,1d,2d,3d,pop 2021
0-4,254,55,6,428991
5-11,392143,11139,6,650347
12-17,523101,479258,3254,529446
18-29,1090810,1020617,124750,1216440
30-39,1002628,952379,180671,1118629
40-49,1015984,983294,290306,1115327
50-59,1072022,1040320,431645,1155183
60-69,1109750,1095057,697964,1168854
70-79,750955,748682,592098,783129
80 plus,399242,398350,326739,425520
Total 5+,7356635,6729096,2647433,8162875
Total,7356889,6729151,2647439,8591866
