,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4026,1,4003,23,53,0,3965,8,196934.5,2044.33,4.07,26.91,0
02,02 - Saguenay-Lac-Saint-Jean,11114,3,10891,223,271,0,10823,20,277505,4004.97,7.21,97.66,3
03,03 - Capitale-Nationale,33360,13,33007,353,1119,0,32128,113,757803,4402.20,14.87,147.66,23
04,04 - Mauricie et Centre-du-Québec,16136,32,15896,240,561,0,15345,230,523331.5,3083.32,43.87,107.20,16
05,05 - Estrie,15496,36,14977,519,355,0,14969,172,494966.5,3130.72,34.62,71.72,13
06,06 - Montréal,138108,242,135176,2932,4775,0,131589,1744,2072060.5,6665.25,83.91,230.45,131
07,07 - Outaouais,12958,17,12511,447,215,0,12572,171,402744,3217.43,42.28,53.38,23
08,08 - Abitibi-Témiscamingue,1200,0,1167,33,9,0,1187,4,147637,812.80,2.71,6.10,0
09,09 - Côte-Nord,594,0,575,19,4,0,586,4,89700.5,662.20,4.48,4.46,0
10,10 - Nord-du-Québec,128,1,126,2,0,0,114,14,13521.5,946.64,103.82,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2086,-1,2066,20,47,0,2035,4,89823,2322.35,4.46,52.33,0
12,12 - Chaudière-Appalaches,19497,22,19215,282,368,1,19049,80,431109.5,4522.52,18.52,85.36,6
13,13 - Laval,33659,99,31787,1872,921,0,32148,590,444658.5,7569.63,132.12,207.13,29
14,14 - Lanaudière,25080,47,24369,711,517,0,24143,420,522367,4801.22,80.05,98.97,17
15,15 - Laurentides,22038,76,21434,604,511,1,21174,353,630238,3496.77,55.72,81.08,24
16,16 - Montérégie,53557,94,51589,1968,1559,0,51248,750,1438226,3723.82,51.95,108.40,68
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,132,0,132,0,3,0,123,6,18507,713.24,32.21,16.21,1
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,691,8,686,5,0,0,645,46,.,.,.,.,5
999,Ensemble du Québec,389914,690,379658,10256,11288,2,373897,4729,8565469.5,4552.16,55.04,131.78,359

