Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;19;205;152,7;10944;8152,3;0;;480;357,6
Anjou;5;51;119,2;3646;8519,5;0;;78;182,3
Baie D'urfé;< 5;< 5;n.p.;96;2511,1;0;;< 5;n.p.
Beaconsfield;< 5;19;* 98,3;520;2691;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;15;181;108,7;12296;7384,1;0;;369;221,6
Côte-Saint-Luc;< 5;37;114;2889;8903,5;0;;119;366,7
Dollard-des-Ormeaux;< 5;37;75,7;2912;5955,1;0;;125;255,6
Dorval;0;10;* 52,7;844;4446,8;0;;68;358,3
Hampstead;< 5;13;* 186,4;421;6037,6;0;;6;n.p.
Kirkland;< 5;8;n.p.;792;3930,3;0;;33;* 163,8
Lachine;6;38;85,4;3021;6790,4;0;;170;382,1
LaSalle;16;106;137,9;5878;7648,4;0;;242;314,9
L'Île-Bizard–Sainte-Geneviève;< 5;17;* 92,3;1107;6012,1;0;;76;412,8
Mercier–Hochelaga-Maisonneuve;6;145;106,6;9127;6709,8;0;;446;327,9
Montréal Est;0;< 5;n.p.;289;7506,5;0;;9;* 233,8
Montréal-Nord;14;147;174,5;9433;11198,6;0;;336;398,9
Montréal-Ouest;< 5;5;n.p.;197;3901;0;;< 5;n.p.
Mont-Royal;< 5;19;* 93,7;1153;5686,5;0;;93;458,7
Outremont;< 5;13;* 54,3;1300;5427,1;0;;29;* 121,1
Pierrefonds–Roxboro;5;71;102,5;4412;6366,8;0;;84;121,2
Plateau Mont-Royal;9;107;102,9;4982;4790,4;0;;172;165,4
Pointe-Claire;0;16;* 51;1112;3543,7;0;;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;27;207;193,9;9341;8750,9;0;;314;294,2
Rosemont–La Petite Patrie;7;120;86;7344;5261,1;0;;324;232,1
Sainte-Anne-de-Bellevue;0;9;n.p.;155;3126,3;0;;12;* 242
Saint-Laurent;13;141;142,7;8662;8764,7;0;;155;156,8
Saint-Léonard;17;172;219,7;8071;10307,1;0;;144;183,9
Senneville;0;< 5;n.p.;24;* 2605,9;0;;0;
Sud-Ouest;15;133;170,2;4198;5371,7;0;;206;263,6
Verdun;< 5;50;72,2;3297;4762,5;0;;198;286
Ville-Marie;15;141;158,1;5188;5818,1;0;;125;140,2
Villeray–Saint-Michel–Parc-Extension;17;216;150,2;11656;8102,7;0;;198;137,6
Westmount;< 5;23;* 113,2;775;3815,5;0;;58;285,5
Territoire à confirmer;15;69;;2026;;0;;25;
Total à Montréal;242;2531;122,5;138108;6685,9;0;;4775;231,2
