,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1126,7,1113,13,24,0,970,132,197074,571.36,66.98,12.18
02,02 - Saguenay–Lac-Saint-Jean,6440,71,6275,165,177,3,5584,679,277632,2319.62,244.57,63.75
03,03 - Capitale-Nationale,14560,155,14294,266,543,4,11955,2062,755459,1927.31,272.95,71.88
04,04 - Mauricie et Centre-du-Québec,8174,87,7963,211,314,2,6854,1006,522341,1564.88,192.59,60.11
05,05 - Estrie,6205,87,5871,334,102,5,5070,1033,493163,1258.20,209.46,20.68
06,06 - Montréal,58913,540,56138,2775,3725,17,49753,5435,2065657,2852.02,263.11,180.33
07,07 - Outaouais,4029,34,3732,297,95,2,3594,340,401032,1004.66,84.78,23.69
08,08 - Abitibi-Témiscamingue,303,2,270,33,4,0,285,14,147616,205.26,9.48,2.71
09,09 - Côte-Nord,243,3,230,13,3,0,211,29,90033,269.90,32.21,3.33
10,10 - Nord-du-Québec,58,2,56,2,0,0,55,3,13558,427.79,22.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1492,6,1473,19,42,0,1368,82,89998,1657.81,91.11,46.67
12,12 - Chaudière-Appalaches,6627,66,6382,245,152,1,5773,702,430309,1540.06,163.14,35.32
13,13 - Laval,13575,208,12318,1257,734,0,11531,1310,442745,3066.10,295.88,165.78
14,14 - Lanaudière,13054,125,12349,705,365,0,11460,1229,520092,2509.94,236.30,70.18
15,15 - Laurentides,8972,63,8374,598,345,1,8018,609,626968,1431.01,97.13,55.03
16,16 - Montérégie,23323,285,21946,1377,945,3,20237,2141,1432751,1627.85,149.43,65.96
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,17,0,17,0,1,0,15,1,18385,92.47,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,133,0,131,2,0,0,129,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,167276,1741,158962,8314,7571,38,142894,16811,8539073,1958.95,196.87,88.66
