group,1d,2d,pop 2021
0-11,496,98,1079338
12-17,479478,413179,529446
18-29,990197,860929,1216440
30-39,925482,832040,1118629
40-49,966458,902638,1115327
50-59,1037958,984401,1155183
60-69,1090550,1064546,1168854
70-79,742540,733500,783129
80 plus,395332,384789,425520
Total 12+,6627995,6176022,7512528
Total,6628491,6176120,8591866
