group,1d,2d,3d,pop 2021
0-4,31842,14770,49,428991
5-11,441471,338930,33115,650347
12-17,532882,510523,122948,529446
18-29,1118593,1059543,455005,1216440
30-39,1026522,986140,522261,1118629
40-49,1030922,1006376,658760,1115327
50-59,1082937,1057358,807268,1155183
60-69,1118998,1106859,1004114,1168854
70-79,755950,754435,726746,783129
80 plus,401342,401812,392166,425520
Total 5+,7509617,7221976,4722383,8162875
Total,7541459,7236746,4722432,8591866
