,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1143,3,1130,13,24,0,1000,119,197074,579.99,60.38,12.18
02,02 - Saguenay–Lac-Saint-Jean,6574,56,6409,165,186,0,5731,657,277632,2367.88,236.64,67.00
03,03 - Capitale-Nationale,14959,185,14690,269,558,9,12196,2205,755459,1980.12,291.88,73.86
04,04 - Mauricie et Centre-du-Québec,8371,128,8158,213,318,1,7003,1050,522341,1602.59,201.02,60.88
05,05 - Estrie,6419,103,6082,337,112,5,5198,1109,493163,1301.60,224.87,22.71
06,06 - Montréal,60100,561,57327,2773,3731,0,50573,5796,2065657,2909.49,280.59,180.62
07,07 - Outaouais,4136,47,3837,299,96,0,3649,391,401032,1031.34,97.50,23.94
08,08 - Abitibi-Témiscamingue,304,0,271,33,4,0,291,9,147616,205.94,6.10,2.71
09,09 - Côte-Nord,251,6,238,13,3,0,211,37,90033,278.79,41.10,3.33
10,10 - Nord-du-Québec,61,3,59,2,0,0,55,6,13558,449.92,44.25,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1507,8,1488,19,42,0,1390,75,89998,1674.48,83.34,46.67
12,12 - Chaudière-Appalaches,6842,120,6598,244,160,2,5903,779,430309,1590.02,181.03,37.18
13,13 - Laval,13904,173,12638,1266,736,2,11747,1421,442745,3140.41,320.95,166.24
14,14 - Lanaudière,13302,138,12597,705,369,2,11665,1268,520092,2557.62,243.80,70.95
15,15 - Laurentides,9164,96,8566,598,346,0,8171,647,626968,1461.64,103.20,55.19
16,16 - Montérégie,23808,228,22407,1401,949,1,20572,2287,1432751,1661.70,159.62,66.24
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,17,0,17,0,1,0,15,1,18385,92.47,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,134,0,132,2,0,0,130,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,171028,1855,162674,8354,7635,22,145532,17861,8539073,2002.89,209.17,89.41
