group,1d,2d,3d,pop 2021
0-4,9690,62,8,428991
5-11,435174,328938,513,650347
12-17,531725,508436,97154,529446
18-29,1113716,1055337,436129,1216440
30-39,1021639,982272,502612,1118629
40-49,1028030,1003937,641177,1115327
50-59,1080881,1055577,790901,1155183
60-69,1116599,1105177,990287,1168854
70-79,754516,753445,719107,783129
80 plus,400799,401241,387569,425520
Total 5+,7483079,7194360,4565449,8162875
Total,7492769,7194422,4565457,8591866
