Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;n.d.;108;80,4;10407;7752,2;< 5;n.p.;479;356,8
Anjou;n.d.;29;* 67,8;3507;8194,7;< 5;n.p.;77;179,9
Baie D'urfé;n.d.;0;;95;2485;0;;< 5;n.p.
Beaconsfield;n.d.;15;* 77,6;477;2468,4;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;n.d.;115;69,1;11834;7106,7;< 5;n.p.;366;219,8
Côte-Saint-Luc;n.d.;26;* 80,1;2807;8650,8;< 5;n.p.;116;357,5
Dollard-des-Ormeaux;n.d.;31;* 63,4;2800;5726,1;0;;123;251,5
Dorval;n.d.;< 5;n.p.;802;4225,5;< 5;n.p.;68;358,3
Hampstead;n.d.;< 5;n.p.;389;5578,7;0;;6;n.p.
Kirkland;n.d.;12;* 59,6;761;3776,5;0;;33;* 163,8
Lachine;n.d.;22;* 49,5;2941;6610,6;0;;170;382,1
LaSalle;n.d.;66;85,9;5633;7329,6;0;;239;311
L'Île-Bizard–Sainte-Geneviève;n.d.;< 5;n.p.;1062;5767,7;0;;75;407,3
Mercier–Hochelaga-Maisonneuve;n.d.;65;47,8;8676;6378,3;0;;446;327,9
Montréal Est;n.d.;< 5;n.p.;272;7064,9;0;;9;* 233,8
Montréal-Nord;n.d.;116;137,7;9013;10700;< 5;n.p.;336;398,9
Montréal-Ouest;n.d.;< 5;n.p.;185;3663,4;0;;< 5;n.p.
Mont-Royal;n.d.;10;* 49,3;1116;5504;0;;93;458,7
Outremont;n.d.;12;* 50,1;1264;5276,8;< 5;n.p.;29;* 121,1
Pierrefonds–Roxboro;n.d.;29;* 41,8;4201;6062,3;0;;83;119,8
Plateau Mont-Royal;n.d.;66;63,5;4694;4513,5;0;;172;165,4
Pointe-Claire;n.d.;< 5;n.p.;1070;3409,8;0;;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;n.d.;76;71,2;8913;8350;0;;314;294,2
Rosemont–La Petite Patrie;n.d.;46;33;7017;5026,9;0;;323;231,4
Sainte-Anne-de-Bellevue;n.d.;< 5;n.p.;139;2803,5;0;;12;* 242
Saint-Laurent;n.d.;95;96,1;8293;8391,3;0;;155;156,8
Saint-Léonard;n.d.;73;93,2;7724;9864;< 5;n.p.;143;182,6
Senneville;n.d.;0;;23;* 2497,3;0;;0;
Sud-Ouest;n.d.;53;67,8;3909;5001,9;< 5;n.p.;206;263,6
Verdun;n.d.;34;* 49,1;3139;4534,2;0;;196;283,1
Ville-Marie;n.d.;54;60,6;4837;5424,5;< 5;n.p.;124;139,1
Villeray–Saint-Michel–Parc-Extension;n.d.;192;133,5;11094;7712;< 5;n.p.;194;134,9
Westmount;n.d.;6;n.p.;731;3598,9;0;;58;285,5
Territoire à confirmer;n.d.;22;;1909;;0;;25;
Total à Montréal;49;1393;67,4;131734;6377,3;14;*0,7;4751;230
