date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,vac_quo_4_n,total_doses_1d,total_doses_2d,total_doses_3d,vac_cum_4_n,new_doses,total_doses,cvac_comp_tot_p,rap_cvac_comp_p,_1dose_15aout_p,cvac_comp_tot_n,rap_tot_n,_1dose_15aout_n,pop_tot_n,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,311,0,0,0,311,0,0,0,311,311,0,,0,0,0,0,8782561,
2020-12-15,Région,RSS99,Ensemble du Québec,1188,0,0,0,1499,0,0,0,1188,1499,0,,0,0,0,0,8782561,
2020-12-16,Région,RSS99,Ensemble du Québec,971,0,0,0,2470,0,0,0,971,2470,0,,0,0,0,0,8782561,
2020-12-17,Région,RSS99,Ensemble du Québec,914,0,0,0,3384,0,0,0,914,3384,0,,0,0,0,0,8782561,708
2020-12-18,Région,RSS99,Ensemble du Québec,742,0,0,0,4126,0,0,0,742,4126,0,,0,0,0,0,8782561,738
2020-12-19,Région,RSS99,Ensemble du Québec,718,0,0,0,4844,0,0,0,718,4844,0,,0,0,0,0,8782561,859
2020-12-20,Région,RSS99,Ensemble du Québec,114,0,0,0,4958,0,0,0,114,4958,0,,0,0,0,0,8782561,1258
2020-12-21,Région,RSS99,Ensemble du Québec,522,0,0,0,5480,0,0,0,522,5480,0,,0,0,0,0,8782561,1559
2020-12-22,Région,RSS99,Ensemble du Québec,2030,0,0,0,7510,0,0,0,2030,7510,0,,0,0,0,0,8782561,1453
2020-12-23,Région,RSS99,Ensemble du Québec,3766,0,0,0,11276,0,0,0,3766,11276,0,,0,0,0,0,8782561,1798
2020-12-24,Région,RSS99,Ensemble du Québec,3024,0,0,0,14300,0,0,0,3024,14300,0,,0,0,0,0,8782561,2107
2020-12-25,Région,RSS99,Ensemble du Québec,0,0,0,0,14300,0,0,0,0,14300,0,,0,0,0,0,8782561,2395
2020-12-26,Région,RSS99,Ensemble du Québec,3127,0,0,0,17427,0,0,0,3127,17427,0,,0,0,0,0,8782561,2442
2020-12-27,Région,RSS99,Ensemble du Québec,2283,0,0,0,19710,0,0,0,2283,19710,0,,0,0,0,0,8782561,2342
2020-12-28,Région,RSS99,Ensemble du Québec,2533,0,0,0,22243,0,0,0,2533,22243,0,,0,0,0,0,8782561,1959
2020-12-29,Région,RSS99,Ensemble du Québec,2361,0,0,0,24604,0,0,0,2361,24604,0,,0,0,0,0,8782561,1960
2020-12-30,Région,RSS99,Ensemble du Québec,3065,0,0,0,27669,0,0,0,3065,27669,0,,0,0,0,0,8782561,1604
2020-12-31,Région,RSS99,Ensemble du Québec,343,0,0,0,28012,0,0,0,343,28012,0,,0,0,0,0,8782561,1498
2021-01-01,Région,RSS99,Ensemble du Québec,7,0,0,0,28019,0,0,0,7,28019,0,,0,0,0,0,8782561,1535
2021-01-02,Région,RSS99,Ensemble du Québec,634,0,0,0,28653,0,0,0,634,28653,0.0000113862,,0,1,0,0,8782561,2054
2021-01-03,Région,RSS99,Ensemble du Québec,1540,0,0,0,30193,0,0,0,1540,30193,0.0000113862,,0,1,0,0,8782561,3156
2021-01-04,Région,RSS99,Ensemble du Québec,2780,17,0,0,32973,17,0,0,2797,32990,0.0000113862,,0,1,0,0,8782561,5073
2021-01-05,Région,RSS99,Ensemble du Québec,5974,15,0,0,38947,32,0,0,5989,38979,0.0000227724,,0,2,0,0,8782561,6989
2021-01-06,Région,RSS99,Ensemble du Québec,10761,19,0,0,49708,51,0,0,10780,49759,0.0000797034,,0,7,0,0,8782561,8152
2021-01-07,Région,RSS99,Ensemble du Québec,13758,7,0,0,63466,58,0,0,13765,63524,0.0001366344,,0,12,0,0,8782561,8944
2021-01-08,Région,RSS99,Ensemble du Québec,13397,22,0,0,76863,80,0,0,13419,76943,0.0002391102,,0,21,0,0,8782561,9598
2021-01-09,Région,RSS99,Ensemble du Québec,8776,1,0,0,85639,81,0,0,8777,85720,0.0002391102,,0,21,0,0,8782561,9880
2021-01-10,Région,RSS99,Ensemble du Québec,7076,2,0,0,92715,83,0,0,7078,92798,0.0002504964,,0,22,0,0,8782561,9650
2021-01-11,Région,RSS99,Ensemble du Québec,7372,3,0,0,100087,86,0,0,7375,100173,0.0002618826,,0,23,0,0,8782561,9377
2021-01-12,Région,RSS99,Ensemble du Québec,7965,4,0,0,108052,90,0,0,7969,108142,0.0002618826,,0,23,0,0,8782561,9059
2021-01-13,Région,RSS99,Ensemble du Québec,9161,5,0,0,117213,95,0,0,9166,117308,0.0003188136,,0,28,0,0,8782561,9012
2021-01-14,Région,RSS99,Ensemble du Québec,11850,2,0,0,129063,97,0,0,11852,129160,0.0003188136,,0,28,0,0,8782561,9020
2021-01-15,Région,RSS99,Ensemble du Québec,11188,8,0,0,140251,105,0,0,11196,140356,0.000398517,,0,35,0,0,8782561,9488
2021-01-16,Région,RSS99,Ensemble du Québec,8444,5,0,0,148695,110,0,0,8449,148805,0.0005579238,,0,49,0,0,8782561,9829
2021-01-17,Région,RSS99,Ensemble du Québec,7134,1,0,0,155829,111,0,0,7135,155940,0.0005579238,,0,49,0,0,8782561,10159
2021-01-18,Région,RSS99,Ensemble du Québec,10639,12,0,0,166468,123,0,0,10651,166591,0.0006034686,,0,53,0,0,8782561,10434
2021-01-19,Région,RSS99,Ensemble du Québec,10350,2,0,0,176818,125,0,0,10352,176943,0.0006148548,,0,54,0,0,8782561,10537
2021-01-20,Région,RSS99,Ensemble du Québec,11467,8,0,0,188285,133,0,0,11475,188418,0.0006490134,,0,57,0,0,8782561,10544
2021-01-21,Région,RSS99,Ensemble du Québec,13763,15,0,0,202048,148,0,0,13778,202196,0.0007856478,,0,69,0,0,8782561,9823
2021-01-22,Région,RSS99,Ensemble du Québec,11913,6,0,0,213961,154,0,0,11919,214115,0.0008995098,,0,79,0,0,8782561,8943
2021-01-23,Région,RSS99,Ensemble du Québec,8497,4,0,0,222458,158,0,0,8501,222616,0.000910896,,0,80,0,0,8782561,8052
2021-01-24,Région,RSS99,Ensemble du Québec,2081,3,0,0,224539,161,0,0,2084,224700,0.000910896,,0,80,0,0,8782561,6954
2021-01-25,Région,RSS99,Ensemble du Québec,4485,6,0,0,229024,167,0,0,4491,229191,0.0009450546,,0,83,0,0,8782561,5468
2021-01-26,Région,RSS99,Ensemble du Québec,4081,37,0,0,233105,204,0,0,4118,233309,0.0011158476,,0,98,0,0,8782561,4092
2021-01-27,Région,RSS99,Ensemble du Québec,3769,21,0,0,236874,225,0,0,3790,237099,0.0011841648,,0,104,0,0,8782561,2962
2021-01-28,Région,RSS99,Ensemble du Québec,3336,40,0,0,240210,265,0,0,3376,240475,0.0012866407,,0,113,0,0,8782561,2777
2021-01-29,Région,RSS99,Ensemble du Québec,2261,23,0,0,242471,288,0,0,2284,242759,0.0014346613,,0,126,0,0,8782561,2196
2021-01-30,Région,RSS99,Ensemble du Québec,553,41,0,0,243024,329,0,0,594,243353,0.0015371371,,0,135,0,0,8782561,1710
2021-01-31,Région,RSS99,Ensemble du Québec,772,15,0,0,243796,344,0,0,787,244140,0.0016054543,,0,141,0,0,8782561,1596
2021-02-01,Région,RSS99,Ensemble du Québec,392,31,0,0,244188,375,0,0,423,244563,0.0017420887,,0,153,0,0,8782561,1849
2021-02-02,Région,RSS99,Ensemble du Québec,654,62,0,0,244842,437,0,0,716,245279,0.0019584265,,0,172,0,0,8782561,2247
2021-02-03,Région,RSS99,Ensemble du Québec,2936,57,0,0,247778,494,0,0,2993,248272,0.0020722885,,0,182,0,0,8782561,2628
2021-02-04,Région,RSS99,Ensemble du Québec,5076,68,0,0,252854,562,0,0,5144,253416,0.0022886263,,0,201,0,0,8782561,2847
2021-02-05,Région,RSS99,Ensemble du Québec,5028,47,0,0,257882,609,0,0,5075,258491,0.0024821917,,0,218,0,0,8782561,3287
2021-02-06,Région,RSS99,Ensemble du Québec,3240,18,0,0,261122,627,0,0,3258,261749,0.0025960537,,0,228,0,0,8782561,3706
2021-02-07,Région,RSS99,Ensemble du Québec,2314,9,0,0,263436,636,0,0,2323,264072,0.0027326881,,0,240,0,0,8782561,4121
2021-02-08,Région,RSS99,Ensemble du Québec,3464,38,0,0,266900,674,0,0,3502,267574,0.0030401155,,0,267,0,0,8782561,4799
2021-02-09,Région,RSS99,Ensemble du Québec,3581,66,0,0,270481,740,0,0,3647,271221,0.0033475429,,0,294,0,0,8782561,5543
2021-02-10,Région,RSS99,Ensemble du Québec,5763,132,2,0,276244,872,2,0,5897,277118,0.0039054668,,0,343,0,0,8782561,5315
2021-02-11,Région,RSS99,Ensemble du Québec,9766,122,0,0,286010,994,2,0,9888,287006,0.0046341836,,0,407,0,0,8782561,5117
2021-02-12,Région,RSS99,Ensemble du Québec,10206,80,0,0,296216,1074,2,0,10286,297292,0.0051010178,,0,448,0,0,8782561,5052
2021-02-13,Région,RSS99,Ensemble du Québec,1648,12,0,0,297864,1086,2,0,1660,298952,0.0052490384,,0,461,0,0,8782561,4818
2021-02-14,Région,RSS99,Ensemble du Québec,934,8,0,0,298798,1094,2,0,942,299894,0.0053059694,,0,466,0,0,8782561,4357
2021-02-15,Région,RSS99,Ensemble du Québec,2992,55,0,0,301790,1149,2,0,3047,302941,0.00545399,,0,479,0,0,8782561,4650
2021-02-16,Région,RSS99,Ensemble du Québec,1910,98,0,0,303700,1247,2,0,2008,304949,0.0056589416,,0,497,0,0,8782561,5813
2021-02-17,Région,RSS99,Ensemble du Québec,2589,76,0,0,306289,1323,2,0,2665,307614,0.0058183484,,0,511,0,0,8782561,7704
2021-02-18,Région,RSS99,Ensemble du Québec,11854,86,2,0,318143,1409,4,0,11942,319556,0.006080231,,0,534,0,0,8782561,8887
2021-02-19,Région,RSS99,Ensemble du Québec,18367,58,0,0,336510,1467,4,0,18425,337981,0.0064218171,,0,564,0,0,8782561,10171
2021-02-20,Région,RSS99,Ensemble du Québec,14876,22,0,0,351386,1489,4,0,14898,352879,0.0065698377,,0,577,0,0,8782561,11429
2021-02-21,Région,RSS99,Ensemble du Québec,9202,21,1,0,360588,1510,5,0,9224,362103,0.0066723135,,0,586,0,0,8782561,12470
2021-02-22,Région,RSS99,Ensemble du Québec,11989,49,0,0,372577,1559,5,0,12038,374141,0.0068544927,,0,602,0,0,8782561,12804
2021-02-23,Région,RSS99,Ensemble du Québec,10728,82,0,0,383305,1641,5,0,10810,384951,0.0072416235,,0,636,0,0,8782561,12662
2021-02-24,Région,RSS99,Ensemble du Québec,9862,90,0,0,393167,1731,5,0,9952,394903,0.0077084577,,0,677,0,0,8782561,12401
2021-02-25,Région,RSS99,Ensemble du Québec,14214,67,0,0,407381,1798,5,0,14281,409184,0.0079134093,,0,695,0,0,8782561,12046
2021-02-26,Région,RSS99,Ensemble du Québec,17370,62,0,0,424751,1860,5,0,17432,426616,0.0080955885,,0,711,0,0,8782561,12985
2021-02-27,Région,RSS99,Ensemble du Québec,13037,36,0,0,437788,1896,5,0,13073,439689,0.0083119263,,0,730,0,0,8782561,13995
2021-02-28,Région,RSS99,Ensemble du Québec,6730,9,0,0,444518,1905,5,0,6739,446428,0.0083460849,,0,733,0,0,8782561,15220
2021-03-01,Région,RSS99,Ensemble du Québec,18571,37,0,0,463089,1942,5,0,18608,465036,0.0084144021,,0,739,0,0,8782561,15966
2021-03-02,Région,RSS99,Ensemble du Québec,17803,77,0,0,480892,2019,5,0,17880,482916,0.0086079675,,0,756,0,0,8782561,16387
2021-03-03,Région,RSS99,Ensemble du Québec,18479,49,0,0,499371,2068,5,0,18528,501444,0.0086990571,,0,764,0,0,8782561,16774
2021-03-04,Région,RSS99,Ensemble du Québec,19464,35,0,0,518835,2103,5,0,19499,520943,0.0088243053,,0,775,0,0,8782561,18043
2021-03-05,Région,RSS99,Ensemble du Québec,20338,46,0,0,539173,2149,5,0,20384,541327,0.009029257,,0,793,0,0,8782561,17813
2021-03-06,Région,RSS99,Ensemble du Québec,15770,13,0,0,554943,2162,5,0,15783,557110,0.0090748018,,0,797,0,0,8782561,17956
2021-03-07,Région,RSS99,Ensemble du Québec,15607,10,0,0,570550,2172,5,0,15617,572727,0.0091772776,,0,806,0,0,8782561,18143
2021-03-08,Région,RSS99,Ensemble du Québec,16546,453,0,0,587096,2625,5,0,16999,589726,0.011192635,,0,983,0,0,8782561,19688
2021-03-09,Région,RSS99,Ensemble du Québec,18257,627,0,0,605353,3252,5,0,18884,608610,0.01408473,,0,1237,0,0,8782561,21716
2021-03-10,Région,RSS99,Ensemble du Québec,19092,743,0,0,624445,3995,5,0,19835,628445,0.0178421761,,0,1567,0,0,8782561,24361
2021-03-11,Région,RSS99,Ensemble du Québec,29992,323,1,0,654437,4318,6,0,30316,658761,0.0195614924,,0,1718,0,0,8782561,26218
2021-03-12,Région,RSS99,Ensemble du Québec,34303,276,1,0,688740,4594,7,0,34580,693341,0.0207798158,,0,1825,0,0,8782561,28172
2021-03-13,Région,RSS99,Ensemble du Québec,34268,30,0,0,723008,4624,7,0,34298,727639,0.0208822916,,0,1834,0,0,8782561,29818
2021-03-14,Région,RSS99,Ensemble du Québec,28598,15,0,0,751606,4639,7,0,28613,756252,0.0209278364,,0,1838,0,0,8782561,30977
2021-03-15,Région,RSS99,Ensemble du Québec,30614,64,1,0,782220,4703,8,0,30679,786931,0.0212124914,,0,1863,0,0,8782561,32462
2021-03-16,Région,RSS99,Ensemble du Québec,30357,49,0,0,812577,4752,8,0,30406,817337,0.0214060568,,0,1880,0,0,8782561,33609
2021-03-17,Région,RSS99,Ensemble du Québec,27901,48,1,0,840478,4800,9,0,27950,845287,0.0215768499,,0,1895,0,0,8782561,32854
2021-03-18,Région,RSS99,Ensemble du Québec,40511,194,2,0,880989,4994,11,0,40707,885994,0.0221461599,,0,1945,0,0,8782561,31834
2021-03-19,Région,RSS99,Ensemble du Québec,42564,43,0,0,923553,5037,11,0,42607,928601,0.0223738839,,0,1965,0,0,8782561,31308
2021-03-20,Région,RSS99,Ensemble du Québec,28991,25,0,0,952544,5062,11,0,29016,957617,0.0225105183,,0,1977,0,0,8782561,31741
2021-03-21,Région,RSS99,Ensemble du Québec,21458,14,0,0,974002,5076,11,0,21472,979089,0.0226129941,,0,1986,0,0,8782561,33666
2021-03-22,Région,RSS99,Ensemble du Québec,26951,47,0,0,1000953,5123,11,0,26998,1006087,0.0227268561,,0,1996,0,0,8782561,35865
2021-03-23,Région,RSS99,Ensemble du Québec,33397,39,2,0,1034350,5162,13,0,33438,1039525,0.0229545801,,0,2016,0,0,8782561,37618
2021-03-24,Région,RSS99,Ensemble du Québec,41370,54,1,0,1075720,5216,14,0,41425,1080950,0.0231709179,,0,2035,0,0,8782561,40094
2021-03-25,Région,RSS99,Ensemble du Québec,56041,58,0,0,1131761,5274,14,0,56099,1137049,0.0234100281,,0,2056,0,0,8782561,42632
2021-03-26,Région,RSS99,Ensemble du Québec,54754,126,0,0,1186515,5400,14,0,54880,1191929,0.0237174555,,0,2083,0,0,8782561,45080
2021-03-27,Région,RSS99,Ensemble du Québec,46270,75,0,0,1232785,5475,14,0,46345,1238274,0.0239110209,,0,2100,0,0,8782561,46501
2021-03-28,Région,RSS99,Ensemble du Québec,39216,20,1,0,1272001,5495,15,0,39237,1277511,0.0240590415,,0,2113,0,0,8782561,46610
2021-03-29,Région,RSS99,Ensemble du Québec,44089,48,0,0,1316090,5543,15,0,44137,1321648,0.024195676,,0,2125,0,0,8782561,45674
2021-03-30,Région,RSS99,Ensemble du Québec,43222,160,1,0,1359312,5703,16,0,43383,1365031,0.024651124,,0,2165,0,0,8782561,44637
2021-03-31,Région,RSS99,Ensemble du Québec,42012,176,0,0,1401324,5879,16,0,42188,1407219,0.0251976616,,0,2213,0,0,8782561,43945
2021-04-01,Région,RSS99,Ensemble du Québec,49428,122,1,0,1450752,6001,17,0,49551,1456770,0.0256075648,,0,2249,0,0,8782561,41586
2021-04-02,Région,RSS99,Ensemble du Québec,47396,219,1,0,1498148,6220,18,0,47616,1504386,0.026245192,,0,2305,0,0,8782561,41048
2021-04-03,Région,RSS99,Ensemble du Québec,41372,129,1,0,1539520,6349,19,0,41502,1545888,0.0265412332,,0,2331,0,0,8782561,41173
2021-04-04,Région,RSS99,Ensemble du Québec,22698,27,1,0,1562218,6376,20,0,22726,1568614,0.0266437091,,0,2340,0,0,8782561,42067
2021-04-05,Région,RSS99,Ensemble du Québec,40275,94,0,0,1602493,6470,20,0,40369,1608983,0.0269966813,,0,2371,0,0,8782561,45161
2021-04-06,Région,RSS99,Ensemble du Québec,42757,1501,1,0,1645250,7971,21,0,44259,1653242,0.0294561006,,0,2587,0,0,8782561,49184
2021-04-07,Région,RSS99,Ensemble du Québec,46222,2226,0,0,1691472,10197,21,0,48448,1701690,0.036413069,,0,3198,0,0,8782561,52107
2021-04-08,Région,RSS99,Ensemble du Québec,67576,3632,2,0,1759048,13829,23,0,71210,1772900,0.0543804933,,0,4776,0,0,8782561,56864
2021-04-09,Région,RSS99,Ensemble du Québec,73005,2770,1,0,1832053,16599,24,0,75776,1848676,0.0674290791,,0,5922,0,0,8782561,59674
2021-04-10,Région,RSS99,Ensemble du Québec,60158,1801,0,0,1892211,18400,24,0,61959,1910635,0.0765608118,,0,6724,0,0,8782561,63451
2021-04-11,Région,RSS99,Ensemble du Québec,55295,731,2,0,1947506,19131,26,0,56028,1966663,0.0807850922,,0,7095,0,0,8782561,66689
2021-04-12,Région,RSS99,Ensemble du Québec,58967,1073,1,0,2006473,20204,27,0,60041,2026704,0.0844172901,,0,7414,0,0,8782561,67650
2021-04-13,Région,RSS99,Ensemble du Québec,68861,1831,1,0,2075334,22035,28,0,70693,2097397,0.090656928,,0,7962,0,0,8782561,67397
2021-04-14,Région,RSS99,Ensemble du Québec,68596,2520,1,0,2143930,24555,29,0,71117,2168514,0.1030678865,,0,9052,0,0,8782561,67225
2021-04-15,Région,RSS99,Ensemble du Québec,75341,2593,5,0,2219271,27148,34,0,77939,2246453,0.1171184578,,0,10286,0,0,8782561,65105
2021-04-16,Région,RSS99,Ensemble du Québec,71262,2737,1,0,2290533,29885,35,0,74000,2320453,0.1314195256,,0,11542,0,0,8782561,63534
