Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2746,994,,,5,30,1717,1029,1657,186,1602,220,1516
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3292,997,,,9,146,2140,1152,2068,163,1965,204,1923
Région,RSS03,03 - Capitale-Nationale,15402,6274,5,11,171,718,8223,7179,10233,831,9865,1050,10286
Région,RSS04,04 - Mauricie et Centre-du-Québec,6720,1652,1,2,67,723,4275,2445,4157,264,3929,371,3054
Région,RSS05,05 - Estrie,7940,2035,,11,121,690,5083,2857,4047,366,3769,356,3866
Région,RSS06,06 - Montréal,71571,13822,126,284,1972,6515,48852,22719,34786,4634,30490,5574,37605
Région,RSS07,07 - Outaouais,7921,3839,17,33,98,805,3129,4792,5866,173,4554,1129,6152
Région,RSS08,08 - Abitibi-Témiscamingue,879,100,193,,10,21,555,324,450,13,236,236,608
Région,RSS09,09 - Côte-Nord,305,162,,,3,21,119,186,259,14,241,35,232
Région,RSS10,10 - Nord-du-Québec,64,22,2,,2,13,25,39,63,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,556,185,,,5,60,306,250,385,14,348,36,321
Région,RSS12,12 - Chaudière-Appalaches,12244,3452,1,10,38,1157,7586,4658,8639,495,7819,766,5879
Région,RSS13,13 - Laval,18104,3278,13,23,384,2622,11784,6320,9334,569,6969,875,9411
Région,RSS14,14 - Lanaudière,10886,1820,38,11,172,1641,7204,3682,6121,487,5170,692,6155
Région,RSS15,15 - Laurentides,12463,2559,33,59,212,2198,7402,5061,7822,874,7134,977,8208
Région,RSS16,16 - Montérégie,25845,4290,25,155,870,2532,17973,7872,13793,1550,10737,1989,13064
Région,RSS00,Inconnu,465,50,1,,18,56,340,125,420,21,249,88,330
Région,RSS98,Hors-Québec,819,124,11,10,138,130,406,413,417,159,335,229,546
Région,RSS99,Ensemble du Québec,198222,45655,466,609,4295,20078,127119,71103,110517,10817,95470,14832,109216
