,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4110,16,4088,22,54,0,4012,44,196934.5,2086.99,22.36,27.42,1
02,02 - Saguenay-Lac-Saint-Jean,11275,7,11056,219,271,0,10971,33,277505,4062.99,11.90,97.66,4
03,03 - Capitale-Nationale,34112,15,33758,354,1122,0,32772,218,757803,4501.43,28.68,148.06,31
04,04 - Mauricie et Centre-du-Québec,17023,16,16786,237,570,2,16248,205,523331.5,3252.81,39.10,108.92,26
05,05 - Estrie,16581,18,16072,509,363,3,15962,256,494966.5,3349.92,51.53,73.34,17
06,06 - Montréal,145553,112,142616,2937,4808,2,139123,1622,2072060.5,7024.55,78.04,232.04,226
07,07 - Outaouais,13848,27,13402,446,221,0,13435,192,402744,3438.41,47.47,54.87,23
08,08 - Abitibi-Témiscamingue,1234,1,1201,33,9,0,1222,3,147637,835.83,2.03,6.10,4
09,09 - Côte-Nord,613,1,593,20,4,0,604,5,89700.5,683.39,5.59,4.46,2
10,10 - Nord-du-Québec,136,0,134,2,0,0,136,0,13521.5,1005.81,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2154,1,2134,20,47,0,2091,16,89823,2398.05,17.85,52.33,1
12,12 - Chaudière-Appalaches,20935,64,20661,274,373,0,20138,424,431109.5,4856.07,98.17,86.52,49
13,13 - Laval,36139,50,34218,1921,931,0,34715,493,444658.5,8127.36,110.40,209.37,69
14,14 - Lanaudière,26684,20,25974,710,524,0,25837,323,522367,5108.29,61.57,100.31,41
15,15 - Laurentides,24245,32,23643,602,517,0,23316,412,630238,3846.96,65.03,82.03,90
16,16 - Montérégie,56806,54,54877,1929,1577,1,54478,751,1438226,3949.73,52.02,109.65,83
17,17 - Nunavik,52,0,50,2,0,0,51,1,14336.5,362.71,6.94,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,136,1,18507,767.28,5.37,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1154,2,1147,7,1,0,1129,24,.,.,.,.,4
999,Ensemble du Québec,412800,436,402555,10245,11397,8,396380,5023,8565469.5,4819.35,58.46,133.06,671

