Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2707;8,3;2016,5;359;267,4
Anjou;822;2,5;1920,7;51;119,2
Baie D'urfé;32;0,1;*837;< 5;n.p.
Beaconsfield;71;0,2;367,4;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2637;8,1;1583,6;261;156,7
Côte-Saint-Luc;625;1,9;1926,2;64;197,2
Dollard-des-Ormeaux;523;1,6;1069,6;83;169,7
Dorval;209;0,6;1101,2;50;263,4
Hampstead;75;0,2;1075,6;< 5;n.p.
Kirkland;149;0,5;739,4;23;*114,1
Lachine;741;2,3;1665,6;100;224,8
LaSalle;1390;4,3;1808,6;183;238,1
L'Île-Bizard–Sainte-Geneviève;236;0,7;1281,7;46;249,8
Mercier–Hochelaga-Maisonneuve;2700;8,3;1984,9;373;274,2
Montréal Est;51;0,2;1324,7;5;n.p.
Montréal-Nord;2892;8,9;3433,3;247;293,2
Montréal-Ouest;35;0,1;*693,1;< 5;n.p.
Mont-Royal;308;0,9;1519;77;379,8
Outremont;423;1,3;1765,9;11;*45,9
Pierrefonds–Roxboro;638;2;920,7;39;56,3
Plateau Mont-Royal;1326;4,1;1275;140;134,6
Pointe-Claire;250;0,8;796,7;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2443;7,5;2288,7;242;226,7
Rosemont–La Petite Patrie;1970;6,1;1411,3;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1339;4,1;1354,9;120;121,4
Saint-Léonard;1388;4,3;1772,6;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1172;3,6;1499,7;182;232,9
Verdun;1088;3,4;1571,6;159;229,7
Ville-Marie;1305;4;1463,5;87;97,6
Villeray–Saint-Michel–Parc-Extension;2647;8,2;1840,1;132;91,8
Westmount;228;0,7;1122,5;37;182,2
Territoire à confirmer;742;;;45;
Total à Montréal;33184;;1606,5;3478;168,4
