,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1085,19,1072,13,24,0,892,169,197074,550.55,85.75,12.18
02,02 - Saguenay–Lac-Saint-Jean,6208,56,6045,163,169,5,5351,688,277632,2236.05,247.81,60.87
03,03 - Capitale-Nationale,13972,210,13709,263,516,8,11463,1993,755459,1849.47,263.81,68.30
04,04 - Mauricie et Centre-du-Québec,7954,92,7745,209,306,3,6672,976,522341,1522.76,186.85,58.58
05,05 - Estrie,5930,119,5601,329,92,4,4797,1041,493163,1202.44,211.09,18.66
06,06 - Montréal,57073,653,54306,2767,3707,7,48353,5013,2065657,2762.95,242.68,179.46
07,07 - Outaouais,3946,38,3653,293,92,2,3505,349,401032,983.96,87.03,22.94
08,08 - Abitibi-Témiscamingue,298,0,265,33,4,0,270,24,147616,201.88,16.26,2.71
09,09 - Côte-Nord,236,9,223,13,2,0,210,24,90033,262.13,26.66,2.22
10,10 - Nord-du-Québec,56,-1,54,2,0,0,55,1,13558,413.04,7.38,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1471,7,1452,19,42,0,1346,83,89998,1634.48,92.22,46.67
12,12 - Chaudière-Appalaches,6351,86,6107,244,148,0,5517,686,430309,1475.92,159.42,34.39
13,13 - Laval,13068,197,11822,1246,733,1,11160,1175,442745,2951.59,265.39,165.56
14,14 - Lanaudière,12671,138,11967,704,361,2,11090,1220,520092,2436.30,234.57,69.41
15,15 - Laurentides,8761,78,8165,596,343,0,7810,608,626968,1397.36,96.97,54.71
16,16 - Montérégie,22660,195,21315,1345,935,8,19610,2115,1432751,1581.57,147.62,65.26
17,17 - Nunavik,30,2,28,2,0,0,29,1,14260,210.38,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,17,0,17,0,1,0,15,1,18385,92.47,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,131,0,129,2,0,0,122,9,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,161921,1898,153678,8243,7475,40,138270,16176,8539073,1896.24,189.44,87.54
