group,1d,2d,3d,pop 2021
0-4,224,50,4,341718
5-11,305717,355,2,737620
12-17,516053,471837,765,529446
18-29,1076892,1005744,11010,1216440
30-39,990086,939449,14562,1118629
40-49,1007659,974109,26320,1115327
50-59,1065454,1033132,57065,1155183
60-69,1104826,1089982,62002,1168854
70-79,748698,746489,169305,783129
80 plus,398379,397100,161895,425520
Total 5+,7213764,6658197,502926,8250148
Total,7213988,6658247,502930,8591866
