,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1465,5,1449,16,30,0,1413,22,196795,744.43,11.18,15.24
02,02 - Saguenay–Lac-Saint-Jean,8751,15,8563,188,261,0,8353,137,277378,3154.90,49.39,94.10
03,03 - Capitale-Nationale,21252,73,20931,321,908,2,19357,987,760147,2795.78,129.84,119.45
04,04 - Mauricie et Centre-du-Québec,12103,42,11877,226,443,2,10980,680,524322,2308.31,129.69,84.49
05,05 - Estrie,10486,53,10074,412,267,1,9675,544,496770,2110.84,109.51,53.75
06,06 - Montréal,92910,546,90082,2828,4285,11,82040,6585,2078464,4470.13,316.82,206.16
07,07 - Outaouais,5792,18,5411,381,152,1,5477,163,404456,1432.05,40.30,37.58
08,08 - Abitibi-Témiscamingue,696,6,662,34,5,0,647,44,147658,471.36,29.80,3.39
09,09 - Côte-Nord,340,0,326,14,3,0,337,0,89368,380.45,0.00,3.36
10,10 - Nord-du-Québec,87,0,85,2,0,0,86,1,13485,645.16,7.42,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1686,0,1667,19,45,0,1637,4,89648,1880.69,4.46,50.20
12,12 - Chaudière-Appalaches,10868,77,10606,262,254,6,10119,495,431910,2516.26,114.61,58.81
13,13 - Laval,21793,110,20349,1444,818,0,19822,1153,446572,4880.06,258.19,183.17
14,14 - Lanaudière,18429,60,17719,710,460,1,17027,942,524642,3512.68,179.55,87.68
15,15 - Laurentides,14328,133,13726,602,422,0,12997,909,633508,2261.69,143.49,66.61
16,16 - Montérégie,37343,230,35834,1509,1312,13,33492,2539,1443701,2586.62,175.87,90.88
17,17 - Nunavik,37,0,35,2,0,0,35,2,14413,256.71,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,108,0,108,0,2,0,65,41,18629,579.74,220.09,10.74
98,Inconnu,5,0,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,219,0,215,4,0,0,204,15,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,258698,1368,249724,8974,9667,37,233768,15263,8591866,3010.96,177.64,112.51
