group,1d,2d,pop 2021
0-11,503,103,1079338
12-17,487752,431259,529446
18-29,1013425,902553,1216440
30-39,941194,860920,1118629
40-49,977000,922288,1115327
50-59,1045159,998042,1155183
60-69,1094259,1071459,1168854
70-79,744023,736543,783129
80 plus,395999,386415,425520
Total 12+,6698811,6309479,7512528
Total,6699314,6309582,8591866
