group,1d,2d,pop 2021
0-11,448,89,1079338
12-17,462240,384441,529446
18-29,943361,783967,1216440
30-39,899559,783830,1118629
40-49,948663,867404,1115327
50-59,1026052,959222,1155183
60-69,1084616,1051684,1168854
70-79,740102,728065,783129
80 plus,394359,382079,425520
Total 12+,6498952,5940692,7512528
Total,6499400,5940781,8591866
