Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2787;8,3;2076,1;360;268,2
Anjou;854;2,5;1995,5;51;119,2
Baie D'urfé;32;0,1;*837;< 5;n.p.
Beaconsfield;75;0,2;388,1;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2725;8,1;1636,4;261;156,7
Côte-Saint-Luc;653;1,9;2012,5;64;197,2
Dollard-des-Ormeaux;548;1,6;1120,7;83;169,7
Dorval;220;0,7;1159,1;50;263,4
Hampstead;81;0,2;1161,6;< 5;n.p.
Kirkland;153;0,5;759,3;23;*114,1
Lachine;757;2,3;1701,5;100;224,8
LaSalle;1414;4,2;1839,9;183;238,1
L'Île-Bizard–Sainte-Geneviève;247;0,7;1341,4;46;249,8
Mercier–Hochelaga-Maisonneuve;2777;8,3;2041,6;373;274,2
Montréal Est;54;0,2;1402,6;5;n.p.
Montréal-Nord;2968;8,8;3523,5;248;294,4
Montréal-Ouest;37;0,1;732,7;< 5;n.p.
Mont-Royal;317;0,9;1563,4;77;379,8
Outremont;458;1,4;1912;12;*50,1
Pierrefonds–Roxboro;667;2;962,5;39;56,3
Plateau Mont-Royal;1397;4,2;1343,3;140;134,6
Pointe-Claire;252;0,7;803,1;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2520;7,5;2360,8;242;226,7
Rosemont–La Petite Patrie;2036;6,1;1458,6;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1405;4,2;1421,7;120;121,4
Saint-Léonard;1447;4,3;1847,9;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1216;3,6;1556;182;232,9
Verdun;1122;3,3;1620,7;159;229,7
Ville-Marie;1401;4,2;1571,2;87;97,6
Villeray–Saint-Michel–Parc-Extension;2758;8,2;1917,2;133;92,5
Westmount;233;0,7;1147,1;37;182,2
Territoire à confirmer;779;;;45;
Total à Montréal;34412;;1665,9;3482;168,6
