date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,total_doses_1d,total_doses_2d,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,294,0,294,0,294,294,0.0030348633,0.0,0.0005624457,259.0,0.0,259.0,0.0,
2020-12-15,Région,RSS99,Ensemble du Québec,1173,0,1467,0,1173,1467,0.0163109256,0.0,0.0017693605,1133.0,0.0,1392.0,0.0,
2020-12-16,Région,RSS99,Ensemble du Québec,950,0,2417,0,950,2417,0.0276652984,0.0,0.0025661586,969.0,0.0,2361.0,0.0,
2020-12-17,Région,RSS99,Ensemble du Québec,910,0,3327,0,910,3327,0.0385861193,0.0,0.0032457805,932.0,0.0,3293.0,0.0,698.0
2020-12-18,Région,RSS99,Ensemble du Québec,727,0,4054,0,727,4054,0.0474797921,0.0,0.0042300605,759.0,0.0,4052.0,0.0,729.0
2020-12-19,Région,RSS99,Ensemble du Québec,720,0,4774,0,720,4774,0.0559750658,0.0,0.004956552800000001,725.0,0.0,4777.0,0.0,851.0
2020-12-20,Région,RSS99,Ensemble du Québec,115,0,4889,0,115,4889,0.0574514858,0.0,0.0051323171,126.0,0.0,4903.0,0.0,1253.0
2020-12-21,Région,RSS99,Ensemble du Québec,511,0,5400,0,511,5400,0.063474342,0.0,0.0061751852,514.0,0.0,5417.0,0.0,1555.0
2020-12-22,Région,RSS99,Ensemble du Québec,2025,0,7425,0,2025,7425,0.08622995800000001,0.0,0.010006846600000001,1942.0,0.0,7359.0,0.0,1451.0
2020-12-23,Région,RSS99,Ensemble du Québec,3761,0,11186,0,3761,11186,0.1301827468,0.0,0.0147524823,3751.0,0.0,11110.0,0.0,1796.0
2020-12-24,Région,RSS99,Ensemble du Québec,3026,0,14212,0,3026,14212,0.1650075104,0.0,0.0175647108,2972.0,0.0,14082.0,0.0,2106.0
2020-12-25,Région,RSS99,Ensemble du Québec,0,0,14212,0,0,14212,0.1651481218,0.0,0.0175647108,12.0,0.0,14094.0,0.0,2393.0
2020-12-26,Région,RSS99,Ensemble du Québec,3133,0,17345,0,3133,17345,0.2015196111,0.0,0.020974537999999997,3104.0,0.0,17198.0,0.0,2442.0
2020-12-27,Région,RSS99,Ensemble du Québec,2285,0,19630,0,2285,19630,0.2284818524,0.0,0.0235992846,2301.0,0.0,19499.0,0.0,2343.0
2020-12-28,Région,RSS99,Ensemble du Québec,2521,1,22151,1,2522,22152,0.2584086513,0.0,0.027032547,2554.0,0.0,22053.0,0.0,1960.0
2020-12-29,Région,RSS99,Ensemble du Québec,2364,0,24515,1,2364,24516,0.2870230768,0.0,0.0298096227,2442.0,0.0,24495.0,0.0,1961.0
2020-12-30,Région,RSS99,Ensemble du Québec,3072,0,27587,1,3072,27588,0.3238515532,0.0,0.0336061312,3143.0,0.0,27638.0,0.0,1604.0
2020-12-31,Région,RSS99,Ensemble du Québec,345,0,27932,1,345,27933,0.3284565775,0.0,0.0337584603,393.0,0.0,28031.0,0.0,1498.0
2021-01-01,Région,RSS99,Ensemble du Québec,7,0,27939,1,7,27940,0.3292065051,0.0,0.0337818955,64.0,0.0,28095.0,0.0,1533.0
2021-01-02,Région,RSS99,Ensemble du Québec,636,0,28575,1,636,28576,0.33730337979999997,0.0,0.034566976,691.0,0.0,28786.0,0.0,2049.0
2021-01-03,Région,RSS99,Ensemble du Québec,1542,0,30117,1,1542,30118,0.3561335935,0.0,0.0360668312,1607.0,0.0,30393.0,0.0,3146.0
2021-01-04,Région,RSS99,Ensemble du Québec,2763,0,32880,1,2763,32881,0.3890015147,1.17176e-05,0.0402500212,2805.0,1.0,33198.0,1.0,5066.0
2021-01-05,Région,RSS99,Ensemble du Québec,5974,1,38854,2,5975,38856,0.4580768786,0.00010545860000000001,0.05049122019999999,5895.0,8.0,39093.0,9.0,6981.0
2021-01-06,Région,RSS99,Ensemble du Québec,10749,2,49603,4,10751,49607,0.5815219945000001,0.000339811,0.0638141529,10535.0,20.0,49628.0,29.0,8146.0
2021-01-07,Région,RSS99,Ensemble du Québec,13789,1,63392,5,13790,63397,0.7363937645,0.0006093162,0.08563235949999999,13217.0,23.0,62845.0,52.0,8935.0
2021-01-08,Région,RSS99,Ensemble du Québec,13411,2,76803,7,13413,76810,0.889589915,0.0009256919000000001,0.1036540575,13074.0,27.0,75919.0,79.0,9591.0
2021-01-09,Région,RSS99,Ensemble du Québec,8786,1,85589,8,8787,85597,0.9910176248,0.0010077152,0.1139889974,8656.0,7.0,84575.0,86.0,9883.0
2021-01-10,Région,RSS99,Ensemble du Québec,7064,2,92653,10,7066,92663,1.0735330976000002,0.0010663033,0.1207149107,7042.0,5.0,91617.0,91.0,9657.0
2021-01-11,Région,RSS99,Ensemble du Québec,7354,1,100007,11,7355,100018,1.1585795762,0.0012537852,0.1293742311,7258.0,16.0,98875.0,107.0,9382.0
2021-01-12,Région,RSS99,Ensemble du Québec,8014,4,108021,15,8018,108036,1.2521096108,0.0014295495000000002,0.1362524734,7982.0,15.0,106857.0,122.0,9066.0
2021-01-13,Région,RSS99,Ensemble du Québec,9162,5,117183,20,9167,117203,1.3596890706,0.0016404667000000002,0.1445602653,9181.0,18.0,116038.0,140.0,9023.0
2021-01-14,Région,RSS99,Ensemble du Québec,11865,2,129048,22,11867,129070,1.4989529722,0.0018396661999999999,0.15437963,11885.0,17.0,127923.0,157.0,9035.0
2021-01-15,Région,RSS99,Ensemble du Québec,11195,6,140243,28,11201,140271,1.6319127947,0.0024489824,0.1629334918,11347.0,52.0,139270.0,209.0,9505.0
2021-01-16,Région,RSS99,Ensemble du Québec,8483,5,148726,33,8488,148759,1.7317469083,0.0031754746999999995,0.16998749850000003,8520.0,62.0,147790.0,271.0,9839.0
2021-01-17,Région,RSS99,Ensemble du Québec,7147,0,155873,33,7147,155906,1.8134538653999999,0.0032926509,0.17637360079999997,6973.0,10.0,154763.0,281.0,10171.0
2021-01-18,Région,RSS99,Ensemble du Québec,10635,10,166508,43,10645,166551,1.9354811495,0.0037847909000000004,0.1860757893,10414.0,42.0,165177.0,323.0,10446.0
2021-01-19,Région,RSS99,Ensemble du Québec,10355,1,176863,44,10356,176907,2.0574967158,0.004089449,0.19481713309999998,10413.0,26.0,175590.0,349.0,10553.0
2021-01-20,Région,RSS99,Ensemble du Québec,11488,3,188351,47,11491,188398,2.1956357259,0.0043120838,0.2037342411,11789.0,19.0,187379.0,368.0,10558.0
2021-01-21,Région,RSS99,Ensemble du Québec,13784,13,202135,60,13797,202195,2.3622368325,0.0051323171,0.21340127679999998,14218.0,70.0,201597.0,438.0,9835.0
2021-01-22,Région,RSS99,Ensemble du Québec,11939,6,214074,66,11945,214140,2.5032349416999997,0.0058002214000000005,0.22163876289999998,12033.0,57.0,213630.0,495.0,8958.0
2021-01-23,Région,RSS99,Ensemble du Québec,8523,4,222597,70,8527,222667,2.6036197834,0.0059291152000000005,0.2274389843,8567.0,11.0,222197.0,506.0,8068.0
2021-01-24,Région,RSS99,Ensemble du Québec,2081,3,224678,73,2084,224751,2.6283439595,0.0061283147,0.2288919691,2110.0,17.0,224307.0,523.0,6967.0
2021-01-25,Région,RSS99,Ensemble du Québec,4500,5,229178,78,4505,229256,2.681928631,0.006561866600000001,0.2327236305,4573.0,37.0,228880.0,560.0,5481.0
2021-01-26,Région,RSS99,Ensemble du Québec,4091,33,233269,111,4124,233380,2.7316230531,0.0082374861,0.2369302557,4241.0,143.0,233121.0,703.0,4102.0
2021-01-27,Région,RSS99,Ensemble du Québec,3768,17,237037,128,3785,237165,2.7770991323,0.0099482585,0.2414766918,3881.0,146.0,237002.0,849.0,2970.0
2021-01-28,Région,RSS99,Ensemble du Québec,3346,50,240383,178,3396,240561,2.8173257183,0.012162888500000002,0.24663244420000002,3433.0,189.0,240435.0,1038.0,2786.0
2021-01-29,Région,RSS99,Ensemble du Québec,2267,28,242650,206,2295,242856,2.8449207110000003,0.0139791194,0.2494212375,2355.0,155.0,242790.0,1193.0,2204.0
2021-01-30,Région,RSS99,Ensemble du Québec,553,50,243203,256,603,243459,2.8522910933,0.0157719151,0.2514483856,629.0,153.0,243419.0,1346.0,1721.0
2021-01-31,Région,RSS99,Ensemble du Québec,773,21,243976,277,794,244253,2.8620518699,0.0173303585,0.2532294637,833.0,133.0,244252.0,1479.0,1609.0
