group,1d,2d,pop 2021
0-11,504,100,1079338
12-17,483439,420897,529446
18-29,1001006,879065,1216440
30-39,932647,844624,1118629
40-49,971417,911267,1115327
50-59,1041418,990521,1155183
60-69,1092239,1067684,1168854
70-79,743219,734803,783129
80 plus,395643,385461,425520
Total 12+,6661028,6234322,7512528
Total,6661532,6234422,8591866
