Date;Nouveaux cas;Cumulatif de cas
2020-11-03;238;43158
2020-11-04;247;43405
2020-11-05;326;43731
2020-11-06;264;43995
2020-11-07;271;44266
2020-11-08;275;44541
2020-11-09;266;44807
2020-11-10;319;45126
2020-11-11;347;45473
2020-11-12;283;45756
2020-11-13;328;46084
2020-11-14;303;46387
2020-11-15;277;46664
2020-11-16;309;46973
2020-11-17;241;47214
2020-11-18;232;47446
2020-11-19;283;47729
2020-11-20;253;47982
2020-11-21;268;48250
2020-11-22;300;48550
2020-11-23;275;48825
2020-11-24;237;49062
2020-11-25;303;49365
2020-11-26;347;49712
2020-11-27;416;50128
2020-11-28;446;50574
2020-11-29;364;50938
2020-11-30;333;51271
2020-12-01;418;51689
2020-12-02;457;52146
2020-12-03;452;52598
2020-12-04;500;53098
2020-12-05;518;53616
2020-12-06;482;54098
2020-12-07;461;54559
2020-12-08;531;55090
2020-12-09;590;55680
2020-12-10;548;56228
2020-12-11;646;56874
2020-12-12;730;57604
2020-12-13;564;58168
2020-12-14;678;58846
2020-12-15;554;59400
2020-12-16;701;60101
2020-12-17;929;61030
2020-12-18;812;61842
2020-12-19;699;62541
2020-12-20;652;63193
2020-12-21;755;63948
2020-12-22;760;64708
2020-12-23;701;65409
2020-12-24;878;66287
2020-12-25;945;67232
2020-12-26;756;67988
2020-12-27;802;68790
2020-12-28;843;69633
2020-12-29;999;70632
2020-12-30;933;71565
2020-12-31;744;72309
2021-01-01;1230;73539
2021-01-02;924;74463
2021-01-03;791;75254
2021-01-04;770;76024
2021-01-05;822;76846
2021-01-06;1094;77940
2021-01-07;1278;79218
2021-01-08;1047;80265
2021-01-09;820;81085
2021-01-10;779;81864
2021-01-11;565;82429
2021-01-12;861;83290
2021-01-13;731;84021
2021-01-14;818;84839
2021-01-15;714;85553
2021-01-16;880;86433
2021-01-17;582;87015
2021-01-18;471;87486
2021-01-19;638;88124
2021-01-20;671;88795
2021-01-21;765;89560
2021-01-22;616;90176
2021-01-23;563;90739
2021-01-24;430;91169
2021-01-25;506;91675
2021-01-26;595;92270
2021-01-27;455;92725
2021-01-28;574;93299
2021-01-29;500;93799
2021-01-30;558;94357
2021-01-31;389;94746
2021-02-01;470;95216
2021-02-02;561;95777
2021-02-03;485;96262
2021-02-04;526;96788
2021-02-05;554;97342
2021-02-06;509;97851
2021-02-07;406;98257
2021-02-08;333;98590
2021-02-09;450;99040
2021-02-10;549;99589
2021-02-11;474;100063
2021-02-12;485;100548
2021-02-13;344;100892
2021-02-14;351;101243
2021-02-15;322;101565
2021-02-16;410;101975
2021-02-17;332;102307
2021-02-18;377;102684
2021-02-19;395;103079
2021-02-20;390;103469
2021-02-21;405;103874
2021-02-22;262;104136
2021-02-23;421;104557
2021-02-24;408;104965
2021-02-25;388;105353
2021-02-26;400;105753
2021-02-27;324;106077
2021-02-28;249;106326
2021-03-01;258;106584
2021-03-02;392;106976
2021-03-03;303;107279
2021-03-04;375;107654
2021-03-05;280;107934
2021-03-06;398;108332
2021-03-07;267;108599
2021-03-08;259;108858
2021-03-09;392;109250
2021-03-10;316;109566
2021-03-11;362;109928
2021-03-12;390;110318
2021-03-13;277;110595
2021-03-14;271;110866
2021-03-15;244;111110
2021-03-16;339;111449
2021-03-17;315;111764
2021-03-18;357;112121
2021-03-19;319;112440
2021-03-20;267;112707
2021-03-21;307;113014
2021-03-22;226;113240
2021-03-23;339;113579
2021-03-24;367;113946
2021-03-25;354;114300
2021-03-26;361;114661
2021-03-27;310;114971
2021-03-28;262;115233
2021-03-29;306;115539
2021-03-30;379;115918
2021-03-31;402;116320
2021-04-01;359;116679
2021-04-02;386;117065
2021-04-03;356;117421
2021-04-04;302;117723
2021-04-05;293;118016
2021-04-06;311;118327
2021-04-07;406;118733
2021-04-08;394;119127
2021-04-09;517;119644
2021-04-10;296;119940
2021-04-11;378;120318
2021-04-12;261;120579
2021-04-13;372;120951
2021-04-14;354;121305
2021-04-15;431;121736
2021-04-16;366;122102
2021-04-17;351;122453
2021-04-18;217;122670
2021-04-19;253;122923
2021-04-20;273;123196
2021-04-21;311;123507
2021-04-22;315;123822
2021-04-23;229;124051
2021-04-24;341;124392
2021-04-25;198;124590
2021-04-26;244;124834
2021-04-27;292;125126
2021-04-28;311;125437
2021-04-29;343;125780
2021-04-30;323;126103
2021-05-01;262;126365
2021-05-02;211;126576
2021-05-03;223;126799
2021-05-04;238;127037
2021-05-05;199;127236
2021-05-06;259;127495
2021-05-07;279;127774
2021-05-08;212;127986
2021-05-09;196;128182
2021-05-10;189;128371
2021-05-11;261;128632
2021-05-12;261;128893
2021-05-13;291;129184
2021-05-14;243;129427
2021-05-15;206;129633
2021-05-16;185;129818
2021-05-17;191;130009
2021-05-18;206;130215
2021-05-19;263;130478
2021-05-20;247;130725
2021-05-21;197;130922
2021-05-22;181;131103
2021-05-23;114;131217
2021-05-24;155;131372
2021-05-25;164;131536
2021-05-26;154;131690
2021-05-27;147;131837
2021-05-28;142;131979
2021-05-29;83;132062
2021-05-30;80;132142
2021-05-31;83;132225
2021-06-01;107;132332
2021-06-02;99;132431
2021-06-03;84;132515
2021-06-04;87;132602
2021-06-05;73;132675
2021-06-06;49;132724
2021-06-07;60;132784
2021-06-08;56;132840
2021-06-09;42;132882
2021-06-10;64;132946
2021-06-11;67;133013
2021-06-12;51;133064
2021-06-13;35;133099
2021-06-14;36;133135
2021-06-15;62;133197
2021-06-16;45;133242
2021-06-17;57;133299
2021-06-18;50;133349
2021-06-19;24;133373
2021-06-20;27;133400
2021-06-21;28;133428
2021-06-22;46;133474
2021-06-23;28;133502
2021-06-24;27;133529
2021-06-25;35;133564
2021-06-26;35;133599
2021-06-27;13;133612
2021-06-28;38;133650
2021-06-29;40;133690
2021-06-30;26;133716
2021-07-01;25;133741
2021-07-02;26;133767
2021-07-03;23;133790
2021-07-04;12;133802
2021-07-05;22;133824
2021-07-06;30;133854
2021-07-07;29;133883
2021-07-08;33;133916
2021-07-09;25;133941
2021-07-10;18;133959
2021-07-11;20;133979
2021-07-12;27;134006
2021-07-13;31;134037
2021-07-14;32;134069
2021-07-15;40;134109
2021-07-16;30;134139
2021-07-17;32;134171
2021-07-18;35;134206
2021-07-19;28;134234
2021-07-20;54;134288
2021-07-21;53;134341
2021-07-22;49;134390
2021-07-23;46;134436
2021-07-24;33;134469
2021-07-25;35;134504
2021-07-26;40;134544
2021-07-27;52;134596
2021-07-28;48;134644
2021-07-29;16;134660
2021-07-30;106;134766
2021-07-31;52;134818
2021-08-01;43;134861
2021-08-02;54;134915
2021-08-03;52;134967
2021-08-04;94;135061
2021-08-05;103;135164
2021-08-06;93;135257
2021-08-07;86;135343
2021-08-08;69;135412
2021-08-09;86;135498
2021-08-10;105;135603
2021-08-11;152;135755
2021-08-12;143;135898
2021-08-13;158;136056
2021-08-14;142;136198
2021-08-15;135;136333
2021-08-16;138;136471
2021-08-17;148;136619
2021-08-18;201;136820
2021-08-19;179;136999
2021-08-20;209;137208
2021-08-21;157;137365
2021-08-22;129;137494
2021-08-23;161;137655
2021-08-24;216;137871
2021-08-25;225;138096
2021-08-26;248;138344
2021-08-27;200;138544
2021-08-28;154;138698
2021-08-29;133;138831
2021-08-30;181;139012
2021-08-31;246;139258
2021-09-01;274;139532
2021-09-02;245;139777
2021-09-03;249;140026
2021-09-04;204;140230
2021-09-05;192;140422
2021-09-06;182;140604
2021-09-07;202;140806
2021-09-08;238;141044
2021-09-09;315;141359
2021-09-10;286;141645
2021-09-11;236;141881
2021-09-12;205;142086
2021-09-13;234;142320
2021-09-14;249;142569
2021-09-15;319;142888
2021-09-16;284;143172
2021-09-17;266;143438
2021-09-18;261;143699
2021-09-19;213;143912
2021-09-20;206;144118
2021-09-21;227;144345
2021-09-22;252;144597
2021-09-23;210;144807
2021-09-24;268;145075
2021-09-25;209;145284
2021-09-26;137;145421
2021-09-27;140;145561
2021-09-28;188;145749
2021-09-29;234;145983
2021-09-30;189;146172
2021-10-01;149;146321
2021-10-02;119;146440
2021-10-03;128;146568
2021-10-04;119;146687
2021-10-05;130;146817
2021-10-06;161;146978
2021-10-07;175;147153
2021-10-08;155;147308
2021-10-09;153;147461
2021-10-10;91;147552
2021-10-11;129;147681
2021-10-12;157;147838
2021-10-13;145;147983
2021-10-14;193;148176
2021-10-15;208;148384
2021-10-16;141;148525
2021-10-17;95;148620
2021-10-18;122;148742
2021-10-19;119;148861
2021-10-20;141;149002
2021-10-21;89;149091
2021-10-22;120;149211
2021-10-23;99;149310
2021-10-24;102;149412
2021-10-25;103;149515
2021-10-26;147;149662
2021-10-27;141;149803
2021-10-28;168;149971
2021-10-29;138;150109
2021-10-30;143;150252
2021-10-31;141;150393
2021-11-01;123;150516
2021-11-02;111;150627
2021-11-03;164;150791
2021-11-04;153;150944
2021-11-05;165;151109
2021-11-06;204;151313
2021-11-07;179;151492
2021-11-08;152;151644
2021-11-09;234;151878
2021-11-10;213;152091
2021-11-11;197;152288
2021-11-12;188;152476
2021-11-13;168;152644
2021-11-14;141;152785
2021-11-15;135;152920
2021-11-16;268;153188
2021-11-17;238;153426
2021-11-18;191;153617
2021-11-19;256;153873
2021-11-20;206;154079
2021-11-21;216;154295
2021-11-22;179;154474
2021-11-23;239;154713
2021-11-24;302;155015
2021-11-25;302;155317
2021-11-26;244;155561
2021-11-27;219;155780
2021-11-28;227;156007
2021-11-29;291;156298
2021-11-30;340;156638
2021-12-01;386;157024
2021-12-02;409;157433
2021-12-03;383;157816
2021-12-04;389;158205
2021-12-05;342;158547
2021-12-06;346;158893
2021-12-07;403;159296
2021-12-08;498;159794
2021-12-09;559;160353
2021-12-10;547;160900
2021-12-11;449;161349
2021-12-12;414;161763
2021-12-13;726;162489
2021-12-14;916;163405
2021-12-15;973;164378
2021-12-16;1148;165526
2021-12-17;1166;166692
2021-12-18;1611;168303
2021-12-19;1413;169716
2021-12-20;2025;171741
2021-12-21;2441;174182
2021-12-22;3351;177533
2021-12-23;3356;180889
2021-12-24;3406;184295
2021-12-25;3073;187368
2021-12-26;3010;190378
2021-12-27;3964;194342
2021-12-28;4669;199011
2021-12-29;4632;203643
2021-12-30;4471;208114
2021-12-31;4035;212149
2022-01-01;3704;215853
2022-01-02;3885;219738
2022-01-03;3675;223413
2022-01-04;4521;227934
2022-01-05;4483;232417
2022-01-06;3829;236246
2022-01-07;3230;239476
2022-01-08;2523;241999
2022-01-09;3255;245254
2022-01-10;3326;248580
2022-01-11;2190;250770
2022-01-12;2044;252814
2022-01-13;1960;254774
2022-01-14;1744;256518
2022-01-15;1332;257850
2022-01-16;1181;259031
2022-01-17;977;260008
2022-01-18;1453;261461
2022-01-19;1212;262673
2022-01-20;1149;263822
2022-01-21;1049;264871
2022-01-22;649;265520
2022-01-23;519;266039
2022-01-24;801;266840
2022-01-25;760;267600
2022-01-26;776;268376
2022-01-27;612;268988
2022-01-28;600;269588
2022-01-29;578;270166
2022-01-30;382;270548
2022-01-31;578;271126
2022-02-01;684;271810
2022-02-02;746;272556
2022-02-03;622;273178
2022-02-04;523;273701
2022-02-05;339;274040
2022-02-06;331;274371
2022-02-07;612;274983
2022-02-08;543;275526
2022-02-09;454;275980
2022-02-10;481;276461
2022-02-11;531;276992
2022-02-12;242;277234
2022-02-13;248;277482
2022-02-14;379;277861
2022-02-15;341;278202
2022-02-16;320;278522
2022-02-17;309;278831
2022-02-18;227;279058
2022-02-19;172;279230
2022-02-20;130;279360
2022-02-21;268;279628
2022-02-22;236;279864
2022-02-23;206;280070
2022-02-24;231;280301
2022-02-25;180;280481
2022-02-26;127;280608
2022-02-27;103;280711
2022-02-28;248;280959
2022-03-01;206;281165
2022-03-02;152;281317
2022-03-03;261;281578
2022-03-04;134;281712
2022-03-05;119;281831
2022-03-06;128;281959
2022-03-07;180;282139
2022-03-08;201;282340
2022-03-09;183;282523
2022-03-10;157;282680
2022-03-11;175;282855
2022-03-12;104;282959
2022-03-13;66;283025
2022-03-14;170;283195
2022-03-15;194;283389
2022-03-16;247;283636
2022-03-17;218;283854
2022-03-18;177;284031
2022-03-19;149;284180
2022-03-20;150;284330
2022-03-21;273;284603
2022-03-22;400;285003
2022-03-23;414;285417
2022-03-24;439;285856
2022-03-25;413;286269
2022-03-26;308;286577
2022-03-27;304;286881
2022-03-28;550;287431
2022-03-29;580;288011
2022-03-30;663;288674
2022-03-31;557;289231
2022-04-01;649;289880
2022-04-02;462;290342
2022-04-03;473;290815
2022-04-04;672;291487
2022-04-05;785;292272
2022-04-06;741;293013
2022-04-07;704;293717
2022-04-08;610;294327
2022-04-09;479;294806
2022-04-10;462;295268
2022-04-11;616;295884
2022-04-12;624;296508
2022-04-13;795;297303
2022-04-14;586;297889
2022-04-15;425;298314
2022-04-16;326;298640
2022-04-17;270;298910
2022-04-18;371;299281
2022-04-19;467;299748
2022-04-20;581;300329
2022-04-21;391;300720
2022-04-22;452;301172
2022-04-23;334;301506
2022-04-24;318;301824
2022-04-25;379;302203
2022-04-26;391;302594
2022-04-27;390;302984
2022-04-28;367;303351
2022-04-29;348;303699
2022-04-30;185;303884
2022-05-01;200;304084
2022-05-02;131;304215
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
