,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1404,2,1389,15,25,0,1291,88,196795,713.43,44.72,12.70
02,02 - Saguenay–Lac-Saint-Jean,8408,48,8225,183,237,1,7688,483,277378,3031.24,174.13,85.44
03,03 - Capitale-Nationale,19737,142,19435,302,786,17,17161,1790,760147,2596.47,235.48,103.40
04,04 - Mauricie et Centre-du-Québec,11102,95,10884,218,387,1,9551,1164,524322,2117.40,222.00,73.81
05,05 - Estrie,9362,77,8965,397,215,3,8147,1000,496770,1884.57,201.30,43.28
06,06 - Montréal,82483,597,79686,2797,3992,9,69509,8982,2078464,3968.46,432.15,192.06
07,07 - Outaouais,5356,44,5001,355,136,3,4776,444,404456,1324.25,109.78,33.63
08,08 - Abitibi-Témiscamingue,581,16,547,34,5,0,383,193,147658,393.48,130.71,3.39
09,09 - Côte-Nord,317,0,304,13,3,0,304,10,89368,354.71,11.19,3.36
10,10 - Nord-du-Québec,82,0,80,2,0,0,76,6,13485,608.08,44.49,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1676,4,1657,19,43,0,1582,51,89648,1869.53,56.89,47.97
12,12 - Chaudière-Appalaches,9782,92,9526,256,207,1,8508,1067,431910,2264.82,247.04,47.93
13,13 - Laval,19539,268,18139,1400,785,-1,16517,2237,446572,4375.33,500.93,175.78
14,14 - Lanaudière,16955,158,16247,708,419,2,14992,1544,524642,3231.73,294.30,79.86
15,15 - Laurentides,12667,129,12067,600,385,3,11193,1089,633508,1999.50,171.90,60.77
16,16 - Montérégie,32909,259,31471,1438,1155,6,28019,3735,1443701,2279.49,258.71,80.00
17,17 - Nunavik,31,0,29,2,0,0,29,2,14413,215.08,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,41,3,40,1,2,0,17,22,18629,220.09,118.10,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,188,0,185,3,0,0,173,15,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,232624,1934,223881,8743,8782,45,199920,23922,8591866,2707.49,278.43,102.21
