Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      4275,      2685,       62.8,       845,       19.8,       745,       17.4,        55,n.d.,n.d.,n.d.,n.d.,        47,       85.5
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     11126,      5796,       52.1,      2503,       22.5,      2827,       25.4,       271,        13,        4.8,        21,        7.7,       237,       87.5
Région,RSS03,03 - Capitale-Nationale,     33008,     19339,       58.6,      6481,       19.6,      7188,       21.8,      1127,        32,        2.8,       102,        9.1,       993,       88.1
Région,RSS04,04 - Mauricie et Centre-du-Québec,     17020,     10168,       59.7,      3272,       19.2,      3580,       21.0,       568,        21,        3.7,        31,        5.5,       516,       90.8
Région,RSS05,05 - Estrie,     16858,     10183,       60.4,      3271,       19.4,      3404,       20.2,       368,        12,        3.3,        33,        9.0,       323,       87.8
Région,RSS06,06 - Montréal,    130032,     77156,       59.3,     23707,       18.2,     29169,       22.4,      4748,       155,        3.3,       281,        5.9,      4312,       90.8
Région,RSS07,07 - Outaouais,     12556,      8215,       65.4,      2073,       16.5,      2268,       18.1,       218,         6,        2.8,        19,        8.7,       193,       88.5
Région,RSS08,08 - Abitibi-Témiscamingue,      1222,       733,       60.0,       275,       22.5,       214,       17.5,        11,n.d.,n.d.,n.d.,n.d.,         8,       72.7
Région,RSS09,09 - Côte-Nord,       697,       464,       66.6,       127,       18.2,       106,       15.2,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       130,        79,       60.8,        23,       17.7,        28,       21.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      2202,      1169,       53.1,       443,       20.1,       590,       26.8,        48,n.d.,n.d.,n.d.,n.d.,        43,       89.6
Région,RSS12,12 - Chaudière-Appalaches,     22127,     13741,       62.1,      4280,       19.3,      4106,       18.6,       381,        10,        2.6,        36,        9.4,       335,       87.9
Région,RSS13,13 - Laval,     35308,     22227,       63.0,      6962,       19.7,      6119,       17.3,       925,        17,        1.8,        65,        7.0,       843,       91.1
Région,RSS14,14 - Lanaudière,     26572,     16254,       61.2,      5350,       20.1,      4968,       18.7,       526,        24,        4.6,        32,        6.1,       470,       89.4
Région,RSS15,15 - Laurentides,     24473,     15179,       62.0,      4745,       19.4,      4549,       18.6,       525,        26,        5.0,        37,        7.0,       462,       88.0
Région,RSS16,16 - Montérégie,     55482,     32872,       59.2,     10953,       19.7,     11657,       21.0,      1578,        55,        3.5,       104,        6.6,      1419,       89.9
Région,RSS17,17 - Nunavik,       397,       273,       68.8,        56,       14.1,        68,       17.1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       125,        75,       60.0,        17,       13.6,        33,       26.4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    393670,    236652,       60.1,     75396,       19.2,     81622,       20.7,     11358,       377,        3.3,       774,        6.8,     10207,       89.9
Groupe d'âge,0_9,Moins de 10 ans,     37874,     32428,       85.6,      4455,       11.8,       991,        2.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     51965,     42987,       82.7,      7488,       14.4,      1490,        2.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     57195,     46201,       80.8,      8260,       14.4,      2734,        4.8,         7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     54643,     38301,       70.1,     11368,       20.8,      4974,        9.1,        23,n.d.,n.d.,n.d.,n.d.,        16,       69.6
Groupe d'âge,40_49,40-49 ans,     58390,     36756,       62.9,     13909,       23.8,      7725,       13.2,        58,        18,       31.0,        14,       24.1,        26,       44.8
Groupe d'âge,50_59,50-59 ans,     51093,     25703,       50.3,     14481,       28.3,     10909,       21.4,       224,        39,       17.4,        34,       15.2,       151,       67.4
Groupe d'âge,60_69,60-69 ans,     31410,     10652,       33.9,      8812,       28.1,     11946,       38.0,       737,        69,        9.4,        90,       12.2,       578,       78.4
Groupe d'âge,70_79,70-79 ans,     19747,      2525,       12.8,      3839,       19.4,     13383,       67.8,      2224,        80,        3.6,       200,        9.0,      1944,       87.4
Groupe d'âge,80_89,80-89 ans,     19826,       810,        4.1,      1987,       10.0,     17029,       85.9,      4433,        84,        1.9,       267,        6.0,      4082,       92.1
Groupe d'âge,90_,90 ans et plus,     11527,       289,        2.5,       797,        6.9,     10441,       90.6,      3650,        77,        2.1,       166,        4.5,      3407,       93.3
