group,0d,1d,2d,3d,pop 2021
0-4,0,85,15,0,109960
5-11,0,80359,60896,0,149671
12-17,0,100357,93250,0,115666
18-29,0,325500,303842,0,367326
30-39,0,284992,270525,0,330128
40-49,0,252250,242269,0,281268
50-59,0,230890,223947,0,254246
60-69,0,212265,207203,0,219244
70-79,0,149408,146242,0,148691
80 plus,0,106558,102854,0,102264
Total 12+,0,1662220,1590132,0,1818833
Total,0,1742664,1651043,0,2078464
