date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,vac_quo_4_n,total_doses_1d,total_doses_2d,total_doses_3d,vac_cum_4_n,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,293,0,0,0,293,0,0,0,293,293,0.0026393468,0.0,0.0004977715,228.0,0.0,228.0,0.0,
2020-12-15,Région,RSS99,Ensemble du Québec,1174,0,0,0,1467,0,0,0,1174,1467,0.0153961897,0.0,0.0015859233,1102.0,0.0,1330.0,0.0,
2020-12-16,Région,RSS99,Ensemble du Québec,949,0,0,0,2416,0,0,0,949,2416,0.0266249897,0.0,0.002384673,970.0,0.0,2300.0,0.0,
2020-12-17,Région,RSS99,Ensemble du Québec,904,0,0,0,3320,0,0,0,904,3320,0.0373907464,0.0,0.0030560858,930.0,0.0,3230.0,0.0,697.0
2020-12-18,Région,RSS99,Ensemble du Québec,725,0,0,0,4045,0,0,0,725,4045,0.0462232973,0.0,0.0040400528,763.0,0.0,3993.0,0.0,728.0
2020-12-19,Région,RSS99,Ensemble du Québec,718,0,0,0,4763,0,0,0,718,4763,0.054604381,0.0,0.004769346,724.0,0.0,4717.0,0.0,849.0
2020-12-20,Région,RSS99,Ensemble du Québec,114,0,0,0,4877,0,0,0,114,4877,0.0560976957,0.0,0.0049429872,129.0,0.0,4846.0,0.0,1251.0
2020-12-21,Région,RSS99,Ensemble du Québec,510,0,0,0,5387,0,0,0,510,5387,0.0618741608,0.0,0.0059038021,499.0,0.0,5345.0,0.0,1554.0
2020-12-22,Région,RSS99,Ensemble du Québec,2025,0,0,0,7412,0,0,0,2025,7412,0.0826532288,0.0,0.009260866,1795.0,0.0,7140.0,0.0,1450.0
2020-12-23,Région,RSS99,Ensemble du Québec,3759,0,0,0,11171,0,0,0,3759,11171,0.1250564189,0.0,0.0137292338,3663.0,0.0,10803.0,0.0,1795.0
2020-12-24,Région,RSS99,Ensemble du Québec,3025,0,0,0,14196,0,0,0,3025,14196,0.1587775472,0.0,0.0164727654,2913.0,0.0,13716.0,0.0,2105.0
2020-12-25,Région,RSS99,Ensemble du Québec,0,0,0,0,14196,0,0,0,0,14196,0.1589164602,0.0,0.0164727654,12.0,0.0,13728.0,0.0,2391.0
2020-12-26,Région,RSS99,Ensemble du Québec,3131,0,0,0,17327,0,0,0,3131,17327,0.1945013377,0.0,0.0198529814,3074.0,0.0,16802.0,0.0,2439.0
2020-12-27,Région,RSS99,Ensemble du Québec,2284,0,0,0,19611,0,0,0,2284,19611,0.2211726317,0.0,0.0224460239,2304.0,0.0,19106.0,0.0,2340.0
2020-12-28,Région,RSS99,Ensemble du Québec,2513,1,0,0,22124,1,0,0,2514,22125,0.250691642,0.0,0.0258378161,2550.0,0.0,21656.0,0.0,1957.0
2020-12-29,Région,RSS99,Ensemble du Québec,2360,0,0,0,24484,1,0,0,2360,24485,0.2790183158,0.0,0.0285929237,2447.0,0.0,24103.0,0.0,1958.0
2020-12-30,Région,RSS99,Ensemble du Québec,3064,0,0,0,27548,1,0,0,3064,27549,0.3153787908,0.0,0.0323551505,3141.0,0.0,27244.0,0.0,1602.0
2020-12-31,Région,RSS99,Ensemble du Québec,345,0,0,0,27893,1,0,0,345,27894,0.3200555282,0.0,0.0325056396,404.0,0.0,27648.0,0.0,1496.0
2021-01-01,Région,RSS99,Ensemble du Québec,9,0,0,0,27902,1,0,0,9,27903,0.3209700387,0.0,0.0325287917,79.0,0.0,27727.0,0.0,1534.0
2021-01-02,Région,RSS99,Ensemble du Québec,636,0,0,0,28538,1,0,0,636,28539,0.3291080246,0.0,0.0333159654,703.0,0.0,28430.0,0.0,2050.0
2021-01-03,Région,RSS99,Ensemble du Québec,1543,0,0,0,30081,1,0,0,1543,30082,0.3479770391,0.0,0.0348208561,1630.0,0.0,30060.0,0.0,3149.0
2021-01-04,Région,RSS99,Ensemble du Québec,2780,0,0,0,32861,1,0,0,2780,32862,0.3801469723,1.15761e-05,0.0386641155,2779.0,1.0,32839.0,1.0,5067.0
2021-01-05,Région,RSS99,Ensemble du Québec,5973,1,0,0,38834,2,0,0,5974,38836,0.4454708056,0.0001041847,0.0479481336,5643.0,8.0,38482.0,9.0,6981.0
2021-01-06,Région,RSS99,Ensemble du Québec,10755,1,0,0,49589,3,0,0,10756,49592,0.5627017928,0.0003472825,0.0601145963,10127.0,21.0,48609.0,30.0,8145.0
2021-01-07,Région,RSS99,Ensemble du Québec,13772,1,0,0,63361,4,0,0,13773,63365,0.7061989111,0.0006598367,0.0797823604,12396.0,27.0,61005.0,57.0,8937.0
2021-01-08,Région,RSS99,Ensemble du Québec,13400,2,0,0,76761,6,0,0,13402,76767,0.8500664641,0.000983967,0.0959772998,12428.0,28.0,73433.0,85.0,9594.0
2021-01-09,Région,RSS99,Ensemble du Québec,8786,1,0,0,85547,7,0,0,8787,85554,0.9472013721,0.0011113039,0.1054002309,8391.0,11.0,81824.0,96.0,9881.0
2021-01-10,Région,RSS99,Ensemble du Québec,7086,2,0,0,92633,9,0,0,7088,92642,1.0269605803,0.0011691843,0.1116397393,6890.0,5.0,88714.0,101.0,9656.0
2021-01-11,Région,RSS99,Ensemble du Québec,7376,1,0,0,100009,10,0,0,7377,100019,1.1083635922,0.0014238581,0.119731421,7032.0,22.0,95746.0,123.0,9383.0
2021-01-12,Région,RSS99,Ensemble du Québec,7980,4,0,0,107989,14,0,0,7984,108003,1.1977888293,0.0016322276,0.1260982664,7725.0,18.0,103471.0,141.0,9069.0
2021-01-13,Région,RSS99,Ensemble du Québec,9176,5,0,0,117165,19,0,0,9181,117184,1.3016725934,0.0018521732,0.1338079373,8974.0,19.0,112445.0,160.0,9022.0
2021-01-14,Région,RSS99,Ensemble du Québec,11858,2,0,0,129023,21,0,0,11860,129044,1.4363140086,0.0020721188,0.1431266837,11631.0,19.0,124076.0,179.0,9029.0
2021-01-15,Région,RSS99,Ensemble du Québec,11200,6,0,0,140223,27,0,0,11206,140250,1.5665102082,0.0027551076,0.1514730391,11247.0,59.0,135323.0,238.0,9496.0
2021-01-16,Région,RSS99,Ensemble du Québec,8450,5,0,0,148673,32,0,0,8455,148705,1.6629042469,0.0036001616,0.1582103191,8327.0,73.0,143650.0,311.0,9835.0
2021-01-17,Région,RSS99,Ensemble du Québec,7139,1,0,0,155812,33,0,0,7140,155845,1.7405103038,0.0037274986,0.1640099364,6704.0,11.0,150354.0,322.0,10163.0
2021-01-18,Région,RSS99,Ensemble du Québec,10637,10,0,0,166449,43,0,0,10647,166492,1.8552061289,0.0042947266,0.1730045525,9908.0,49.0,160262.0,371.0,10440.0
2021-01-19,Région,RSS99,Ensemble du Québec,10353,3,0,0,176802,46,0,0,10356,176848,1.9722634749,0.0047114656,0.181211995,10112.0,36.0,170374.0,407.0,10543.0
2021-01-20,Région,RSS99,Ensemble du Québec,11474,3,0,0,188276,49,0,0,11477,188325,2.1043928802,0.0050124437,0.1894310136,11414.0,26.0,181788.0,433.0,10550.0
2021-01-21,Région,RSS99,Ensemble du Québec,13789,12,0,0,202065,61,0,0,13801,202126,2.2659949915,0.0059732586,0.1987266078,13960.0,83.0,195748.0,516.0,9828.0
2021-01-22,Région,RSS99,Ensemble du Québec,11917,6,0,0,213982,67,0,0,11923,214049,2.402928471,0.0067257039,0.2067372568,11829.0,65.0,207577.0,581.0,8949.0
2021-01-23,Région,RSS99,Ensemble du Québec,8504,4,0,0,222486,71,0,0,8508,222557,2.501313596,0.0068877691,0.2124211133,8499.0,14.0,216076.0,595.0,8059.0
2021-01-24,Région,RSS99,Ensemble du Québec,2084,3,0,0,224570,74,0,0,2087,224644,2.5252413584,0.0071192907,0.2137986672,2067.0,20.0,218143.0,615.0,6960.0
2021-01-25,Région,RSS99,Ensemble du Québec,4489,5,0,0,229059,79,0,0,4494,229138,2.5765465559,0.0076286383,0.2174451331,4432.0,44.0,222575.0,659.0,5472.0
2021-01-26,Région,RSS99,Ensemble du Québec,4090,31,0,0,233149,110,0,0,4121,233259,2.6247956677,0.0094229311,0.2216472511,4168.0,155.0,226743.0,814.0,4096.0
2021-01-27,Région,RSS99,Ensemble du Québec,3770,15,0,0,236919,125,0,0,3785,237044,2.6688658136,0.0112866804,0.226127195,3807.0,161.0,230550.0,975.0,2967.0
2021-01-28,Région,RSS99,Ensemble du Québec,3339,48,0,0,240258,173,0,0,3387,240431,2.7076804182,0.0136597773,0.2311396387,3353.0,205.0,233903.0,1180.0,2782.0
2021-01-29,Région,RSS99,Ensemble du Québec,2263,27,0,0,242521,200,0,0,2290,242721,2.7341201905,0.0155466788,0.2339294746,2284.0,163.0,236187.0,1343.0,2202.0
2021-01-30,Région,RSS99,Ensemble du Québec,554,51,0,0,243075,251,0,0,605,243326,2.741482579,0.017398852,0.2360131694,636.0,160.0,236823.0,1503.0,1717.0
2021-01-31,Région,RSS99,Ensemble du Québec,774,19,0,0,243849,270,0,0,793,244119,2.75117176,0.0191121122,0.2378884948,837.0,148.0,237660.0,1651.0,1605.0
2021-02-01,Région,RSS99,Ensemble du Québec,392,38,0,0,244241,308,0,0,430,244549,2.7574691489,0.0208601006,0.2397638201,544.0,151.0,238204.0,1802.0,1855.0
2021-02-02,Région,RSS99,Ensemble du Québec,652,80,0,0,244893,388,0,0,732,245281,2.7668110474,0.0241708602,0.2433524057,807.0,286.0,239011.0,2088.0,2255.0
2021-02-03,Région,RSS99,Ensemble du Québec,2936,63,0,0,247829,451,0,0,2999,248280,2.8017823926,0.0268796635,0.2487700123,3021.0,234.0,242032.0,2322.0,2634.0
2021-02-04,Région,RSS99,Ensemble du Québec,5074,65,0,0,252903,516,0,0,5139,253419,2.861352913,0.0295653146,0.2553104989,5146.0,232.0,247178.0,2554.0,2854.0
2021-02-05,Région,RSS99,Ensemble du Québec,5030,55,0,0,257933,571,0,0,5085,258504,2.9196616404,0.0326329765,0.2616773443,5037.0,265.0,252215.0,2819.0,3292.0
2021-02-06,Région,RSS99,Ensemble du Québec,3241,18,0,0,261174,589,0,0,3259,261763,2.9577237995,0.0347282474,0.2656826688,3288.0,181.0,255503.0,3000.0,3710.0
2021-02-07,Région,RSS99,Ensemble du Québec,2322,11,0,0,263496,600,0,0,2333,264096,2.98558743,0.0358511274,0.2681946787,2407.0,97.0,257910.0,3097.0,4126.0
2021-02-08,Région,RSS99,Ensemble du Québec,3463,35,0,0,266959,635,0,0,3498,267594,3.0258953492,0.0396596585,0.2733923397,3482.0,329.0,261392.0,3426.0,4808.0
2021-02-09,Région,RSS99,Ensemble du Québec,3586,72,0,0,270545,707,0,0,3658,271252,3.0682753871,0.0451004173,0.2792382614,3661.0,470.0,265053.0,3896.0,5552.0
2021-02-10,Région,RSS99,Ensemble du Québec,5772,137,2,0,276317,844,2,0,5911,277163,3.1356713393,0.0533773163,0.2884296708,5822.0,715.0,270875.0,4611.0,5324.0
2021-02-11,Région,RSS99,Ensemble du Québec,9768,147,0,0,286085,991,2,0,9915,287078,3.2447180362,0.0631243777,0.3023788502,9420.0,842.0,280295.0,5453.0,5125.0
2021-02-12,Région,RSS99,Ensemble du Québec,10210,78,0,0,296295,1069,2,0,10288,297366,3.3589739701,0.0671991587,0.312311129,9870.0,352.0,290165.0,5805.0,5060.0
2021-02-13,Région,RSS99,Ensemble du Québec,1648,14,0,0,297943,1083,2,0,1662,299028,3.3787806472,0.0690513319,0.3157608016,1711.0,160.0,291876.0,5965.0,4824.0
2021-02-14,Région,RSS99,Ensemble du Québec,934,9,0,0,298877,1092,2,0,943,299971,3.3905998274,0.0698616577,0.3165479752,1021.0,70.0,292897.0,6035.0,4360.0
2021-02-15,Région,RSS99,Ensemble du Québec,2988,57,0,0,301865,1149,2,0,3045,303016,3.4261268245,0.0720958416,0.3199744956,3069.0,193.0,295966.0,6228.0,4651.0
2021-02-16,Région,RSS99,Ensemble du Québec,1905,102,0,0,303770,1251,2,0,2007,305023,3.4501703478,0.0749204058,0.3229611249,2077.0,244.0,298043.0,6472.0,5815.0
2021-02-17,Région,RSS99,Ensemble du Québec,2587,75,0,0,306357,1326,2,0,2662,307685,3.4821203355,0.0778723068,0.3268043842,2760.0,255.0,300803.0,6727.0,7706.0
2021-02-18,Région,RSS99,Ensemble du Québec,11855,90,2,0,318212,1416,4,0,11947,319632,3.6146896319,0.0812409468,0.3361231306,11452.0,291.0,312255.0,7018.0,8889.0
2021-02-19,Région,RSS99,Ensemble du Québec,18374,64,0,0,336586,1480,4,0,18438,338070,3.8175836294,0.084783228,0.3524917112,17527.0,306.0,329782.0,7324.0,10175.0
2021-02-20,Région,RSS99,Ensemble du Québec,14877,23,0,0,351463,1503,4,0,14900,352970,3.9818482396,0.086183934,0.3616483925,14190.0,121.0,343972.0,7445.0,11434.0
2021-02-21,Région,RSS99,Ensemble du Québec,9205,21,1,0,360668,1524,5,0,9227,362197,4.082826407,0.0873878466,0.3682814877,8723.0,104.0,352695.0,7549.0,12474.0
2021-02-22,Région,RSS99,Ensemble du Québec,11991,55,0,0,372659,1579,5,0,12046,374243,4.2145043451,0.090258715,0.3815476782,11375.0,248.0,364070.0,7797.0,12808.0
2021-02-23,Région,RSS99,Ensemble du Québec,10735,81,0,0,383394,1660,5,0,10816,385059,4.3328582123,0.0933148008,0.3913526201,10224.0,264.0,374294.0,8061.0,12664.0
