,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4025,0,4002,23,53,0,3965,7,196934.5,2043.83,3.56,26.91,1
02,02 - Saguenay-Lac-Saint-Jean,11111,2,10888,223,271,0,10820,20,277505,4003.89,7.21,97.66,2
03,03 - Capitale-Nationale,33347,11,32993,354,1119,0,32105,123,757803,4400.48,16.18,147.66,13
04,04 - Mauricie et Centre-du-Québec,16104,16,15864,240,561,0,15329,214,523331.5,3077.21,40.81,107.20,25
05,05 - Estrie,15460,12,14941,519,355,0,14956,149,494966.5,3123.44,29.99,71.72,24
06,06 - Montréal,137866,132,134934,2932,4775,0,131458,1633,2072060.5,6653.57,78.57,230.45,162
07,07 - Outaouais,12941,19,12494,447,215,0,12549,177,402744,3213.21,43.76,53.38,15
08,08 - Abitibi-Témiscamingue,1200,1,1167,33,9,0,1187,4,147637,812.80,2.71,6.10,3
09,09 - Côte-Nord,594,0,575,19,4,0,586,4,89700.5,662.20,4.48,4.46,0
10,10 - Nord-du-Québec,127,0,125,2,0,0,114,13,13521.5,939.24,96.40,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2087,0,2067,20,47,0,2035,5,89823,2323.46,5.58,52.33,0
12,12 - Chaudière-Appalaches,19475,13,19193,282,367,0,19043,65,431109.5,4517.41,15.05,85.13,10
13,13 - Laval,33560,66,31696,1864,921,1,32119,520,444658.5,7547.37,116.44,207.13,52
14,14 - Lanaudière,25033,49,24322,711,517,0,24126,390,522367,4792.22,74.34,98.97,19
15,15 - Laurentides,21962,36,21358,604,510,0,21150,302,630238,3484.72,47.67,80.92,41
16,16 - Montérégie,53463,65,51494,1969,1559,0,51180,724,1438226,3717.29,50.15,108.40,62
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,132,-1,132,0,3,0,122,7,18507,713.24,37.58,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,683,4,678,5,0,0,640,43,.,.,.,.,0
999,Ensemble du Québec,389224,425,378974,10250,11286,1,373538,4400,8565469.5,4544.11,51.21,131.76,429

