group,1d,2d,pop 2021
0-11,544,133,1079338
12-17,501124,458740,529446
18-29,1049907,968052,1216440
30-39,969451,909774,1118629
40-49,995222,955578,1115327
50-59,1057694,1020774,1155183
60-69,1100588,1083255,1168854
70-79,746719,742506,783129
80 plus,397330,392655,425520
Total 12+,6818035,6531334,7512528
Total,6818579,6531467,8591866
