Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      4418,      2784,       63.0,       840,       19.0,       794,       18.0,        61,n.d.,n.d.,n.d.,n.d.,        52,       85.2
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     11258,      5872,       52.2,      2446,       21.7,      2940,       26.1,       272,n.d.,n.d.,n.d.,n.d.,       259,       95.2
Région,RSS03,03 - Capitale-Nationale,     34019,     20003,       58.8,      6438,       18.9,      7578,       22.3,      1129,        17,        1.5,        79,        7.0,      1033,       91.5
Région,RSS04,04 - Mauricie et Centre-du-Québec,     17650,     10503,       59.5,      3293,       18.7,      3854,       21.8,       569,        11,        1.9,        22,        3.9,       536,       94.2
Région,RSS05,05 - Estrie,     18376,     11240,       61.2,      3473,       18.9,      3663,       19.9,       374,        10,        2.7,        17,        4.5,       347,       92.8
Région,RSS06,06 - Montréal,    136978,     81347,       59.4,     24097,       17.6,     31534,       23.0,      4756,       125,        2.6,       194,        4.1,      4437,       93.3
Région,RSS07,07 - Outaouais,     13083,      8575,       65.5,      2085,       15.9,      2423,       18.5,       218,         6,        2.8,        11,        5.0,       201,       92.2
Région,RSS08,08 - Abitibi-Témiscamingue,      1304,       785,       60.2,       268,       20.6,       251,       19.2,        12,n.d.,n.d.,n.d.,n.d.,        11,       91.7
Région,RSS09,09 - Côte-Nord,       778,       528,       67.9,       132,       17.0,       118,       15.2,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       130,        79,       60.8,        24,       18.5,        27,       20.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      2257,      1183,       52.4,       438,       19.4,       636,       28.2,        48,n.d.,n.d.,n.d.,n.d.,        44,       91.7
Région,RSS12,12 - Chaudière-Appalaches,     23191,     14514,       62.6,      4358,       18.8,      4319,       18.6,       383,         8,        2.1,        22,        5.7,       353,       92.2
Région,RSS13,13 - Laval,     36583,     22929,       62.7,      7021,       19.2,      6633,       18.1,       927,         7,        0.8,        48,        5.2,       872,       94.1
Région,RSS14,14 - Lanaudière,     27552,     16848,       61.1,      5404,       19.6,      5300,       19.2,       531,        11,        2.1,        16,        3.0,       504,       94.9
Région,RSS15,15 - Laurentides,     25722,     15880,       61.7,      4802,       18.7,      5040,       19.6,       526,        10,        1.9,        16,        3.0,       500,       95.1
Région,RSS16,16 - Montérégie,     57599,     34124,       59.2,     10962,       19.0,     12513,       21.7,      1583,        28,        1.8,        59,        3.7,      1496,       94.5
Région,RSS17,17 - Nunavik,       784,       526,       67.1,       115,       14.7,       143,       18.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       136,        82,       60.3,        22,       16.2,        32,       23.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    411883,    247852,       60.2,     76230,       18.5,     87801,       21.3,     11399,       242,        2.1,       504,        4.4,     10653,       93.5
Groupe d'âge,0_9,Moins de 10 ans,     42661,     36395,       85.3,      5096,       11.9,      1170,        2.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     54404,     45544,       83.7,      7343,       13.5,      1517,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     60052,     48180,       80.2,      8780,       14.6,      3092,        5.1,         7,n.d.,n.d.,n.d.,n.d.,         5,       71.4
Groupe d'âge,30_39,30-39 ans,     57866,     40151,       69.4,     12012,       20.8,      5703,        9.9,        24,n.d.,n.d.,n.d.,n.d.,        20,       83.3
Groupe d'âge,40_49,40-49 ans,     60820,     38147,       62.7,     14285,       23.5,      8388,       13.8,        60,        14,       23.3,        11,       18.3,        35,       58.3
Groupe d'âge,50_59,50-59 ans,     52281,     25884,       49.5,     14471,       27.7,     11926,       22.8,       225,        15,        6.7,        16,        7.1,       194,       86.2
Groupe d'âge,60_69,60-69 ans,     32154,     10450,       32.5,      8648,       26.9,     13056,       40.6,       741,        41,        5.5,        58,        7.8,       642,       86.6
Groupe d'âge,70_79,70-79 ans,     20065,      2259,       11.3,      3394,       16.9,     14412,       71.8,      2235,        40,        1.8,       119,        5.3,      2076,       92.9
Groupe d'âge,80_89,80-89 ans,     20021,       607,        3.0,      1583,        7.9,     17831,       89.1,      4448,        59,        1.3,       171,        3.8,      4218,       94.8
Groupe d'âge,90_,90 ans et plus,     11559,       235,        2.0,       618,        5.3,     10706,       92.6,      3657,        68,        1.9,       128,        3.5,      3461,       94.6
