CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;28;346;92,5;23129;6182,3;< 5;n.p.;905;241,9
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;66;512;135,8;26764;7096,8;0;;769;203,9
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;28;401;122,4;17250;5266,5;< 5;n.p.;656;200,3
CIUSSS du Nord-de-l'Île-de-Montréal ;44;494;109,8;37763;8393,7;< 5;n.p.;1127;250,5
CIUSSS de l'Est-de-l'Île-de-Montréal ;68;941;175,2;46134;8591,5;< 5;n.p.;1371;255,3
Territoire à confirmer;< 5;39;;2568;;0;;26;
Total à Montréal;236;2733;132,3;153608;7436,3;5;n.p.;4854;235
