,Ahuntsic–Cartierville,Ahuntsic–Cartierville,Ahuntsic–Cartierville,Ahuntsic–Cartierville,Anjou,Anjou,Anjou,Anjou,Baie-D'Urfé,Baie-D'Urfé,Baie-D'Urfé,Baie-D'Urfé,Beaconsfield,Beaconsfield,Beaconsfield,Beaconsfield,Côte-Saint-Luc,Côte-Saint-Luc,Côte-Saint-Luc,Côte-Saint-Luc,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Dorval,Dorval,Dorval,Dorval,Hampstead,Hampstead,Hampstead,Hampstead,Kirkland,Kirkland,Kirkland,Kirkland,L'Île-Bizard–Sainte-Geneviève,L'Île-Bizard–Sainte-Geneviève,L'Île-Bizard–Sainte-Geneviève,L'Île-Bizard–Sainte-Geneviève,LaSalle,LaSalle,LaSalle,LaSalle,Lachine,Lachine,Lachine,Lachine,Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,Mont-Royal,Mont-Royal,Mont-Royal,Mont-Royal,Montréal-Est,Montréal-Est,Montréal-Est,Montréal-Est,Montréal-Nord,Montréal-Nord,Montréal-Nord,Montréal-Nord,Montréal-Ouest,Montréal-Ouest,Montréal-Ouest,Montréal-Ouest,Outremont,Outremont,Outremont,Outremont,Pierrefonds–Roxboro,Pierrefonds–Roxboro,Pierrefonds–Roxboro,Pierrefonds–Roxboro,Plateau-Mont-Royal,Plateau-Mont-Royal,Plateau-Mont-Royal,Plateau-Mont-Royal,Pointe-Claire,Pointe-Claire,Pointe-Claire,Pointe-Claire,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Rosemont–La Petite Patrie,Rosemont–La Petite Patrie,Rosemont–La Petite Patrie,Rosemont–La Petite Patrie,Saint-Laurent,Saint-Laurent,Saint-Laurent,Saint-Laurent,Saint-Léonard,Saint-Léonard,Saint-Léonard,Saint-Léonard,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,Senneville,Senneville,Senneville,Senneville,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Verdun,Verdun,Verdun,Verdun,Ville-Marie,Ville-Marie,Ville-Marie,Ville-Marie,Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Westmount,Westmount,Westmount,Westmount
2020-04-18,330,245.81921114380424,663,69,57,133.19001775866903,138,11,0,0.0,5,0,1,5.17491202649555,15,0,33,101.70118343195266,300,8,296,177.75642565457602,839,40,24,49.080758297715704,96,4,12,63.22444678609062,49,2,0,0.0,29,0,8,39.70026301424247,25,2,6,32.58567316569815,31,-1,71,92.38416197155608,384,5,23,51.69817258198656,108,4,212,155.85484914426866,488,29,17,83.84296705464588,63,3,0,0.0,8,0,286,339.53035591328916,577,50,1,19.801980198019802,6,0,18,75.14402604992904,162,3,24,34.63353391921728,110,2,128,123.07692307692308,363,15,7,22.307202039515616,40,0,209,195.79738249814977,444,31,117,83.81689232753062,418,17,90,91.0673088598373,271,18,126,160.90926505331714,294,21,0,0.0,5,0,0,0.0,2,0,123,157.3876213995982,350,22,164,236.89494287076224,350,18,68,76.25883144555344,261,9,227,157.79997636476125,529,42,11,54.15517920441118,70,3
2020-04-20,400,297.96268017430816,753,90,67,156.5566875408917,154,16,0,0.0,5,0,3,15.52473607948665,16,1,49,151.01084812623273,316,16,348,208.9839058371367,907,68,30,61.35094787214462,103,7,17,89.56796628029505,55,6,3,43.02308905779435,32,3,8,39.70026301424247,25,0,13,70.60229185901265,38,7,75,97.58890349108037,399,15,27,60.68915911798422,114,6,244,179.38010939246016,542,54,20,98.63878477017164,67,4,4,103.8961038961039,11,3,396,470.1189543414773,722,145,2,39.603960396039604,7,1,18,75.14402604992904,165,3,29,41.84885348572088,117,7,132,126.92307692307692,380,17,12,38.24091778202677,46,6,276,258.5649644473174,529,85,150,107.4575542660649,467,49,111,112.31634759379934,302,31,169,215.82274439690954,353,59,2,40.338846308995564,7,2,0,0.0,2,0,145,185.53825286944505,381,31,219,316.34141761400565,417,67,69,77.38028484916452,274,13,276,191.86252632896083,602,73,12,59.07837731390311,72,2
2020-04-21,410,305.41174717866585,802,49,81,189.27002523600336,173,19,0,0.0,5,0,4,20.6996481059822,17,1,51,157.17455621301775,321,5,315,189.16646649051165,955,48,33,67.48604265935909,108,5,20,105.3740779768177,61,6,4,57.364118743725804,33,1,8,39.70026301424247,26,1,17,92.32607396947809,44,6,67,87.1794204520318,406,7,31,69.68014565398188,120,6,239,175.70428747868024,569,27,27,133.16235943973172,76,9,5,129.87012987012986,12,1,428,508.10836479331385,785,63,2,39.603960396039604,7,0,19,79.31869416381397,167,2,34,49.06417305222448,124,7,127,122.11538461538463,386,6,13,41.427660930528994,50,4,292,273.5542377486112,577,48,153,109.6067053513862,489,22,119,120.41121949245154,319,17,162,206.88334078283634,372,19,2,40.338846308995564,7,0,0,0.0,2,0,138,176.58123376540289,406,25,222,320.67486169090984,462,45,72,80.74464505999775,287,13,257,178.65459879182222,624,22,12,59.07837731390311,74,2
2020-04-22,418,311.371000782152,835,33,91,212.636695018226,188,15,0,0.0,5,0,4,20.6996481059822,17,0,46,141.76528599605524,325,4,316,189.76699495556088,987,32,33,67.48604265935909,109,1,21,110.64278187565859,62,1,4,57.364118743725804,33,0,8,39.70026301424247,26,0,17,92.32607396947809,45,1,76,98.89008887096143,425,19,33,74.1756389219807,126,6,259,190.40757513379992,618,49,36,177.54981258630895,87,11,6,155.84415584415584,13,1,435,516.4185483296532,839,54,2,39.603960396039604,7,0,17,70.96935793604409,170,3,34,49.06417305222448,127,3,126,121.15384615384616,401,15,15,47.80114722753346,52,2,334,312.9010801645073,647,70,187,133.9637509850276,527,38,127,128.50609139110372,340,21,170,217.09980205606283,394,22,2,40.338846308995564,7,0,0,0.0,2,0,141,180.4199562385638,427,21,229,330.7862312036863,505,43,77,86.35191207805316,302,15,270,187.69160184354863,660,36,14,68.92477353288696,77,3
2020-04-23,398,296.47286677343664,879,44,101,236.00336480044865,214,26,1,26.15746795710175,6,1,7,36.22438418546885,20,3,42,129.43786982248523,328,3,318,190.96805188565938,1035,48,35,71.57610585083539,117,8,27,142.2550052687039,71,9,4,57.364118743725804,33,0,9,44.662795891022775,29,3,23,124.91174713517624,52,7,68,88.48060583191287,428,3,30,67.43239901998247,129,3,275,202.17020525789567,671,53,40,197.27756954034328,93,6,7,181.8181818181818,14,1,448,531.8517463257117,891,52,2,39.603960396039604,7,0,14,58.44535359438924,170,0,38,54.836428705427366,138,11,121,116.34615384615385,416,15,21,66.92160611854685,59,7,350,327.890353465801,708,61,195,139.69482054588437,552,25,131,132.55352734042984,354,14,178,227.31626332928928,418,24,2,40.338846308995564,7,0,0,0.0,2,0,138,176.58123376540289,448,21,217,313.4524548960696,518,13,83,93.08063249971963,321,19,272,189.08191000535268,701,41,20,98.46396218983853,84,7
2020-04-24,411,306.15665387910167,946,67,119,278.06337040844943,239,25,1,26.15746795710175,6,0,9,46.574208238459946,24,4,38,117.11045364891518,330,2,278,166.94691328368964,1053,18,37,75.66616904231171,126,9,26,136.986301369863,73,2,8,114.72823748745161,37,4,4,19.850131507121237,25,-4,16,86.89512844186173,49,-3,97,126.21498184846396,469,41,44,98.90085189597428,146,17,331,243.33941069223079,761,90,34,167.68593410929176,91,-2,7,181.8181818181818,15,1,511,606.6433981527649,1001,110,4,79.20792079207921,9,2,25,104.36670284712365,182,12,43,62.05174827193096,147,9,90,86.53846153846155,435,19,24,76.48183556405354,63,4,380,355.99524090572686,775,67,195,139.69482054588437,574,22,161,162.9092969603756,398,44,180,229.87037864759594,438,20,3,60.50826946349334,8,1,0,0.0,2,0,147,188.09740118488565,469,21,189,273.0069768449638,515,-3,56,62.80139060222048,305,-16,331,230.09600077857255,798,97,23,113.2335565183143,90,6
2020-04-25,379,282.31963946515697,973,27,129,301.430040190672,256,17,1,26.15746795710175,6,0,9,46.574208238459946,24,0,38,117.11045364891518,330,0,272,163.3437424933942,1071,18,36,73.62113744657356,128,2,30,158.06111696522655,77,4,9,129.06926717338305,38,1,3,14.887598630340925,26,1,21,114.04985607994351,53,4,99,128.8173526082261,478,9,45,101.14859852997371,149,3,332,244.07457507498674,791,30,32,157.8220556322746,92,1,6,155.84415584415584,14,-1,531,630.3867796851628,1058,57,3,59.4059405940594,9,0,23,96.01736661935377,182,0,46,66.38094001183313,154,7,117,112.49999999999999,465,30,22,70.10834926704908,62,-1,404,378.4791508576675,817,42,199,142.56035532631276,600,26,162,163.92115594770712,415,17,207,264.35093544473534,480,42,3,60.50826946349334,8,0,0,0.0,2,0,163,208.57058770841064,491,22,191,275.8959395628999,523,8,61,68.40865762027587,313,8,350,243.30392831571115,837,39,24,118.15675462780622,91,1
2020-04-26,344,256.24790494990503,1007,34,141,329.47004392933917,279,23,1,26.15746795710175,6,0,10,51.749120264955494,25,1,35,107.86489151873768,335,5,258,154.93634398270478,1097,26,34,69.53107425509724,130,2,28,147.52370916754478,77,0,8,114.72823748745161,37,-1,2,9.925065753560618,27,1,23,124.91174713517624,54,1,101,131.41972336798824,485,7,47,105.64409179797254,155,6,342,251.4262189025466,830,39,33,162.7539948707832,96,4,6,155.84415584415584,14,0,533,632.7611178384026,1110,52,3,59.4059405940594,9,0,21,87.66803039158387,183,1,45,64.9378760985324,155,1,125,120.1923076923077,488,23,23,73.29509241555131,63,1,425,398.1525720656155,869,52,211,151.15695966759796,629,29,162,163.92115594770712,433,18,215,274.5673967179618,509,29,3,60.50826946349334,8,0,0,0.0,2,0,150,191.9361236580466,500,9,185,267.22905140909154,535,12,61,68.40865762027587,322,9,342,237.74269566849495,871,34,21,103.38716029933043,91,0
2020-04-27,311,231.6659838355246,1064,57,134,313.1133750817834,288,9,1,26.15746795710175,6,0,9,46.574208238459946,25,0,30,92.45562130177514,346,11,230,138.12154696132595,1137,40,33,67.48604265935909,136,6,23,121.18018967334037,78,1,6,86.0461781155887,38,1,2,9.925065753560618,27,0,19,103.18796502471079,57,3,98,127.51616722834501,497,12,43,96.65310526197487,157,2,310,227.9009586543551,852,22,37,182.4817518248175,104,8,5,129.87012987012986,16,2,431,511.6698720231736,1153,43,3,59.4059405940594,10,1,23,96.01736661935377,188,5,39,56.279492618728085,156,1,128,123.07692307692308,508,20,21,66.92160611854685,67,4,379,355.058411324396,908,39,185,132.5309835948134,652,23,150,151.7788480997288,452,19,178,227.31626332928928,531,22,2,40.338846308995564,9,1,0,0.0,2,0,144,184.25867871172474,525,25,144,208.00531569140102,561,26,52,58.31557698777616,326,4,307,213.4123028369238,909,38,29,142.77274517526584,101,10
2020-04-30,383,285.2992662669001,1185,121,151,352.83671371156186,324,36,1,26.15746795710175,6,0,10,51.749120264955494,27,2,33,101.70118343195266,354,8,270,162.14268556329571,1225,88,76,155.42240127609972,184,48,34,179.1359325605901,95,17,5,71.70514842965724,38,0,26,129.02585479628803,52,25,32,173.79025688372346,76,19,155,201.6837338815661,561,64,66,148.3512778439614,186,29,445,327.148150326413,1014,162,49,241.6650226869205,125,21,6,155.84415584415584,18,2,531,630.3867796851628,1316,163,4,79.20792079207921,11,1,27,112.71603907489354,194,6,68,98.12834610444897,192,36,180,173.0769230769231,566,58,33,105.1625239005736,83,16,452,423.44697076154876,1029,121,288,206.31850419084464,777,125,199,201.35993847897356,518,66,210,268.18210842219526,582,51,3,60.50826946349334,10,1,0,0.0,2,0,157,200.8931427620888,563,38,158,228.22805471695386,620,59,66,74.01592463833127,353,27,374,259.9876262573599,998,89,39,192.00472627018513,113,12
2020-05-01,394,293.4932399716935,1229,44,145,338.81671184222824,333,9,1,26.15746795710175,6,0,12,62.0989443179466,29,2,42,129.43786982248523,367,13,271,162.74321402834494,1258,33,81,165.64755925479048,190,6,41,216.01685985247627,103,8,6,86.0461781155887,39,1,28,138.95092054984863,54,2,43,233.5306576875034,88,12,161,209.49084616085253,586,25,83,186.56297062195148,209,23,457,335.9701229194848,1075,61,46,226.86920497139474,133,8,8,207.7922077922078,21,3,538,638.696963221502,1377,61,4,79.20792079207921,11,0,26,108.54137096100861,196,2,74,106.7867295842533,201,9,178,171.15384615384616,579,13,35,111.53601019757808,87,4,432,404.7103791349316,1079,50,310,222.07894548320078,837,60,194,196.30064354231595,534,16,206,263.073877785582,600,18,5,100.8471157724889,12,2,0,0.0,2,0,181,231.60292254737624,608,45,130,187.78257666584813,635,15,64,71.77301783110912,366,13,387,269.0246293090864,1047,49,41,201.85112248916897,118,5
2020-05-02,428,318.82006778650975,1307,78,133,310.7767081035611,347,14,3,78.47240387130526,9,3,20,103.49824052991099,40,11,47,144.84714003944774,375,8,340,204.17967811674274,1375,117,135,276.0792654246508,252,62,61,321.390937829294,132,29,6,86.0461781155887,39,0,41,203.46384794799266,70,16,64,347.5805137674469,116,28,401,521.7753373323097,829,243,204,458.54031333588074,333,124,479,352.14373934011644,1150,75,93,458.6703491812981,186,53,8,207.7922077922078,22,1,532,631.5739487617826,1423,46,7,138.6138613861386,14,3,39,162.8120564415129,209,13,149,215.0165230818073,287,86,193,185.57692307692307,609,30,67,213.51179094964948,126,39,422,395.34208332162297,1130,51,333,238.5557704706641,885,48,232,234.75128506091392,586,52,198,252.85741651235554,616,16,6,121.01653892698668,13,1,0,0.0,2,0,201,257.19440570178244,649,41,160,231.11701743489,678,43,78,87.47336548166423,399,33,438,304.47748743509,1139,92,44,216.62071681764473,128,10
2020-05-03,383,285.2992662669001,1329,22,125,292.083372277783,364,17,3,78.47240387130526,9,0,18,93.14841647691989,42,2,48,147.92899408284023,378,3,335,201.1770357914965,1388,13,133,271.9892022331745,259,7,60,316.1222339304531,133,1,2,28.682059371862902,39,0,45,223.31397945511387,70,0,69,374.73524140552865,118,2,369,480.1374051761154,838,9,190,427.07186045988897,336,3,424,311.7096982885373,1185,35,99,488.2619846123495,190,4,7,181.8181818181818,22,0,456,541.3490989386709,1457,34,5,99.00990099009901,14,0,27,112.71603907489354,209,0,147,212.13039525520585,294,7,181,174.03846153846155,616,7,63,200.76481835564053,126,0,403,377.5423212763366,1178,48,339,242.85407264130666,913,28,196,198.324361516979,594,8,200,255.41153183066214,638,22,6,121.01653892698668,14,1,1,108.57763300760044,3,1,193,246.95781244001998,662,13,168,242.6728683066345,683,5,106,118.87406078277448,411,12,392,272.5003997135965,1190,51,39,192.00472627018513,129,1
2020-05-04,378,281.5747327647212,1351,22,107,250.0233666697822,363,-1,3,78.47240387130526,9,0,18,93.14841647691989,42,0,56,172.58382642998026,386,8,356,213.7881335575306,1427,39,140,286.30442340334156,268,9,59,310.8535300316122,136,3,3,43.02308905779435,41,2,46,228.2765123318942,72,2,62,336.7186227122142,115,-3,374,486.6433320755208,852,14,194,436.0628469958866,343,7,435,319.79650649885315,1226,41,100,493.19392385085814,192,2,9,233.76623376623377,23,1,443,525.9159009426122,1501,44,5,99.00990099009901,14,0,29,121.06537530266344,211,2,143,206.35813960200298,297,3,156,150.0,621,5,67,213.51179094964948,129,3,384,359.7425592310503,1201,23,331,237.1230030804499,931,18,192,194.2769255676529,607,13,158,201.77511014622308,638,0,7,141.18596208148446,15,1,1,108.57763300760044,3,0,193,246.95781244001998,684,22,183,264.3400886911554,706,23,126,141.3031288549961,439,28,375,260.682780338262,1212,22,44,216.62071681764473,135,6
2020-05-05,385,286.7890796677716,1392,41,100,233.66669782222638,379,16,4,104.629871828407,10,1,20,103.49824052991099,45,3,53,163.33826429980277,388,2,351,210.78549123228441,1448,21,140,286.30442340334156,270,2,60,316.1222339304531,137,1,5,71.70514842965724,42,1,48,238.2015780854548,75,3,64,347.5805137674469,118,3,384,499.65518587433155,869,17,199,447.3015801658837,354,11,458,336.7052873022408,1288,62,101,498.12586308936676,197,5,9,233.76623376623377,23,0,434,515.2313792530333,1544,43,5,99.00990099009901,14,0,30,125.24004341654837,213,2,158,228.00409830151378,313,16,143,137.5,631,10,76,242.19247928616954,139,10,378,354.1215817430651,1247,46,329,235.69023569023568,958,27,194,196.30064354231595,627,20,166,211.9915714194496,675,37,8,161.35538523598225,16,1,0,0.0,2,-1,188,240.55994165141843,688,4,189,273.0069768449638,724,18,134,150.2747560838847,456,17,368,255.81670177194775,1239,27,48,236.31350925561244,139,4
2020-05-06,378,281.5747327647212,1442,50,110,257.033367604449,398,19,4,104.629871828407,10,0,21,108.67315255640655,46,1,44,135.60157790927022,390,2,341,204.780206581792,1478,30,135,276.0792654246508,271,1,59,310.8535300316122,137,0,4,57.364118743725804,42,0,50,248.12664383901543,77,2,61,331.28767718459784,118,0,391,508.763483533499,888,19,221,496.75200611387083,378,24,489,359.49538316767627,1341,53,98,483.330045373841,202,5,8,207.7922077922078,24,1,462,548.4721133983902,1615,71,4,79.20792079207921,14,0,27,112.71603907489354,215,2,168,242.43473743452097,324,11,141,135.57692307692307,649,18,75,239.0057361376673,142,3,392,367.2371958816972,1300,53,326,233.5410846049144,978,20,193,195.28878455498443,645,18,163,208.16039844198968,694,19,7,141.18596208148446,16,0,0,0.0,2,0,169,216.24803265473253,694,6,177,255.67320053734707,738,14,149,167.0965571380509,475,19,359,249.56031504382946,1268,29,42,206.77432059866086,143,4
2020-05-07,317,236.13542403813923,1502,60,85,198.61669314889244,409,11,5,130.78733978550875,11,1,18,93.14841647691989,45,-1,39,120.1923076923077,393,3,287,172.35166946913284,1512,34,90,184.05284361643388,274,3,46,242.36037934668073,141,4,4,57.364118743725804,42,0,25,124.06332191950771,77,0,49,266.11633085320153,125,7,341,443.70421453944545,902,14,200,449.5493267998831,386,8,388,285.2437805093219,1402,61,82,404.4190175577037,207,5,6,155.84415584415584,24,0,360,427.38086758316115,1676,61,4,79.20792079207921,15,1,23,96.01736661935377,217,2,145,209.2442674286044,337,13,91,87.5,657,8,59,188.0178457616316,142,0,332,311.02742100184554,1361,61,239,171.21570313059675,1016,38,136,137.61282227708745,654,9,134,171.12572632654366,716,22,5,100.8471157724889,15,-1,0,0.0,2,0,145,185.53825286944505,708,14,126,182.00465122997588,746,8,142,159.24638331277336,495,20,309,214.80261099872789,1307,39,30,147.6959432847578,143,0
2020-05-08,307,228.68635703378152,1536,34,90,210.30002804000372,423,14,5,130.78733978550875,11,0,16,82.7985924239288,45,0,30,92.45562130177514,397,4,272,163.3437424933942,1530,18,90,184.05284361643388,280,6,42,221.28556375131717,145,4,7,100.38720780152016,46,4,27,133.98838767306833,81,4,44,238.96160321511977,132,7,328,426.78880460099145,914,12,190,427.07186045988897,399,13,357,262.4536846438864,1432,30,82,404.4190175577037,215,8,5,129.87012987012986,26,2,352,417.88351497020204,1729,53,4,79.20792079207921,15,0,24,100.19203473323871,220,3,151,217.90265090840876,352,15,93,89.42307692307692,672,15,53,168.89738687061825,140,-2,328,307.2801026765221,1407,46,212,151.87334336270507,1049,33,128,129.51795037843527,662,8,136,173.67984164485028,736,20,3,60.50826946349334,15,0,0,0.0,2,0,104,133.0757124029123,712,4,124,179.11568851203975,759,13,142,159.24638331277336,508,13,286,198.81406713798114,1333,26,27,132.926348956282,145,2
2020-05-09,278,207.08406272114416,1585,49,89,207.96336106178146,436,13,2,52.3149359142035,11,0,5,25.874560132477747,45,0,25,77.04635108481263,400,3,184,110.49723756906079,1559,29,30,61.35094787214462,282,2,13,68.4931506849315,145,0,9,129.06926717338305,48,2,12,59.5503945213637,82,1,20,108.61891055232715,136,4,98,127.51616722834501,927,13,74,166.33325091595677,407,8,313,230.10645180262307,1463,31,36,177.54981258630895,222,7,4,103.8961038961039,26,0,339,402.4503169741435,1762,33,2,39.603960396039604,16,1,12,50.09601736661936,221,1,70,101.0144739310504,357,5,76,73.07692307692308,685,13,17,54.174633524537924,143,3,313,293.2276589565592,1443,36,190,136.1129020703489,1075,26,92,93.09102683450034,678,16,127,162.18632271247048,743,7,2,40.338846308995564,15,0,0,0.0,2,0,68,87.01104272498112,717,5,84,121.33643415331726,762,3,124,139.0602220477739,523,15,225,156.40966820295716,1364,31,15,73.8479716423789,143,-2
2020-05-10,281,209.31878282245148,1610,25,89,207.96336106178146,453,17,2,52.3149359142035,11,0,7,36.22438418546885,49,4,23,70.88264299802762,401,1,200,120.10569300984868,1588,29,24,49.080758297715704,283,1,13,68.4931506849315,146,1,9,129.06926717338305,48,0,13,64.51292739814402,83,1,21,114.04985607994351,139,3,100,130.11853798810716,938,11,73,164.08550428195733,409,2,317,233.04710933364697,1502,39,35,172.61787334780036,225,3,3,77.92207792207792,25,-1,334,396.51447159104396,1791,29,2,39.603960396039604,16,0,11,45.92134925273441,220,-1,74,106.7867295842533,368,11,80,76.92307692307692,696,11,17,54.174633524537924,143,0,288,269.8069194232877,1466,23,179,128.23268142417078,1092,17,94,95.1147448091634,688,10,128,163.46338037162377,766,23,2,40.338846308995564,16,1,-1,-108.57763300760044,2,0,57,72.9357269900577,719,2,79,114.11402735847693,762,0,116,130.0885948188853,527,4,197,136.9453539377003,1387,23,14,68.92477353288696,143,0
2020-05-11,294,219.00256992811651,1645,35,92,214.97336199644826,455,2,2,52.3149359142035,11,0,9,46.574208238459946,51,2,19,58.55522682445759,405,4,189,113.49987989430699,1616,28,22,44.99069510623939,290,7,11,57.95574288724974,147,1,7,100.38720780152016,48,0,13,64.51292739814402,85,2,28,152.06647477325802,143,4,94,122.31142570882072,946,8,74,166.33325091595677,417,8,326,239.66358877845084,1552,50,34,167.68593410929176,226,1,4,103.8961038961039,27,2,319,378.7069354417456,1820,29,2,39.603960396039604,16,0,11,45.92134925273441,222,2,80,115.4451130640576,377,9,89,85.57692307692308,710,14,16,50.987890376035686,145,2,324,303.5327843511987,1525,59,172,123.21799555842108,1103,11,103,104.22147569514712,710,22,145,185.17336057723006,783,17,1,20.169423154497782,16,0,-1,-108.57763300760044,2,0,43,55.02168878197336,727,8,62,89.55784425601988,768,6,100,112.145340361108,539,12,199,138.33566209950433,1411,24,14,68.92477353288696,149,6
2020-05-12,279,207.82896942157996,1671,26,92,214.97336199644826,471,16,4,104.629871828407,14,3,5,25.874560132477747,50,-1,20,61.6370808678501,408,3,185,111.09776603411001,1633,17,40,81.80126382952618,310,20,13,68.4931506849315,150,3,6,86.0461781155887,48,0,13,64.51292739814402,88,3,36,195.5140389941889,154,11,84,109.29957191001003,953,7,79,177.57198408595383,433,16,663,487.4139857672176,1951,399,32,157.8220556322746,229,3,5,129.87012987012986,28,1,313,371.58392098202626,1857,37,3,59.4059405940594,17,1,11,45.92134925273441,224,2,74,106.7867295842533,387,10,90,86.53846153846155,721,11,9,28.680688336520078,148,3,314,294.16448853789007,1561,36,168,120.35246077799269,1126,23,97,98.15032177115798,724,14,126,160.90926505331714,801,18,0,0.0,16,0,0,0.0,2,0,42,53.74211462425305,730,3,56,80.89095610221149,780,12,87,97.56644611416395,543,4,196,136.25019985679825,1435,24,10,49.23198109491926,149,0
2020-05-13,253,188.46139521024992,1695,24,96,224.3200299093373,494,23,5,130.78733978550875,15,1,4,20.6996481059822,50,0,22,67.80078895463511,412,4,181,108.69565217391305,1659,26,47,96.11648499969324,318,8,15,79.03055848261327,152,2,6,86.0461781155887,48,0,12,59.5503945213637,89,1,38,206.37593004942158,156,2,76,98.89008887096143,964,11,60,134.86479803996494,438,5,304,223.4899723578192,1645,-306,28,138.09429867824028,230,1,3,77.92207792207792,27,-1,279,331.2201723769499,1894,37,4,79.20792079207921,18,1,10,41.74668113884946,225,1,76,109.67285741085473,400,13,83,79.8076923076923,732,11,11,35.05417463352454,153,5,306,286.6698518872432,1606,45,180,128.9490651192779,1158,32,104,105.23333468247864,749,25,122,155.8010344167039,816,15,0,0.0,16,0,0,0.0,2,0,40,51.182966308812425,734,4,48,69.335105230467,786,6,83,93.08063249971963,558,15,202,140.42112434221045,1470,35,8,39.38558487593541,151,2
2020-05-15,253,188.46139521024992,1755,60,107,250.0233666697822,516,22,4,104.629871828407,15,0,5,25.874560132477747,50,0,26,80.12820512820512,419,7,203,121.90727840499639,1715,56,52,106.34164297838402,326,8,19,100.10537407797683,160,8,6,86.0461781155887,48,0,15,74.43799315170463,92,3,41,222.6687666322707,166,10,83,107.99838653012894,985,21,67,150.59902447796085,453,15,335,246.28006822325472,1737,92,24,118.36654172420597,231,1,6,155.84415584415584,30,3,303,359.71223021582733,1979,85,2,39.603960396039604,17,-1,16,66.79468982215914,233,8,85,122.66043263056122,422,22,93,89.42307692307692,750,18,17,54.174633524537924,159,6,329,308.216932257853,1690,84,188,134.6801346801347,1204,46,127,128.50609139110372,781,32,137,174.95689930400357,853,37,1,20.169423154497782,16,0,0,0.0,2,0,40,51.182966308812425,748,14,61,88.11336289705181,807,21,83,93.08063249971963,578,20,213,148.0678192321328,1520,50,13,64.00157542339504,156,5
2020-05-16,246,183.24704830719952,1782,27,105,245.35003271333767,528,12,5,130.78733978550875,16,1,4,20.6996481059822,49,-1,28,86.29191321499013,425,6,222,133.31731924093202,1752,37,51,104.29661138264586,331,5,16,84.29926238145417,161,1,4,57.364118743725804,50,2,11,54.58786164458339,92,0,37,200.94498452180525,169,3,75,97.58890349108037,989,4,56,125.87381150396727,455,2,347,255.1020408163265,1779,42,16,78.9110278161373,231,0,5,129.87012987012986,31,1,275,326.4714960704703,2004,25,2,39.603960396039604,17,0,15,62.62002170827419,235,2,81,116.88817697735833,433,11,90,86.53846153846155,762,12,24,76.48183556405354,164,5,298,279.1752152365963,1705,15,168,120.35246077799269,1217,13,128,129.51795037843527,790,9,131,167.2945533490837,867,14,2,40.338846308995564,17,1,0,0.0,2,0,45,57.580837097413976,757,9,61,88.11336289705181,820,13,85,95.3235393069418,593,15,203,141.11627842311248,1536,16,12,59.07837731390311,157,1
2020-05-17,232,172.81835450109875,1817,35,101,236.00336480044865,537,9,5,130.78733978550875,16,0,5,25.874560132477747,50,1,37,114.02859960552269,437,12,228,136.92049003122747,1787,35,57,116.5668009570748,339,8,18,94.83667017913594,163,2,2,28.682059371862902,50,0,11,54.58786164458339,93,1,36,195.5140389941889,172,3,69,89.78179121179394,996,7,58,130.36930477196609,465,10,362,266.1295065576663,1825,46,10,49.31939238508582,232,1,6,155.84415584415584,32,1,266,315.7869743808913,2028,24,1,19.801980198019802,17,0,14,58.44535359438924,235,0,82,118.33124089065905,439,6,80,76.92307692307692,765,3,23,73.29509241555131,166,2,287,268.8700898419568,1730,25,156,111.7558564367075,1231,14,128,129.51795037843527,806,16,133,169.84866866739034,876,9,3,60.50826946349334,18,1,0,0.0,2,0,47,60.13998541285461,764,7,64,92.446806973956,826,6,88,98.68789951777504,611,18,185,128.6035049668759,1549,13,16,78.77116975187081,159,2
