,Ahuntsic–Cartierville,Ahuntsic–Cartierville,Ahuntsic–Cartierville,Ahuntsic–Cartierville,Anjou,Anjou,Anjou,Anjou,Baie-D'Urfé,Baie-D'Urfé,Baie-D'Urfé,Baie-D'Urfé,Beaconsfield,Beaconsfield,Beaconsfield,Beaconsfield,Côte-Saint-Luc,Côte-Saint-Luc,Côte-Saint-Luc,Côte-Saint-Luc,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Dorval,Dorval,Dorval,Dorval,Hampstead,Hampstead,Hampstead,Hampstead,Kirkland,Kirkland,Kirkland,Kirkland,L'Île-Bizard–Sainte-Geneviève,L'Île-Bizard–Sainte-Geneviève,L'Île-Bizard–Sainte-Geneviève,L'Île-Bizard–Sainte-Geneviève,LaSalle,LaSalle,LaSalle,LaSalle,Lachine,Lachine,Lachine,Lachine,Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,Mont-Royal,Mont-Royal,Mont-Royal,Mont-Royal,Montréal-Est,Montréal-Est,Montréal-Est,Montréal-Est,Montréal-Nord,Montréal-Nord,Montréal-Nord,Montréal-Nord,Montréal-Ouest,Montréal-Ouest,Montréal-Ouest,Montréal-Ouest,Outremont,Outremont,Outremont,Outremont,Pierrefonds–Roxboro,Pierrefonds–Roxboro,Pierrefonds–Roxboro,Pierrefonds–Roxboro,Plateau-Mont-Royal,Plateau-Mont-Royal,Plateau-Mont-Royal,Plateau-Mont-Royal,Pointe-Claire,Pointe-Claire,Pointe-Claire,Pointe-Claire,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Rosemont–La Petite Patrie,Rosemont–La Petite Patrie,Rosemont–La Petite Patrie,Rosemont–La Petite Patrie,Saint-Laurent,Saint-Laurent,Saint-Laurent,Saint-Laurent,Saint-Léonard,Saint-Léonard,Saint-Léonard,Saint-Léonard,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,Senneville,Senneville,Senneville,Senneville,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Verdun,Verdun,Verdun,Verdun,Ville-Marie,Ville-Marie,Ville-Marie,Ville-Marie,Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Westmount,Westmount,Westmount,Westmount
2020-04-08,149,110.99109836492978,247,24,40,93.46667912889055,59,12,0,0.0,5,0,4,20.6996481059822,14,1,115,354.41321499013804,262,21,248,148.93105933221233,501,48,38,77.71120063804986,66,2,21,110.64278187565859,37,0,7,100.38720780152016,29,1,6,29.77519726068185,14,2,10,54.309455276163575,19,-1,167,217.29795844013896,286,19,51,114.63507833397018,83,5,122,89.69005469623008,213,18,13,64.11521010061155,44,6,1,25.974025974025974,6,1,143,169.76517795664458,193,28,0,0.0,5,0,51,212.90807380813223,139,8,36,51.95030087882592,75,6,100,96.15384615384616,220,17,18,57.361376673040155,32,2,107,100.24076520240203,180,19,114,81.66774124220933,247,20,82,82.9724369611851,163,11,87,111.10401634633804,124,21,0,0.0,5,0,2,217.15526601520088,2,1,101,129.2369899297514,184,13,77,111.22506464054081,154,13,60,67.2872042166648,174,10,154,107.05372845891293,242,43,24,118.15675462780622,57,2
2020-04-09,171,127.37904577451674,277,30,48,112.16001495466865,67,8,0,0.0,5,0,4,20.6996481059822,14,0,110,339.00394477317553,264,2,241,144.72736007686763,522,21,38,77.71120063804986,68,2,20,105.3740779768177,37,0,6,86.0461781155887,29,0,7,34.73773013746216,15,1,13,70.60229185901265,22,3,163,212.09321692061468,298,12,48,107.89183843197193,83,0,134,98.51202728930188,232,19,11,54.2513316235944,44,0,2,51.94805194805195,7,1,183,217.25194102144027,238,45,0,0.0,5,0,48,200.38406946647743,143,4,39,56.279492618728085,78,3,98,94.23076923076923,232,12,18,57.361376673040155,33,1,111,103.98808352772546,194,14,119,85.24965971774482,260,13,77,77.91314202452746,167,4,99,126.42870825617777,139,15,0,0.0,5,0,2,217.15526601520088,2,0,115,147.15102813783574,210,26,89,128.55884094815755,174,20,68,76.25883144555344,185,11,163,113.3101151870312,266,24,19,93.54076408034659,57,0
2020-04-10,174,129.61376587582407,305,28,46,107.48668099822413,72,5,0,0.0,5,0,4,20.6996481059822,14,0,97,298.939842209073,266,2,215,129.11361998558732,538,16,35,71.57610585083539,71,3,14,73.76185458377239,37,0,3,43.02308905779435,29,0,4,19.850131507121237,15,0,11,59.74040080377994,22,0,142,184.76832394311216,312,14,39,87.66211872597721,84,1,129,94.83620537552197,255,23,11,54.2513316235944,45,1,3,77.92207792207792,8,1,184,218.43911009806018,263,25,0,0.0,5,0,42,175.33606078316774,145,2,38,54.836428705427366,83,5,77,74.03846153846155,233,1,15,47.80114722753346,33,0,114,106.79857227171806,216,22,112,80.23497385199514,278,18,69,69.81827012587526,172,5,105,134.09105421109763,153,14,0,0.0,5,0,2,217.15526601520088,2,0,117,149.71017645327635,224,14,86,124.22539687125338,183,9,63,70.65156442749804,190,5,166,115.39557742973732,292,26,19,93.54076408034659,58,1
2020-04-11,190,141.53227308279637,333,28,46,107.48668099822413,81,9,0,0.0,5,0,4,20.6996481059822,14,0,75,231.13905325443787,267,1,173,103.8914244535191,543,5,27,55.21585308493017,72,1,11,57.95574288724974,37,0,2,28.682059371862902,29,0,5,24.812664383901545,17,2,11,59.74040080377994,25,3,109,141.82920640703682,313,1,28,62.93690575198364,85,1,131,96.30653414103394,276,21,10,49.31939238508582,46,1,3,77.92207792207792,8,0,192,227.93646271101932,291,28,0,0.0,5,0,31,129.41471153043335,144,-1,36,51.95030087882592,86,3,67,64.42307692307692,235,2,12,38.24091778202677,33,0,118,110.54589059704149,235,19,120,85.96604341285192,301,23,62,62.73525721455457,181,9,101,128.98282357448437,168,15,0,0.0,5,0,1,108.57763300760044,2,0,103,131.796138245192,227,3,81,117.00299007641306,186,3,58,65.04429740944265,193,3,153,106.35857437801089,302,10,15,73.8479716423789,59,1
2020-04-12,177,131.84848597713136,353,20,50,116.83334891111319,87,6,0,0.0,5,0,3,15.52473607948665,13,-1,60,184.91124260355028,267,0,175,105.0924813836176,559,16,23,47.035726701977545,73,1,11,57.95574288724974,38,1,2,28.682059371862902,29,0,5,24.812664383901545,17,0,10,54.309455276163575,25,0,105,136.62446488751252,324,11,28,62.93690575198364,87,2,147,108.06916426512969,298,22,11,54.2513316235944,47,1,2,51.94805194805195,7,-1,209,248.11833701355746,326,35,0,0.0,5,0,34,141.93871587208818,147,3,34,49.06417305222448,88,2,74,71.15384615384616,248,13,11,35.05417463352454,34,1,120,112.4195497597032,253,18,123,88.11519449817322,317,16,63,63.7471162018861,191,10,107,136.64516952940426,184,16,0,0.0,5,0,1,108.57763300760044,2,0,102,130.5165640874717,236,9,81,117.00299007641306,198,12,65,72.8944712347202,205,12,166,115.39557742973732,326,24,14,68.92477353288696,60,1
2020-04-13,192,143.02208648366792,392,39,50,116.83334891111319,92,5,0,0.0,5,0,2,10.3498240529911,13,0,38,117.11045364891518,270,3,212,127.31203459043958,640,81,21,42.945663510501234,75,2,10,52.68703898840885,41,3,1,14.341029685931451,29,0,6,29.77519726068185,18,1,11,59.74040080377994,27,2,102,132.72090874786932,339,15,18,40.45943941198948,89,2,148,108.80432864788565,330,32,12,59.18327086210299,49,2,2,51.94805194805195,7,0,208,246.93116793693758,357,31,0,0.0,5,0,29,121.06537530266344,148,1,34,49.06417305222448,90,2,73,70.1923076923077,259,11,13,41.427660930528994,37,3,137,128.34565264232782,285,32,119,85.24965971774482,336,19,59,59.69968025256001,200,9,114,145.58457314347743,210,26,0,0.0,5,0,1,108.57763300760044,2,0,106,135.63486071835294,268,32,106,153.11502405061464,240,42,63,70.65156442749804,215,10,182,126.5180427241698,367,41,10,49.23198109491926,62,2
2020-04-14,194,144.51189988453947,417,25,50,116.83334891111319,97,5,0,0.0,5,0,0,0.0,13,0,38,117.11045364891518,279,9,218,130.91520538073505,671,31,12,24.540379148857852,76,1,4,21.074815595363543,41,0,1,14.341029685931451,29,0,6,29.77519726068185,18,0,8,43.447564220930865,28,1,82,106.69720115024786,349,10,15,33.716199509991235,93,4,164,120.56695877198142,359,29,13,64.11521010061155,51,2,2,51.94805194805195,7,0,239,283.73340931215427,404,47,0,0.0,5,0,22,91.84269850546882,153,5,24,34.63353391921728,93,3,72,69.23076923076923,275,16,7,22.307202039515616,37,0,152,142.39809636229074,313,28,113,80.95135754710223,340,4,61,61.72339822722306,213,13,121,154.5239767575506,224,14,0,0.0,5,0,1,108.57763300760044,2,0,115,147.15102813783574,286,18,135,195.00498346068844,276,36,61,68.40865762027587,225,10,191,132.7744294522881,390,23,8,39.38558487593541,63,1
2020-04-15,234,174.30816790197028,481,64,54,126.18001682400224,113,16,0,0.0,5,0,-1,-5.17491202649555,13,0,24,73.96449704142012,286,7,216,129.71414845063654,717,46,16,32.72050553181047,82,6,7,36.880927291886195,44,3,0,0.0,29,0,6,29.77519726068185,20,2,10,54.309455276163575,29,1,74,96.2877181111993,360,11,16,35.96394614399065,99,6,183,134.53508204434513,396,37,9,44.387453146577236,53,2,1,25.974025974025974,7,0,250,296.79226915497304,443,39,0,0.0,5,0,17,70.96935793604409,156,3,25,36.076597832518004,100,7,75,72.11538461538461,295,20,6,19.120458891013385,38,1,178,166.7556654768931,358,45,110,78.80220646178094,357,17,60,60.71153923989153,223,10,116,148.13868846178406,240,16,0,0.0,5,0,0,0.0,2,0,126,161.22634387275914,310,24,147,212.33875976830518,301,25,64,71.77301783110912,238,13,187,129.99381312867996,429,39,7,34.46238676644348,64,1
2020-04-16,258,192.18592871242876,535,54,53,123.84334984577997,120,7,0,0.0,5,0,1,5.17491202649555,15,2,28,86.29191321499013,292,6,253,151.93370165745856,775,58,21,42.945663510501234,89,7,10,52.68703898840885,47,3,0,0.0,29,0,6,29.77519726068185,21,1,11,59.74040080377994,33,4,74,96.2877181111993,372,12,19,42.7071860459889,102,3,198,145.56254778568487,430,34,13,64.11521010061155,57,4,1,25.974025974025974,8,1,252,299.16660730821286,490,47,0,0.0,5,0,14,58.44535359438924,157,1,26,37.51966174581872,104,4,113,108.65384615384615,345,50,6,19.120458891013385,39,1,201,188.30274584750288,395,37,119,85.24965971774482,379,22,70,70.83012911320678,237,14,119,151.96986143924397,258,18,0,0.0,5,0,0,0.0,2,0,112,143.3123056646748,322,12,152,219.5611665631455,326,25,64,71.77301783110912,249,11,201,139.72597026130842,467,38,10,49.23198109491926,67,3
2020-04-17,289,215.27803642593764,594,59,55,128.5166838022245,127,7,0,0.0,5,0,1,5.17491202649555,15,0,26,80.12820512820512,292,0,261,156.7379293778525,799,24,21,42.945663510501234,92,3,10,52.68703898840885,47,0,0,0.0,29,0,8,39.70026301424247,23,2,10,54.309455276163575,32,-1,67,87.1794204520318,379,7,20,44.95493267998831,104,2,204,149.97353408222077,459,29,15,73.97908857762872,60,3,0,0.0,8,0,264,313.41263622765155,527,37,1,19.801980198019802,6,1,14,58.44535359438924,159,2,25,36.076597832518004,108,4,115,110.57692307692307,348,3,7,22.307202039515616,40,1,197,184.55542752217946,413,18,123,88.11519449817322,401,22,81,81.96057797385356,253,16,120,153.24691909839729,273,15,0,0.0,5,0,0,0.0,2,0,104,133.0757124029123,328,6,149,215.2277224862413,332,6,62,69.53011102388695,252,3,195,135.55504577589622,487,20,9,44.308782985427335,67,0
