date,cases_mtl_0-4,cases_mtl_5-9,cases_mtl_10-19,cases_mtl_20-29,cases_mtl_30-39,cases_mtl_40-49,cases_mtl_50-59,cases_mtl_60-69,cases_mtl_70-79,cases_mtl_80+,cases_mtl_0-4_per100000,cases_mtl_5-9_per100000,cases_mtl_10-19_per100000,cases_mtl_20-29_per100000,cases_mtl_30-39_per100000,cases_mtl_40-49_per100000,cases_mtl_50-59_per100000,cases_mtl_60-69_per100000,cases_mtl_70-79_per100000,cases_mtl_80+_per100000,cases_mtl_0-4_norm,cases_mtl_5-9_norm,cases_mtl_10-19_norm,cases_mtl_20-29_norm,cases_mtl_30-39_norm,cases_mtl_40-49_norm,cases_mtl_50-59_norm,cases_mtl_60-69_norm,cases_mtl_70-79_norm,cases_mtl_80+_norm,cases_mtl_0-4_per100000_norm,cases_mtl_5-9_per100000_norm,cases_mtl_10-19_per100000_norm,cases_mtl_20-29_per100000_norm,cases_mtl_30-39_per100000_norm,cases_mtl_40-49_per100000_norm,cases_mtl_50-59_per100000_norm,cases_mtl_60-69_per100000_norm,cases_mtl_70-79_per100000_norm,cases_mtl_80+_per100000_norm
2020-04-07,34.0,33.0,165.0,696.0,772.0,837.0,708.0,505.0,368.0,646.0,31.0,32.0,88.0,237.0,258.0,329.0,273.0,246.0,284.0,654.0,0.7,0.7,3.5,14.6,16.2,17.6,14.9,10.6,7.7,13.6,1.3,1.3,3.6,9.8,10.6,13.5,11.2,10.1,11.7,26.9
2020-04-08,36.0,33.0,171.0,751.0,846.0,908.0,771.0,551.0,423.0,758.0,33.0,32.0,91.0,256.0,282.0,357.0,298.0,269.0,326.0,767.0,0.7,0.6,3.3,14.3,16.1,17.3,14.7,10.5,8.1,14.4,1.2,1.2,3.4,9.4,10.4,13.2,11.0,9.9,12.0,28.3
2020-04-09,37.0,34.0,177.0,783.0,887.0,966.0,828.0,581.0,446.0,862.0,34.0,33.0,94.0,267.0,296.0,380.0,320.0,283.0,344.0,872.0,0.7,0.6,3.2,14.0,15.8,17.2,14.8,10.4,8.0,15.4,1.2,1.1,3.2,9.1,10.1,13.0,10.9,9.7,11.8,29.9
2020-04-10,39.0,34.0,180.0,804.0,924.0,1007.0,874.0,601.0,467.0,912.0,36.0,33.0,96.0,274.0,308.0,396.0,338.0,293.0,360.0,923.0,0.7,0.6,3.1,13.8,15.8,17.2,15.0,10.3,8.0,15.6,1.2,1.1,3.1,9.0,10.1,12.9,11.0,9.6,11.8,30.2
2020-04-11,42.0,34.0,181.0,822.0,937.0,1055.0,892.0,613.0,493.0,1000.0,38.0,33.0,96.0,280.0,313.0,415.0,345.0,299.0,380.0,1012.0,0.7,0.6,3.0,13.5,15.4,17.4,14.7,10.1,8.1,16.5,1.2,1.0,3.0,8.7,9.7,12.9,10.7,9.3,11.8,31.5
2020-04-12,44.0,34.0,182.0,844.0,989.0,1112.0,938.0,631.0,518.0,1064.0,40.0,33.0,97.0,288.0,330.0,437.0,362.0,308.0,399.0,1077.0,0.7,0.5,2.9,13.3,15.6,17.5,14.8,9.9,8.1,16.7,1.2,1.0,2.9,8.5,9.8,13.0,10.7,9.1,11.9,31.9
2020-04-13,43.0,35.0,183.0,870.0,1017.0,1153.0,967.0,652.0,533.0,1137.0,39.0,34.0,97.0,297.0,339.0,453.0,374.0,318.0,411.0,1151.0,0.7,0.5,2.8,13.2,15.4,17.5,14.7,9.9,8.1,17.3,1.1,1.0,2.8,8.4,9.7,12.9,10.6,9.1,11.7,32.8
2020-04-14,43.0,36.0,185.0,883.0,1052.0,1198.0,1009.0,666.0,542.0,1198.0,39.0,34.0,98.0,301.0,351.0,471.0,390.0,325.0,418.0,1212.0,0.6,0.5,2.7,13.0,15.4,17.6,14.8,9.8,8.0,17.6,1.1,0.9,2.7,8.3,9.6,12.9,10.7,8.9,11.5,33.3
2020-04-15,43.0,36.0,190.0,913.0,1126.0,1282.0,1088.0,702.0,579.0,1302.0,39.0,34.0,101.0,311.0,376.0,504.0,420.0,342.0,446.0,1318.0,0.6,0.5,2.6,12.6,15.5,17.7,15.0,9.7,8.0,17.9,1.0,0.9,2.6,8.0,9.7,12.9,10.8,8.8,11.5,33.9
2020-04-16,44.0,35.0,193.0,959.0,1176.0,1354.0,1145.0,743.0,628.0,1463.0,40.0,34.0,103.0,327.0,392.0,532.0,442.0,362.0,484.0,1481.0,0.6,0.5,2.5,12.4,15.2,17.5,14.8,9.6,8.1,18.9,1.0,0.8,2.4,7.8,9.3,12.7,10.5,8.6,11.5,35.3
2020-04-17,46.0,35.0,194.0,985.0,1218.0,1401.0,1188.0,767.0,646.0,1552.0,42.0,34.0,103.0,336.0,406.0,551.0,459.0,374.0,498.0,1571.0,0.6,0.4,2.4,12.3,15.2,17.4,14.8,9.5,8.0,19.3,1.0,0.8,2.4,7.7,9.3,12.6,10.5,8.6,11.4,35.9
2020-04-18,46.0,35.0,197.0,1022.0,1250.0,1451.0,1247.0,802.0,695.0,1689.0,42.0,34.0,105.0,349.0,417.0,570.0,482.0,391.0,536.0,1709.0,0.5,0.4,2.3,12.1,14.8,17.2,14.8,9.5,8.2,20.0,0.9,0.7,2.3,7.5,9.0,12.3,10.4,8.4,11.6,36.9
2020-04-19,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-04-20,57.0,44.0,228.0,1119.0,1332.0,1566.0,1345.0,880.0,777.0,1978.0,52.0,42.0,121.0,382.0,444.0,615.0,520.0,429.0,599.0,2002.0,0.6,0.5,2.4,12.0,14.3,16.8,14.4,9.4,8.3,21.2,1.0,0.8,2.3,7.3,8.5,11.8,10.0,8.2,11.5,38.4
2020-04-21,61.0,49.0,236.0,1155.0,1378.0,1631.0,1411.0,929.0,832.0,2152.0,56.0,47.0,125.0,394.0,460.0,641.0,545.0,453.0,642.0,2178.0,0.6,0.5,2.4,11.7,14.0,16.6,14.3,9.4,8.5,21.9,1.0,0.8,2.3,7.1,8.3,11.6,9.8,8.2,11.6,39.3
2020-04-22,67.0,51.0,253.0,1211.0,1427.0,1704.0,1461.0,969.0,890.0,2319.0,61.0,49.0,134.0,413.0,476.0,670.0,564.0,473.0,686.0,2347.0,0.6,0.5,2.4,11.7,13.8,16.5,14.1,9.4,8.6,22.4,1.0,0.8,2.3,7.0,8.1,11.4,9.6,8.0,11.7,40.0
2020-04-23,74.0,52.0,264.0,1262.0,1472.0,1766.0,1535.0,1021.0,951.0,2475.0,67.0,50.0,140.0,430.0,491.0,694.0,593.0,498.0,733.0,2505.0,0.7,0.5,2.4,11.6,13.5,16.2,14.1,9.4,8.7,22.8,1.1,0.8,2.3,6.9,7.9,11.2,9.6,8.0,11.8,40.4
2020-04-24,93.0,76.0,328.0,1257.0,1475.0,1703.0,1478.0,1022.0,1013.0,2667.0,85.0,73.0,174.0,429.0,492.0,669.0,571.0,499.0,781.0,2699.0,0.8,0.7,3.0,11.3,13.3,15.3,13.3,9.2,9.1,24.0,1.3,1.1,2.7,6.6,7.6,10.3,8.8,7.7,12.1,41.7
2020-04-25,98.0,91.0,356.0,1323.0,1526.0,1767.0,1536.0,1048.0,1057.0,2756.0,89.0,87.0,189.0,451.0,509.0,694.0,593.0,511.0,815.0,2789.0,0.8,0.8,3.1,11.4,13.2,15.3,13.3,9.1,9.1,23.8,1.3,1.3,2.8,6.7,7.6,10.3,8.8,7.6,12.1,41.4
2020-04-26,110.0,103.0,396.0,1373.0,1574.0,1816.0,1585.0,1076.0,1087.0,2849.0,100.0,99.0,210.0,468.0,525.0,714.0,612.0,525.0,838.0,2883.0,0.9,0.9,3.3,11.5,13.2,15.2,13.2,9.0,9.1,23.8,1.4,1.4,3.0,6.7,7.5,10.2,8.8,7.5,12.0,41.3
2020-04-27,114.0,109.0,407.0,1412.0,1629.0,1880.0,1629.0,1113.0,1130.0,2997.0,104.0,104.0,216.0,482.0,544.0,739.0,629.0,543.0,871.0,3033.0,0.9,0.9,3.3,11.4,13.1,15.1,13.1,9.0,9.1,24.1,1.4,1.4,3.0,6.6,7.5,10.2,8.7,7.5,12.0,41.7
2020-04-28,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-04-29,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-04-30,132.0,120.0,436.0,1553.0,1773.0,2045.0,1796.0,1241.0,1300.0,3516.0,120.0,115.0,232.0,530.0,592.0,804.0,694.0,605.0,1002.0,3559.0,0.9,0.9,3.1,11.2,12.7,14.7,12.9,8.9,9.3,25.3,1.5,1.4,2.8,6.4,7.2,9.7,8.4,7.3,12.1,43.1
