,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1443,6,1428,15,27,0,1373,43,196795,733.25,21.85,13.72
02,02 - Saguenay–Lac-Saint-Jean,8630,19,8445,185,250,2,8105,275,277378,3111.28,99.14,90.13
03,03 - Capitale-Nationale,20662,86,20347,315,843,13,18382,1437,760147,2718.16,189.04,110.90
04,04 - Mauricie et Centre-du-Québec,11681,70,11457,224,415,10,10404,862,524322,2227.83,164.40,79.15
05,05 - Estrie,10066,92,9661,405,238,4,9082,746,496770,2026.29,150.17,47.91
06,06 - Montréal,88247,629,85436,2811,4131,17,76688,7428,2078464,4245.78,357.38,198.75
07,07 - Outaouais,5650,21,5276,374,147,5,5190,313,404456,1396.94,77.39,36.35
08,08 - Abitibi-Témiscamingue,654,2,620,34,5,0,559,90,147658,442.92,60.95,3.39
09,09 - Côte-Nord,336,0,322,14,3,0,317,16,89368,375.97,17.90,3.36
10,10 - Nord-du-Québec,87,0,85,2,0,0,78,9,13485,645.16,66.74,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1683,0,1664,19,45,0,1623,15,89648,1877.34,16.73,50.20
12,12 - Chaudière-Appalaches,10472,58,10212,260,227,2,9515,730,431910,2424.58,169.02,52.56
13,13 - Laval,20814,148,19381,1433,803,2,18428,1583,446572,4660.84,354.48,179.81
14,14 - Lanaudière,17760,89,17050,710,440,2,16152,1168,524642,3385.17,222.63,83.87
15,15 - Laurentides,13480,75,12879,601,401,4,12257,822,633508,2127.83,129.75,63.30
16,16 - Montérégie,35248,199,33802,1446,1231,5,31167,2850,1443701,2441.50,197.41,85.27
17,17 - Nunavik,36,1,34,2,0,0,31,5,14413,249.77,34.69,0.00
18,18 - Terres-Cries-de-la-Baie-James,75,4,75,0,2,0,45,28,18629,402.60,150.30,10.74
98,Inconnu,5,0,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,207,3,203,4,0,0,191,16,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,247236,1502,238382,8854,9208,66,219592,18436,8591866,2877.56,214.58,107.17
