,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,980,32,967,13,22,1,728,230,197074,497.28,116.71,11.16
02,02 - Saguenay–Lac-Saint-Jean,5672,137,5514,158,142,3,4713,817,277632,2042.99,294.27,51.15
03,03 - Capitale-Nationale,12683,304,12426,257,470,5,10444,1769,755459,1678.85,234.16,62.21
04,04 - Mauricie et Centre-du-Québec,7387,80,7180,207,276,2,6151,960,522341,1414.21,183.79,52.84
05,05 - Estrie,5183,108,4864,319,70,0,4242,871,493163,1050.97,176.62,14.19
06,06 - Montréal,53304,630,50539,2765,3666,12,45644,3994,2065657,2580.49,193.35,177.47
07,07 - Outaouais,3687,47,3408,279,85,2,3349,253,401032,919.38,63.09,21.20
08,08 - Abitibi-Témiscamingue,283,8,251,32,4,0,262,17,147616,191.71,11.52,2.71
09,09 - Côte-Nord,213,0,200,13,2,0,200,11,90033,236.58,12.22,2.22
10,10 - Nord-du-Québec,54,0,52,2,0,0,52,2,13558,398.29,14.75,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1397,3,1378,19,40,0,1302,55,89998,1552.26,61.11,44.45
12,12 - Chaudière-Appalaches,5792,99,5551,241,142,3,5035,615,430309,1346.01,142.92,33.00
13,13 - Laval,12062,166,10841,1221,729,1,10407,926,442745,2724.37,209.15,164.65
14,14 - Lanaudière,11817,82,11115,702,340,6,10329,1148,520092,2272.10,220.73,65.37
15,15 - Laurentides,8214,70,7619,595,340,1,7482,392,626968,1310.11,62.52,54.23
16,16 - Montérégie,21008,263,19762,1246,902,12,18336,1770,1432751,1466.27,123.54,62.96
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,15,0,18385,87.03,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,125,2,123,2,0,0,106,19,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,149908,2031,141835,8073,7231,48,128828,13849,8539073,1755.55,162.18,84.68
