Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif);;
2021-06-20;8285035;7386401;;
2021-06-19;8121799;7329397;7325411;60990
2021-06-18;8121799;7257652;;57004
2021-06-17;7789859;7166595;;3986
2021-06-16;7632639;7064690;;
2021-06-15;7632639;6966909;;
2021-06-14;7632639;6880286;;
