Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;12;223;166,1;21706;16168,9;0;;534;397,8
Anjou;< 5;76;177,6;7320;17104,4;0;;87;203,3
Baie D'urfé;0;13;* 340;356;9312,1;0;;< 5;n.p.
Beaconsfield;< 5;38;196,6;1840;9521,8;0;;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;11;296;177,8;25950;15583,7;< 5;n.p.;415;249,2
Côte-Saint-Luc;< 5;78;240,4;5999;18488;0;;130;400,6
Dollard-des-Ormeaux;< 5;111;227;6795;13896;< 5;n.p.;133;272
Dorval;< 5;39;205,5;2338;12318,2;0;;70;368,8
Hampstead;0;29;* 415,9;1343;19260;0;;7;n.p.
Kirkland;< 5;46;228,3;2246;11145,8;0;;40;198,5
Lachine;< 5;93;209;6880;15464,5;< 5;n.p.;193;433,8
LaSalle;< 5;141;183,5;12006;15622;0;;261;339,6
L'Île-Bizard–Sainte-Geneviève;< 5;42;228,1;2621;14234,5;< 5;n.p.;82;445,3
Mercier–Hochelaga-Maisonneuve;10;232;170,6;21128;15532,6;< 5;n.p.;514;377,9
Montréal Est;< 5;10;* 259,7;747;19402,6;0;;12;* 311,7
Montréal-Nord;9;120;142,5;16003;18998,3;< 5;n.p.;397;471,3
Montréal-Ouest;0;12;* 237,6;642;12712,9;0;;< 5;n.p.
Mont-Royal;< 5;49;241,7;2937;14485,1;0;;95;468,5
Outremont;< 5;27;* 112,7;3171;13237,9;0;;31;* 129,4
Pierrefonds–Roxboro;5;116;167,4;9691;13984,7;0;;105;151,5
Plateau Mont-Royal;11;150;144,2;13895;13360,6;< 5;n.p.;201;193,3
Pointe-Claire;0;61;194,4;3254;10369,7;0;;68;216,7
Rivière-des-Prairies–Pointe-aux-Trembles;9;192;179,9;19064;17859,7;< 5;n.p.;359;336,3
Rosemont–La Petite Patrie;13;259;185,5;19649;14076,2;< 5;n.p.;363;260
Sainte-Anne-de-Bellevue;0;5;n.p.;525;10588,9;0;;16;* 322,7
Saint-Laurent;12;149;150,8;15755;15941,8;0;;173;175,1
Saint-Léonard;< 5;111;141,8;15116;19304;< 5;n.p.;170;217,1
Senneville;0;< 5;n.p.;96;10423,5;0;;0;
Sud-Ouest;9;149;190,7;10754;13760,5;< 5;n.p.;235;300,7
Verdun;< 5;133;192,1;8478;12246,3;< 5;n.p.;218;314,9
Ville-Marie;17;253;283,7;13366;14989,3;0;;159;178,3
Villeray–Saint-Michel–Parc-Extension;7;179;124,4;23237;16153,3;< 5;n.p.;253;175,9
Westmount;< 5;41;201,9;2440;12012,6;0;;65;320
Territoire à confirmer;< 5;140;;8480;;0;;31;
Total à Montréal;169;3615;175;305829;14805,4;19;*0,9;5450;263,8
