group,1d,2d,pop 2021
0-11,497,98,1079338
12-17,478752,411589,529446
18-29,987433,856278,1216440
30-39,923859,829216,1118629
40-49,965316,900621,1115327
50-59,1037133,982934,1155183
60-69,1090125,1063705,1168854
70-79,742365,733112,783129
80 plus,395240,384587,425520
Total 12+,6620223,6162042,7512528
Total,6620720,6162140,8591866
