Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      3866,      2412,       62.4,       772,       20.0,       682,       17.6,        53,n.d.,n.d.,n.d.,n.d.,        45,       84.9
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     10832,      5634,       52.0,      2442,       22.5,      2756,       25.4,       269,        13,        4.8,        21,        7.8,       235,       87.4
Région,RSS03,03 - Capitale-Nationale,     31473,     18290,       58.1,      6204,       19.7,      6979,       22.2,      1107,        32,        2.9,       100,        9.0,       975,       88.1
Région,RSS04,04 - Mauricie et Centre-du-Québec,     15500,      9064,       58.5,      3000,       19.4,      3436,       22.2,       558,        18,        3.2,        31,        5.6,       509,       91.2
Région,RSS05,05 - Estrie,     14747,      8757,       59.4,      2889,       19.6,      3101,       21.0,       350,        11,        3.1,        30,        8.6,       309,       88.3
Région,RSS06,06 - Montréal,    120290,     70504,       58.6,     22000,       18.3,     27786,       23.1,      4681,       151,        3.2,       273,        5.8,      4257,       90.9
Région,RSS07,07 - Outaouais,     11540,      7419,       64.3,      1953,       16.9,      2168,       18.8,       211,         6,        2.8,        19,        9.0,       186,       88.2
Région,RSS08,08 - Abitibi-Témiscamingue,      1156,       693,       59.9,       266,       23.0,       197,       17.0,         9,n.d.,n.d.,n.d.,n.d.,         6,       66.7
Région,RSS09,09 - Côte-Nord,       556,       366,       65.8,       103,       18.5,        87,       15.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       127,        78,       61.4,        22,       17.3,        27,       21.3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      2013,      1045,       51.9,       415,       20.6,       553,       27.5,        47,n.d.,n.d.,n.d.,n.d.,        42,       89.4
Région,RSS12,12 - Chaudière-Appalaches,     19019,     11602,       61.0,      3705,       19.5,      3712,       19.5,       367,        10,        2.7,        36,        9.8,       321,       87.5
Région,RSS13,13 - Laval,     32126,     19929,       62.0,      6409,       19.9,      5788,       18.0,       912,        17,        1.9,        65,        7.1,       830,       91.0
Région,RSS14,14 - Lanaudière,     24349,     14742,       60.5,      4960,       20.4,      4647,       19.1,       513,        21,        4.1,        31,        6.0,       461,       89.9
Région,RSS15,15 - Laurentides,     21439,     13068,       61.0,      4211,       19.6,      4160,       19.4,       507,        27,        5.3,        37,        7.3,       443,       87.4
Région,RSS16,16 - Montérégie,     50766,     29622,       58.4,     10098,       19.9,     11046,       21.8,      1547,        51,        3.3,       105,        6.8,      1391,       89.9
Région,RSS17,17 - Nunavik,        45,        22,       48.9,         7,       15.6,        16,       35.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       122,        72,       59.0,        18,       14.8,        32,       26.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    360009,    213353,       59.3,     69480,       19.3,     77176,       21.4,     11137,       363,        3.3,       761,        6.8,     10013,       89.9
Groupe d'âge,0_9,Moins de 10 ans,     30714,     26207,       85.3,      3676,       12.0,       831,        2.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     46003,     38133,       82.9,      6584,       14.3,      1286,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     52969,     42820,       80.8,      7634,       14.4,      2515,        4.7,         7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     49620,     34750,       70.0,     10369,       20.9,      4501,        9.1,        20,n.d.,n.d.,n.d.,n.d.,        15,       75.0
Groupe d'âge,40_49,40-49 ans,     53903,     33870,       62.8,     12884,       23.9,      7149,       13.3,        49,        15,       30.6,        11,       22.4,        23,       46.9
Groupe d'âge,50_59,50-59 ans,     48226,     24196,       50.2,     13725,       28.5,     10305,       21.4,       206,        36,       17.5,        31,       15.0,       139,       67.5
Groupe d'âge,60_69,60-69 ans,     29573,      9973,       33.7,      8326,       28.2,     11274,       38.1,       709,        64,        9.0,        85,       12.0,       560,       79.0
Groupe d'âge,70_79,70-79 ans,     18603,      2347,       12.6,      3589,       19.3,     12667,       68.1,      2174,        79,        3.6,       199,        9.2,      1896,       87.2
Groupe d'âge,80_89,80-89 ans,     19151,       775,        4.0,      1924,       10.0,     16452,       85.9,      4359,        83,        1.9,       262,        6.0,      4014,       92.1
Groupe d'âge,90_,90 ans et plus,     11247,       282,        2.5,       769,        6.8,     10196,       90.7,      3611,        78,        2.2,       170,        4.7,      3363,       93.1
