No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,681,0,20742,3283.19,0.00
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,1361,0,34840,3906.43,0.00
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,395,0,19055.5,2072.89,0.00
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,216,0,8507,2539.09,0.00
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,837,n.d.,57728,1449.90,n.d.
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,186,n.d.,17948.5,1036.30,n.d.
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,257,0,20658.5,1244.04,0.00
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,97,n.d.,17455,555.71,n.d.
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),4032,5,196934.5,2047.38,2.54
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,781,0,31025,2517.32,0.00
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,1019,n.d.,25019.5,4072.82,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,2835,n.d.,52281,5422.62,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,2462,n.d.,67384,3653.69,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,3188,n.d.,79237.5,4023.35,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,821,0,22558,3639.51,0.00
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),11124,8,277505,4008.58,2.88
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,2114,5,55121,3835.20,9.03
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,14861,39,321832.5,4617.62,12.09
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,15503,46,352784,4394.47,12.99
