,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4032,0,4009,23,53,0,3974,5,196934.5,2047.38,2.54,26.91,2
02,02 - Saguenay-Lac-Saint-Jean,11124,0,10900,224,271,0,10845,8,277505,4008.58,2.88,97.66,3
03,03 - Capitale-Nationale,33449,4,33096,353,1119,0,32235,95,757803,4413.94,12.50,147.66,20
04,04 - Mauricie et Centre-du-Québec,16269,10,16027,242,562,0,15514,193,523331.5,3108.74,36.81,107.39,35
05,05 - Estrie,15655,14,15144,511,355,0,15100,200,494966.5,3162.84,40.26,71.72,26
06,06 - Montréal,139486,182,136550,2936,4776,0,132762,1948,2072060.5,6731.75,93.72,230.50,192
07,07 - Outaouais,13139,23,12692,447,215,0,12696,228,402744,3262.37,56.37,53.38,23
08,08 - Abitibi-Témiscamingue,1212,2,1179,33,9,0,1188,15,147637,820.93,10.16,6.10,1
09,09 - Côte-Nord,597,1,578,19,4,0,589,4,89700.5,665.55,4.48,4.46,0
10,10 - Nord-du-Québec,133,0,131,2,0,0,128,5,13521.5,983.62,37.08,0.00,1
11,11 - Gaspésie-Îles-de-la-Madeleine,2090,3,2070,20,47,0,2038,5,89823,2326.80,5.58,52.33,2
12,12 - Chaudière-Appalaches,19644,17,19364,280,368,0,19100,176,431109.5,4556.61,40.75,85.36,10
13,13 - Laval,34166,82,32288,1878,923,0,32494,749,444658.5,7683.65,167.72,207.58,64
14,14 - Lanaudière,25369,41,24657,712,517,0,24390,462,522367,4856.55,88.06,98.97,60
15,15 - Laurentides,22417,44,21813,604,511,0,21441,465,630238,3556.91,73.40,81.08,51
16,16 - Montérégie,54165,87,52209,1956,1560,0,51736,869,1438226,3766.10,60.19,108.47,79
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,2,142,0,3,0,127,12,18507,767.28,64.42,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,709,3,704,5,0,0,688,21,.,.,.,.,8
999,Ensemble du Québec,393852,515,383604,10248,11293,0,377099,5460,8565469.5,4598.14,63.55,131.84,577

