Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;7;186;138,6;21840;16268,8;< 5;n.p.;535;398,5
Anjou;< 5;48;112,2;7366;17211,9;0;;87;203,3
Baie D'urfé;0;< 5;n.p.;358;9364,4;0;;< 5;n.p.
Beaconsfield;< 5;29;* 150,1;1859;9620,2;0;;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;15;174;104,5;26066;15653,4;< 5;n.p.;417;250,4
Côte-Saint-Luc;7;59;181,8;6045;18629,8;< 5;n.p.;131;403,7
Dollard-des-Ormeaux;5;68;139,1;6840;13988;< 5;n.p.;134;274
Dorval;5;31;* 163,3;2362;12444,7;0;;70;368,8
Hampstead;< 5;9;* 129,1;1348;19331,7;0;;7;n.p.
Kirkland;< 5;33;* 163,8;2265;11240,1;0;;40;198,5
Lachine;7;49;110,1;6918;15549,9;< 5;n.p.;195;438,3
LaSalle;7;86;111,9;12067;15701,4;0;;261;339,6
L'Île-Bizard–Sainte-Geneviève;0;23;* 124,9;2632;14294,2;0;;82;445,3
Mercier–Hochelaga-Maisonneuve;< 5;166;122;21244;15617,8;< 5;n.p.;517;380,1
Montréal Est;0;< 5;n.p.;748;19428,6;0;;12;* 311,7
Montréal-Nord;5;79;93,8;16056;19061,2;< 5;n.p.;398;472,5
Montréal-Ouest;< 5;8;n.p.;649;12851,5;0;;< 5;n.p.
Mont-Royal;8;35;* 172,6;2957;14583,7;0;;95;468,5
Outremont;< 5;25;* 104,4;3188;13308,8;0;;31;* 129,4
Pierrefonds–Roxboro;< 5;66;95,2;9725;14033,8;0;;105;151,5
Plateau Mont-Royal;< 5;107;102,9;13967;13429,8;< 5;n.p.;202;194,2
Pointe-Claire;< 5;37;117,9;3277;10443;0;;68;216,7
Rivière-des-Prairies–Pointe-aux-Trembles;7;96;89,9;19131;17922,5;< 5;n.p.;360;337,3
Rosemont–La Petite Patrie;12;152;108,9;19754;14151,4;< 5;n.p.;365;261,5
Sainte-Anne-de-Bellevue;< 5;8;n.p.;532;10730,1;0;;16;* 322,7
Saint-Laurent;22;112;113,3;15833;16020,8;0;;174;176,1
Saint-Léonard;8;64;81,7;15162;19362,7;< 5;n.p.;173;220,9
Senneville;0;0;;96;10423,5;0;;0;
Sud-Ouest;6;94;120,3;10816;13839,9;0;;235;300,7
Verdun;< 5;102;147,3;8554;12356,1;< 5;n.p.;220;317,8
Ville-Marie;10;194;217,6;13496;15135,1;0;;159;178,3
Villeray–Saint-Michel–Parc-Extension;5;103;71,6;23308;16202,7;< 5;n.p.;253;175,9
Westmount;6;31;* 152,6;2458;12101,2;< 5;n.p.;66;324,9
Territoire à confirmer;10;92;;8520;;0;;31;
Total à Montréal;181;2371;114,8;307438;14883,3;23;*1,1;5472;264,9
