Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif)
2021-04-17;2836485;2358757
2021-04-16;2836485;2299812
2021-04-15;2836485;2226930
2021-04-14;2828685;2149852
2021-04-13;2660185;2079486
2021-04-12;2633275;2009461
2021-04-11;2429695;1949966
