Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;< 5;95;70,8;21940;16343,3;< 5;n.p.;537;400
Anjou;< 5;27;* 63,1;7394;17277,3;0;;87;203,3
Baie D'urfé;0;< 5;n.p.;363;9495,2;0;;< 5;n.p.
Beaconsfield;< 5;18;* 93,1;1882;9739,2;0;;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;10;153;91,9;26231;15752,5;0;;417;250,4
Côte-Saint-Luc;0;37;114;6086;18756,2;0;;131;403,7
Dollard-des-Ormeaux;< 5;44;90;6886;14082,1;0;;134;274
Dorval;< 5;38;200,2;2401;12650,2;0;;70;368,8
Hampstead;0;7;n.p.;1357;19460,8;0;;7;n.p.
Kirkland;< 5;18;* 89,3;2285;11339,4;0;;40;198,5
Lachine;< 5;37;83,2;6957;15637,6;< 5;n.p.;197;442,8
LaSalle;< 5;54;70,3;12125;15776,9;0;;261;339,6
L'Île-Bizard–Sainte-Geneviève;< 5;10;* 54,3;2642;14348,6;< 5;n.p.;83;450,8
Mercier–Hochelaga-Maisonneuve;12;113;83,1;21358;15701,6;0;;519;381,6
Montréal Est;0;< 5;n.p.;752;19532,5;0;;12;* 311,7
Montréal-Nord;5;42;49,9;16100;19113,4;0;;398;472,5
Montréal-Ouest;0;7;n.p.;656;12990,1;0;;< 5;n.p.
Mont-Royal;< 5;29;* 143;2989;14741,6;0;;95;468,5
Outremont;0;25;* 104,4;3215;13421,6;0;;31;* 129,4
Pierrefonds–Roxboro;9;54;77,9;9781;14114,6;0;;105;151,5
Plateau Mont-Royal;5;76;73,1;14047;13506,7;0;;202;194,2
Pointe-Claire;0;18;* 57,4;3296;10503,5;0;;68;216,7
Rivière-des-Prairies–Pointe-aux-Trembles;< 5;76;71,2;19211;17997,4;< 5;n.p.;361;338,2
Rosemont–La Petite Patrie;16;125;89,5;19883;14243,9;0;;365;261,5
Sainte-Anne-de-Bellevue;0;6;n.p.;539;10871,3;0;;16;* 322,7
Saint-Laurent;5;71;71,8;15917;16105,8;0;;174;176,1
Saint-Léonard;< 5;42;53,6;15208;19421,5;< 5;n.p.;174;222,2
Senneville;0;0;;96;10423,5;0;;0;
Sud-Ouest;5;72;92,1;10892;13937,1;0;;235;300,7
Verdun;6;61;88,1;8620;12451,4;0;;220;317,8
Ville-Marie;16;142;159,2;13642;15298,9;0;;159;178,3
Villeray–Saint-Michel–Parc-Extension;5;99;68,8;23413;16275,6;0;;253;175,9
Westmount;0;31;* 152,6;2491;12263,7;0;;66;324,9
Territoire à confirmer;< 5;82;;8604;;0;;31;
Total à Montréal;130;1716;83,1;309260;14971,5;6;n.p.;5481;265,3
