group,1d,2d,3d,pop 2021
0-4,20825,4826,13,428991
5-11,438295,333613,10805,650347
12-17,532323,509455,107030,529446
18-29,1115792,1057292,443687,1216440
30-39,1023571,983981,511072,1118629
40-49,1029153,1005089,649144,1115327
50-59,1081764,1056466,798530,1155183
60-69,1117638,1105953,997486,1168854
70-79,755219,753971,723718,783129
80 plus,401120,401609,390639,425520
Total 5+,7494875,7207429,4632111,8162875
Total,7515700,7212255,4632124,8591866
