group,0d,1d,2d,3d,pop 2021
0-4,2,85,18,0,109960
5-11,7,73988,2022,0,149671
12-17,453,98922,89868,0,115666
18-29,23212,320304,296661,0,367326
30-39,29371,278546,262262,0,330128
40-49,36120,246557,235006,0,281268
50-59,63746,229089,220737,0,254246
60-69,103076,209060,203227,0,219244
70-79,97731,146023,142650,0,148691
80 plus,68937,101714,97700,0,102264
Total 12+,422646,1630215,1548111,0,1818833
Total,422655,1704288,1550151,0,2078464
