Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;19;294;219;8924;6647,5;6;n.p.;467;347,9
Anjou;8;163;380,9;3075;7185,3;< 5;n.p.;73;170,6
Baie D'urfé;< 5;< 5;n.p.;68;1778,7;0;;< 5;n.p.
Beaconsfield;0;12;* 62,1;382;1976,8;0;;19;* 98,3
Côte-des-Neiges–Notre-Dame-de-Grâce;31;509;305,7;10207;6129,6;< 5;n.p.;349;209,6
Côte-Saint-Luc;7;142;437,6;2412;7433,4;< 5;n.p.;110;339
Dollard-des-Ormeaux;< 5;73;149,3;2288;4679;0;;119;243,4
Dorval;< 5;18;* 94,8;680;3582,7;0;;67;353
Hampstead;< 5;21;* 301,2;344;4933,3;0;;5;n.p.
Kirkland;< 5;37;183,6;578;2868,3;< 5;n.p.;32;* 158,8
Lachine;< 5;73;164,1;2573;5783,5;< 5;n.p.;169;379,9
LaSalle;7;151;196,5;4666;6071,3;< 5;n.p.;235;305,8
L'Île-Bizard–Sainte-Geneviève;< 5;19;* 103,2;881;4784,7;< 5;n.p.;74;401,9
Mercier–Hochelaga-Maisonneuve;18;305;224,2;7605;5590,9;< 5;n.p.;440;323,5
Montréal Est;0;13;* 337,7;236;6129,9;< 5;n.p.;9;* 233,8
Montréal-Nord;10;255;302,7;8160;9687,3;< 5;n.p.;323;383,5
Montréal-Ouest;0;9;n.p.;135;2673,3;0;;< 5;n.p.
Mont-Royal;< 5;41;202,2;985;4858;0;;92;453,7
Outremont;< 5;51;212,9;1137;4746,6;0;;21;* 87,7
Pierrefonds–Roxboro;< 5;191;275,6;3490;5036,3;0;;79;114
Plateau Mont-Royal;10;148;142,3;3917;3766,3;< 5;n.p.;169;162,5
Pointe-Claire;7;44;140,2;906;2887,2;< 5;n.p.;52;165,7
Rivière-des-Prairies–Pointe-aux-Trembles;11;279;261,4;7955;7452,5;< 5;n.p.;308;288,5
Rosemont–La Petite Patrie;11;177;126,8;6158;4411,5;< 5;n.p.;317;227,1
Sainte-Anne-de-Bellevue;0;< 5;n.p.;121;2440,5;0;;12;* 242
Saint-Laurent;19;330;333,9;6682;6761,2;6;n.p.;149;150,8
Saint-Léonard;19;237;302,7;6778;8655,9;< 5;n.p.;128;163,5
Senneville;0;0;;22;* 2388,7;0;;0;
Sud-Ouest;< 5;97;124,1;3292;4212,4;0;;203;259,8
Verdun;13;138;199,3;2764;3992,5;0;;192;277,3
Ville-Marie;12;116;130,1;4078;4573,3;< 5;n.p.;115;129
Villeray–Saint-Michel–Parc-Extension;11;307;213,4;9407;6539,3;< 5;n.p.;182;126,5
Westmount;< 5;19;* 93,5;635;3126,2;0;;57;280,6
Territoire à confirmer;0;31;;1726;;0;;25;
Total à Montréal;240;4304;208,4;113267;5483,3;36;*1,7;4598;222,6
