group,1d,2d,3d,pop 2021
0-4,244,53,5,341718
5-11,382260,6244,6,737620
12-17,521810,477615,2649,529446
18-29,1086953,1017660,90072,1216440
30-39,999007,949685,122853,1118629
40-49,1013447,981241,197254,1115327
50-59,1069935,1038635,327044,1155183
60-69,1108265,1094048,581869,1168854
70-79,750256,748276,541834,783129
80 plus,398999,398160,306796,425520
Total 5+,7330932,6711564,2170377,8250148
Total,7331176,6711617,2170382,8591866
