date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,total_doses_1d,total_doses_2d,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,143,0,143,0,143,143,0.0065965814,0.0,0.0023706464000000003,128.0,0.0,128.0,0.0,
2020-12-15,Région,RSS06,06 - Montréal,358,0,501,0,358,501,0.024737180299999998,0.0,0.0057720087,352.0,0.0,480.0,0.0,
2020-12-16,Région,RSS06,06 - Montréal,285,0,786,0,285,786,0.0396825601,0.0,0.007111939300000001,290.0,0.0,770.0,0.0,
2020-12-17,Région,RSS06,06 - Montréal,282,0,1068,0,282,1068,0.0547310115,0.0,0.0080395836,292.0,0.0,1062.0,0.0,
2020-12-18,Région,RSS06,06 - Montréal,140,0,1208,0,140,1208,0.06277059509999999,0.0,0.0091218353,156.0,0.0,1218.0,0.0,
2020-12-19,Région,RSS06,06 - Montréal,78,0,1286,0,78,1286,0.0670480659,0.0,0.009688729,83.0,0.0,1301.0,0.0,
2020-12-20,Région,RSS06,06 - Montréal,79,0,1365,0,79,1365,0.07142860820000001,0.0,0.0103071585,85.0,0.0,1386.0,0.0,
2020-12-21,Région,RSS06,06 - Montréal,320,0,1685,0,320,1685,0.0876623828,0.0,0.0139661997,315.0,0.0,1701.0,0.0,
2020-12-22,Région,RSS06,06 - Montréal,571,0,2256,0,571,2256,0.11507942439999999,0.0,0.0227788202,532.0,0.0,2233.0,0.0,
2020-12-23,Région,RSS06,06 - Montréal,476,0,2732,0,476,2732,0.1394043184,0.0,0.0257678962,472.0,0.0,2705.0,0.0,
2020-12-24,Région,RSS06,06 - Montréal,189,0,2921,0,189,2921,0.1492476547,0.0,0.0272108984,191.0,0.0,2896.0,0.0,
2020-12-25,Région,RSS06,06 - Montréal,0,0,2921,0,0,2921,0.1498660842,0.0,0.0272108984,12.0,0.0,2908.0,0.0,
2020-12-26,Région,RSS06,06 - Montréal,223,0,3144,0,223,3144,0.1616162449,0.0,0.0293238659,228.0,0.0,3136.0,0.0,
2020-12-27,Région,RSS06,06 - Montréal,195,0,3339,0,195,3339,0.1724387613,0.0,0.0304061175,210.0,0.0,3346.0,0.0,
2020-12-28,Région,RSS06,06 - Montréal,587,0,3926,0,587,3926,0.2043909526,0.0,0.035250482,620.0,0.0,3966.0,0.0,
2020-12-29,Région,RSS06,06 - Montréal,561,0,4487,0,561,4487,0.2354670354,0.0,0.0387033801,603.0,0.0,4569.0,0.0,
2020-12-30,Région,RSS06,06 - Montréal,564,0,5051,0,564,5051,0.2661823676,0.0,0.0433416014,596.0,0.0,5165.0,0.0,
2020-12-31,Région,RSS06,06 - Montréal,39,0,5090,0,39,5090,0.2692745152,0.0,0.0434962088,60.0,0.0,5225.0,0.0,
2021-01-01,Région,RSS06,06 - Montréal,6,0,5096,0,6,5096,0.2704598384,0.0,0.0435992804,23.0,0.0,5248.0,0.0,
2021-01-02,Région,RSS06,06 - Montréal,14,0,5110,0,14,5110,0.27205744800000004,0.0,0.0435992804,31.0,0.0,5279.0,0.0,
2021-01-03,Région,RSS06,06 - Montréal,13,0,5123,0,13,5123,0.2740673439,0.0,0.0435992804,39.0,0.0,5318.0,0.0,
2021-01-04,Région,RSS06,06 - Montréal,575,0,5698,0,575,5698,0.30411271079999996,0.0,0.052875723,583.0,0.0,5901.0,0.0,
2021-01-05,Région,RSS06,06 - Montréal,1899,0,7597,0,1899,7597,0.4009484647,0.0001546074,0.0773552244,1879.0,3.0,7780.0,3.0,
2021-01-06,Région,RSS06,06 - Montréal,2733,1,10330,1,2734,10331,0.5392705315,0.0005153579,0.10812209240000001,2684.0,7.0,10464.0,10.0,
2021-01-07,Région,RSS06,06 - Montréal,4112,0,14442,1,4112,14443,0.7394355491,0.0008761085000000001,0.1615131733,3884.0,7.0,14348.0,17.0,
2021-01-08,Région,RSS06,06 - Montréal,3785,1,18227,2,3786,18229,0.9289841934999999,0.0014430022,0.20727695699999998,3678.0,11.0,18026.0,28.0,
2021-01-09,Région,RSS06,06 - Montréal,2034,0,20261,2,2034,20263,1.0324165288,0.0018552885,0.2277366665,2007.0,8.0,20033.0,36.0,
