group,1d,2d,pop 2021
0-11,412,58,1079338
12-17,416731,100822,529446
18-29,851213,402997,1216440
30-39,832955,475576,1118629
40-49,901851,601489,1115327
50-59,994595,753064,1155183
60-69,1069195,925355,1168854
70-79,734028,681622,783129
80 plus,392130,366478,425520
Total 12+,6192698,4307403,7512528
Total,6193110,4307461,8591866
