,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3982,-1,3956,26,53,0,3921,8,196934.5,2021.99,4.07,26.91,0
02,02 - Saguenay-Lac-Saint-Jean,11058,0,10835,223,271,0,10768,19,277505,3984.79,6.85,97.66,2
03,03 - Capitale-Nationale,32995,18,32642,353,1118,0,31788,89,757803,4354.03,11.71,147.53,8
04,04 - Mauricie et Centre-du-Québec,15593,17,15353,240,526,1,14839,228,523331.5,2979.56,43.48,100.51,28
05,05 - Estrie,14998,12,14481,517,352,0,14597,49,494966.5,3030.10,9.86,71.12,3
06,06 - Montréal,134344,78,131415,2929,4774,0,128905,665,2072060.5,6483.59,31.99,230.40,69
07,07 - Outaouais,12635,8,12188,447,215,0,12392,28,402744,3137.23,6.92,53.38,3
08,08 - Abitibi-Témiscamingue,1163,3,1130,33,9,0,1142,12,147637,787.74,8.13,6.10,0
09,09 - Côte-Nord,583,0,564,19,4,0,576,3,89700.5,649.94,3.36,4.46,0
10,10 - Nord-du-Québec,110,-1,108,2,0,0,110,0,13521.5,813.52,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2076,2,2056,20,46,0,2026,4,89823,2311.21,4.46,51.21,0
12,12 - Chaudière-Appalaches,19333,5,19052,281,368,0,18938,27,431109.5,4484.48,6.25,85.36,2
13,13 - Laval,32294,25,30455,1839,917,0,31180,197,444658.5,7262.65,44.11,206.23,16
14,14 - Lanaudière,24301,14,23588,713,517,0,23665,119,522367,4652.09,22.68,98.97,9
15,15 - Laurentides,21271,20,20667,604,510,0,20630,131,630238,3375.07,20.68,80.92,10
16,16 - Montérégie,51973,46,50013,1960,1559,0,50166,248,1438226,3613.69,17.18,108.40,25
17,17 - Nunavik,49,0,47,2,0,0,47,2,14336.5,341.78,13.88,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,558,4,553,5,0,0,530,28,.,.,.,.,2
999,Ensemble du Québec,379439,250,369225,10214,11242,1,366340,1857,8565469.5,4429.87,21.61,131.25,177

