group,0d,1d,2d,pop 2021
0-4,87827,78,17,109960
5-11,144174,34,18,149671
12-17,29962,96914,88517,115666
18-29,9481,313168,285761,367326
30-39,30599,271244,252436,330128
40-49,19632,241449,228284,281268
50-59,10781,225960,216599,254246
60-69,653,205824,199557,219244
70-79,0,143588,139801,148691
80 plus,370,99457,94870,102264
Total 12+,101478,1597604,1505825,1818833
Total,333184,1597716,1505860,2078464
