group,1d,2d,pop 2021
0-11,538,133,1079338
12-17,503303,461448,529446
18-29,1055325,975428,1216440
30-39,973577,915764,1118629
40-49,997670,959436,1115327
50-59,1059154,1023386,1155183
60-69,1101360,1084564,1168854
70-79,747051,743385,783129
80 plus,397574,394028,425520
Total 12+,6835014,6557439,7512528
Total,6835552,6557572,8591866
