Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      3815,      2379,       62.4,       761,       19.9,       675,       17.7,        53,n.d.,n.d.,n.d.,n.d.,        45,       84.9
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     10749,      5581,       51.9,      2422,       22.5,      2746,       25.5,       269,        13,        4.8,        21,        7.8,       235,       87.4
Région,RSS03,03 - Capitale-Nationale,     31011,     17948,       57.9,      6119,       19.7,      6944,       22.4,      1106,        32,        2.9,       100,        9.0,       974,       88.1
Région,RSS04,04 - Mauricie et Centre-du-Québec,     14600,      8358,       57.2,      2870,       19.7,      3372,       23.1,       522,        16,        3.1,        29,        5.6,       477,       91.4
Région,RSS05,05 - Estrie,     14118,      8299,       58.8,      2766,       19.6,      3053,       21.6,       347,        11,        3.2,        30,        8.6,       306,       88.2
Région,RSS06,06 - Montréal,    115565,     66932,       57.9,     21230,       18.4,     27403,       23.7,      4678,       150,        3.2,       272,        5.8,      4256,       91.0
Région,RSS07,07 - Outaouais,     11118,      7083,       63.7,      1896,       17.1,      2139,       19.2,       211,         6,        2.8,        19,        9.0,       186,       88.2
Région,RSS08,08 - Abitibi-Témiscamingue,      1101,       657,       59.7,       253,       23.0,       191,       17.3,         9,n.d.,n.d.,n.d.,n.d.,         6,       66.7
Région,RSS09,09 - Côte-Nord,       546,       360,       65.9,       102,       18.7,        84,       15.4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       108,        63,       58.3,        19,       17.6,        26,       24.1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      1999,      1036,       51.8,       412,       20.6,       551,       27.6,        46,n.d.,n.d.,n.d.,n.d.,        41,       89.1
Région,RSS12,12 - Chaudière-Appalaches,     18730,     11383,       60.8,      3660,       19.5,      3687,       19.7,       367,        10,        2.7,        36,        9.8,       321,       87.5
Région,RSS13,13 - Laval,     30172,     18494,       61.3,      6057,       20.1,      5621,       18.6,       906,        16,        1.8,        64,        7.1,       826,       91.2
Région,RSS14,14 - Lanaudière,     23272,     13937,       59.9,      4795,       20.6,      4540,       19.5,       513,        21,        4.1,        31,        6.0,       461,       89.9
Région,RSS15,15 - Laurentides,     20256,     12179,       60.1,      4014,       19.8,      4063,       20.1,       506,        26,        5.1,        37,        7.3,       443,       87.5
Région,RSS16,16 - Montérégie,     48586,     28036,       57.7,      9720,       20.0,     10830,       22.3,      1545,        51,        3.3,       105,        6.8,      1389,       89.9
Région,RSS17,17 - Nunavik,        42,        21,       50.0,         6,       14.3,        15,       35.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       103,        59,       57.3,        15,       14.6,        29,       28.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    345927,    202832,       58.6,     67123,       19.4,     75972,       22.0,     11084,       358,        3.2,       757,        6.8,      9969,       89.9
Groupe d'âge,0_9,Moins de 10 ans,     28814,     24549,       85.2,      3481,       12.1,       784,        2.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     43676,     36154,       82.8,      6290,       14.4,      1232,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     49228,     39728,       80.7,      7138,       14.5,      2362,        4.8,         7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     47229,     32996,       69.9,      9917,       21.0,      4316,        9.1,        18,n.d.,n.d.,n.d.,n.d.,        13,       72.2
Groupe d'âge,40_49,40-49 ans,     52158,     32715,       62.7,     12485,       23.9,      6958,       13.3,        47,        13,       27.7,        11,       23.4,        23,       48.9
Groupe d'âge,50_59,50-59 ans,     47149,     23600,       50.1,     13444,       28.5,     10105,       21.4,       205,        35,       17.1,        31,       15.1,       139,       67.8
Groupe d'âge,60_69,60-69 ans,     29056,      9745,       33.5,      8176,       28.1,     11135,       38.3,       707,        64,        9.1,        84,       11.9,       559,       79.1
Groupe d'âge,70_79,70-79 ans,     18354,      2297,       12.5,      3519,       19.2,     12538,       68.3,      2161,        78,        3.6,       197,        9.1,      1886,       87.3
Groupe d'âge,80_89,80-89 ans,     19042,       765,        4.0,      1906,       10.0,     16371,       86.0,      4339,        82,        1.9,       262,        6.0,      3995,       92.1
Groupe d'âge,90_,90 ans et plus,     11221,       283,        2.5,       767,        6.8,     10171,       90.6,      3598,        78,        2.2,       169,        4.7,      3351,       93.1
