Regroupement;Croisement;Nom;cas_tot_n;cas_0cond_n;cas_0cond_p;cas_1cond_n;cas_1cond_p;cas_2cond_n;cas_2cond_p;dec_tot_n;dec_0cond_n;dec_0cond_p;dec_1cond_n;dec_1cond_p;dec_2cond_n;dec_2cond_p
Région;RSS01;01 - Bas-Saint-Laurent;     17892;     10118;       56.6;      3732;       20.9;      4042;       22.6;       129;         6;        4.7;        11;        8.5;       112;       86.8
Région;RSS02;02 - Saguenay–Lac-Saint-Jean;     26954;     14240;       52.8;      6268;       23.3;      6446;       23.9;       382;         6;        1.6;        19;        5.0;       357;       93.5
Région;RSS03;03 - Capitale-Nationale;     78678;     47270;       60.1;     15598;       19.8;     15810;       20.1;      1456;        32;        2.2;       105;        7.2;      1319;       90.6
Région;RSS04;04 - Mauricie et Centre-du-Québec;     52730;     30578;       58.0;     10166;       19.3;     11986;       22.7;       919;        26;        2.8;        49;        5.3;       844;       91.8
Région;RSS05;05 - Estrie;     44017;     26023;       59.1;      8998;       20.4;      8996;       20.4;       548;        22;        4.0;        29;        5.3;       497;       90.7
Région;RSS06;06 - Montréal;    259179;    160966;       62.1;     46613;       18.0;     51600;       19.9;      5264;       160;        3.0;       249;        4.7;      4855;       92.2
Région;RSS07;07 - Outaouais;     34158;     22830;       66.8;      5905;       17.3;      5423;       15.9;       290;         9;        3.1;        14;        4.8;       267;       92.1
Région;RSS08;08 - Abitibi-Témiscamingue;      9336;      5052;       54.1;      2019;       21.6;      2265;       24.3;        97;         6;        6.2;         8;        8.2;        83;       85.6
Région;RSS09;09 - Côte-Nord;      6922;      3983;       57.5;      1260;       18.2;      1679;       24.3;        41;n.d.;n.d.;n.d.;n.d.;        36;       87.8
Région;RSS10;10 - Nord-du-Québec;      1199;       759;       63.3;       217;       18.1;       223;       18.6;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Région;RSS11;11 - Gaspésie–Îles-de-la-Madeleine;      7830;      4095;       52.3;      1621;       20.7;      2114;       27.0;        66;n.d.;n.d.;n.d.;n.d.;        59;       89.4
Région;RSS12;12 - Chaudière-Appalaches;     56505;     34874;       61.7;     10816;       19.1;     10815;       19.1;       584;        17;        2.9;        43;        7.4;       524;       89.7
Région;RSS13;13 - Laval;     65916;     41699;       63.3;     12926;       19.6;     11291;       17.1;      1046;        14;        1.3;        62;        5.9;       970;       92.7
Région;RSS14;14 - Lanaudière;     64539;     40219;       62.3;     13033;       20.2;     11287;       17.5;       729;        17;        2.3;        31;        4.3;       681;       93.4
Région;RSS15;15 - Laurentides;     72142;     45265;       62.7;     14013;       19.4;     12864;       17.8;       709;        16;        2.3;        26;        3.7;       667;       94.1
Région;RSS16;16 - Montérégie;    133690;     79934;       59.8;     26407;       19.8;     27349;       20.5;      2060;        45;        2.2;        98;        4.8;      1917;       93.1
Région;RSS17;17 - Nunavik;      2614;      1679;       64.2;       420;       16.1;       515;       19.7;         9;n.d.;n.d.;n.d.;n.d.;         8;       88.9
Région;RSS18;18 - Terres-Cries-de-la-Baie-James;      2323;      1513;       65.1;       364;       15.7;       446;       19.2;        13;n.d.;n.d.;n.d.;n.d.;        11;       84.6
Région;RSS997;Total Québec jumelés;    936830;    571262;       61.0;    180405;       19.3;    185163;       19.8;     14347;       384;        2.7;       751;        5.2;     13212;       92.1
Groupe d'âge;0_9;Moins de 10 ans;     78809;     66902;       84.9;      9530;       12.1;      2377;        3.0;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Groupe d'âge;10_19;10-19 ans;    107673;     89346;       83.0;     15064;       14.0;      3263;        3.0;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Groupe d'âge;20_29;20-29 ans;    152870;    121792;       79.7;     22874;       15.0;      8204;        5.4;        12;n.d.;n.d.;n.d.;n.d.;         8;       66.7
Groupe d'âge;30_39;30-39 ans;    153483;    105215;       68.6;     32732;       21.3;     15536;       10.1;        34;n.d.;n.d.;n.d.;n.d.;        26;       76.5
Groupe d'âge;40_49;40-49 ans;    152300;     95560;       62.7;     36303;       23.8;     20437;       13.4;        84;        20;       23.8;        16;       19.0;        48;       57.1
Groupe d'âge;50_59;50-59 ans;    119005;     61117;       51.4;     32226;       27.1;     25662;       21.6;       335;        37;       11.0;        34;       10.1;       264;       78.8
Groupe d'âge;60_69;60-69 ans;     68072;     23566;       34.6;     18329;       26.9;     26177;       38.5;      1005;        67;        6.7;        87;        8.7;       851;       84.7
Groupe d'âge;70_79;70-79 ans;     41902;      5413;       12.9;      7676;       18.3;     28813;       68.8;      2918;        76;        2.6;       186;        6.4;      2656;       91.0
Groupe d'âge;80_89;80-89 ans;     40208;      1714;        4.3;      4000;        9.9;     34494;       85.8;      5519;        90;        1.6;       247;        4.5;      5182;       93.9
Groupe d'âge;90_;90 ans et plus;     22508;       637;        2.8;      1671;        7.4;     20200;       89.7;      4437;        84;        1.9;       178;        4.0;      4175;       94.1
