date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,vac_quo_3_n,total_doses_1d,total_doses_2d,vac_cum_3_n,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,143,0,0,143,0,0,143,143,0.006582848499999999,0.0,0.0023657112,128.0,0.0,128.0,0.0,
2020-12-15,Région,RSS06,06 - Montréal,359,0,0,502,0,0,359,502,0.0248913959,0.0,0.0057599923999999995,356.0,0.0,484.0,0.0,
2020-12-16,Région,RSS06,06 - Montréal,286,0,0,788,0,0,286,788,0.0399599475,0.0,0.0070971335,293.0,0.0,777.0,0.0,
2020-12-17,Région,RSS06,06 - Montréal,282,0,0,1070,0,0,282,1070,0.055079927599999995,0.0,0.0080228466,294.0,0.0,1071.0,0.0,
2020-12-18,Région,RSS06,06 - Montréal,140,0,0,1210,0,0,140,1210,0.0631542027,0.0,0.009102845200000001,157.0,0.0,1228.0,0.0,
2020-12-19,Région,RSS06,06 - Montréal,79,0,0,1289,0,0,79,1289,0.06752562549999999,0.0,0.0096685587,85.0,0.0,1313.0,0.0,
2020-12-20,Région,RSS06,06 - Montréal,79,0,0,1368,0,0,79,1368,0.0718970484,0.0,0.0102857008,85.0,0.0,1398.0,0.0,
2020-12-21,Région,RSS06,06 - Montréal,321,0,0,1689,0,0,321,1689,0.0881998841,0.0,0.0139371245,317.0,0.0,1715.0,0.0,
2020-12-22,Région,RSS06,06 - Montréal,571,0,0,2260,0,0,571,2260,0.1156627051,0.0,0.022731398700000002,534.0,0.0,2249.0,0.0,
2020-12-23,Région,RSS06,06 - Montréal,476,0,0,2736,0,0,476,2736,0.1400912445,0.0,0.0257142519,475.0,0.0,2724.0,0.0,
2020-12-24,Région,RSS06,06 - Montréal,189,0,0,2925,0,0,189,2925,0.15001694570000002,0.0,0.02715425,193.0,0.0,2917.0,0.0,
2020-12-25,Région,RSS06,06 - Montréal,0,0,0,2925,0,0,0,2925,0.1506340877,0.0,0.02715425,12.0,0.0,2929.0,0.0,
2020-12-26,Région,RSS06,06 - Montréal,223,0,0,3148,0,0,223,3148,0.1623597866,0.0,0.029262818700000002,228.0,0.0,3157.0,0.0,
2020-12-27,Région,RSS06,06 - Montréal,195,0,0,3343,0,0,195,3343,0.1732112009,0.0,0.030342817299999998,211.0,0.0,3368.0,0.0,
