group,1d,2d,pop 2021
0-11,471,94,1079338
12-17,469443,395471,529446
18-29,964191,818005,1216440
30-39,910146,803965,1118629
40-49,955733,882469,1115327
50-59,1030478,970163,1155183
60-69,1086793,1057161,1168854
70-79,741025,730303,783129
80 plus,394686,383122,425520
Total 12+,6552495,6040659,7512528
Total,6552966,6040753,8591866
