group,1d,2d,pop 2021
0-11,448.0,63.0,1079338
12-17,410535.0,41621.0,529446
18-29,838080.0,294464.0,1216440
30-39,822864.0,363005.0,1118629
40-49,894197.0,486675.0,1115327
50-59,988747.0,666721.0,1155183
60-69,1066179.0,871523.0,1168854
70-79,732871.0,653680.0,783129
80 plus,391713.0,357753.0,425520
Total 12+,6145186.0,3735442.0,7512528
Total,6145634.0,3735505.0,8591866
