CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;18;288;77;22546;6026,4;< 5;n.p.;900;240,6
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;29;318;84,3;25809;6843,6;0;;767;203,4
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;16;185;56,5;16470;5028,4;< 5;n.p.;652;199,1
CIUSSS du Nord-de-l'Île-de-Montréal ;23;364;80,9;36857;8192,3;< 5;n.p.;1122;249,4
CIUSSS de l'Est-de-l'Île-de-Montréal ;70;556;103,5;44455;8278,8;< 5;n.p.;1367;254,6
Territoire à confirmer;6;44;;2463;;0;;26;
Total à Montréal;162;1755;85;148600;7193,8;12;* 0,6;4834;234
